case_id,operator,input_shape,dtype,attrs,value_range,note
1,AscendAntiQuantV2,"[[1024,1024],[1024],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-2D-1M-per-channel-scale-no-offset
2,AscendAntiQuantV2,"[[1024,1024],[1],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-2D-1M-per-tensor-scale-no-offset
3,AscendAntiQuantV2,"[[4,512,2048],[2048],[2048]]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-3D-4M-per-channel-scale-offset
4,AscendAntiQuantV2,"[[2,7,13,4097],[4097],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-4D-745K-per-channel-prime-tail
5,AscendAntiQuantV2,"[[2,3,7,11,512],[512],[512]]","[""int8"",""float32"",""float32""]","{""dst_type"":27,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-bf16-5D-236K-per-channel-offset
6,AscendAntiQuantV2,"[[256,8193],[8193],null]","[""int8"",""bfloat16"",""bfloat16""]","{""dst_type"":27,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-bf16-scale-bf16-2D-2M-odd-tail
7,AscendAntiQuantV2,"[[128,16384],[16384],[16384]]","[""int8"",""bfloat16"",""bfloat16""]","{""dst_type"":27,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-bf16-scale-bf16-2D-2M-large-tail-offset
8,AscendAntiQuantV2,"[[64,128,1024],[1024],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-3D-8M
9,AscendAntiQuantV2,"[[1,1024],[1024],[1024]]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-1x1024-edge-small-batch
10,AscendAntiQuantV2,"[[1024,1],[1],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-1024x1-edge-unit-tail
11,AscendAntiQuantV2,"[[512,8192],[8192],null]","[""int32"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-8,7],[0.001,0.1],[-0.1,0.1]]",int4-packed-fp16-2D-512K-per-channel
12,AscendAntiQuantV2,"[[512,4096],[4096],[4096]]","[""int32"",""float32"",""float32""]","{""dst_type"":27,""sqrt_mode"":false}","[[-8,7],[0.001,0.1],[-0.1,0.1]]",int4-packed-bf16-2D-256K-per-channel-offset
13,AscendAntiQuantV2,"[[8,128,2048],[2048],null]","[""int32"",""bfloat16"",""bfloat16""]","{""dst_type"":27,""sqrt_mode"":false}","[[-8,7],[0.001,0.1],[-0.1,0.1]]",int4-packed-bf16-scale-bf16-3D-256K
14,AscendAntiQuantV2,"[[3,7,11,1024],[1024],[1024]]","[""int32"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-8,7],[0.001,0.1],[-0.1,0.1]]",int4-packed-fp16-4D-295K-prime-dims-offset
15,AscendAntiQuantV2,"[[2048,2048],[1],[1]]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-2D-4M-per-tensor-scale-offset
16,AscendAntiQuantV2,"[[1024,1024],[1024],null]","[""int8"",""bfloat16"",""bfloat16""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-scale-bf16-2D-1M
17,AscendAntiQuantV2,"[[64,64,64,64],[64],null]","[""int8"",""float32"",""float32""]","{""dst_type"":27,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-bf16-4D-16M
18,AscendAntiQuantV2,"[[1000,1000],[1000],[1000]]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-2D-1M-non-power-of-2
19,AscendAntiQuantV2,"[[1,1,1024],[1024],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[-128,127],[0.001,0.1],[-0.1,0.1]]",int8-fp16-3D-broadcast-front-dims
20,AscendAntiQuantV2,"[[1024,1024],[1024],null]","[""int8"",""float32"",""float32""]","{""dst_type"":1,""sqrt_mode"":false}","[[0,0],[0.001,0.1],[-0.1,0.1]]",boundary-all-zero-input
