operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MoeGatingTopKBackward,1,"[[2048, 192], [2048, 10], [2048, 10]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 191]]",,,S-bfloat16-bfloat16-2048x192
MoeGatingTopKBackward,2,"[[4096, 192], [4096, 10], [4096, 10]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 191]]",,,S-bfloat16-bfloat16-4096x192
MoeGatingTopKBackward,3,"[[2048, 256], [2048, 8], [2048, 8]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 255]]",,,S-bfloat16-bfloat16-2048x256
MoeGatingTopKBackward,4,"[[4096, 256], [4096, 8], [4096, 8]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 255]]",,,S-bfloat16-bfloat16-4096x256
MoeGatingTopKBackward,5,"[[4096, 384], [4096, 8], [4096, 8]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 383]]",,,S-bfloat16-bfloat16-4096x384
MoeGatingTopKBackward,6,"[[2048, 384], [2048, 8], [2048, 8]]","[""float32"", ""float32"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 383]]",,,S-float32-float32-2048x384
MoeGatingTopKBackward,7,"[[8192, 192], [8192, 10], [8192, 10]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 191]]",,,S-bfloat16-bfloat16-8192x192
MoeGatingTopKBackward,8,"[[8192, 192], [8192, 10], [8192, 10]]","[""float32"", ""float32"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 191]]",,,S-float32-float32-8192x192
MoeGatingTopKBackward,9,"[[2048, 193], [2048, 10], [2048, 10]]","[""float32"", ""float16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 192]]",,,S-float16-float16-2048x193
MoeGatingTopKBackward,10,"[[1023, 191], [1023, 9], [1023, 9]]","[""float32"", ""float16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 0.1}","[[0.01, 0.99], [-1.0, 1.0], [0, 190]]",,,S-float16-float16-1023x191
MoeGatingTopKBackward,11,"[[8193, 383], [8193, 9], [8193, 9]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 2.5}","[[0.01, 0.99], [-1.0, 1.0], [0, 382]]",,,M-bfloat16-bfloat16-8193x383
MoeGatingTopKBackward,12,"[[1023, 2000], [1023, 9], [1023, 9]]","[""float32"", ""float32"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 0.1}","[[0.01, 0.99], [-1.0, 1.0], [0, 1999]]",,,M-float32-float32-1023x2000
MoeGatingTopKBackward,13,"[[8193, 191], [8193, 9], [8193, 9]]","[""float32"", ""float16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 2.5}","[[0.01, 0.99], [-1.0, 1.0], [0, 190]]",,,S-float16-float16-8193x191
MoeGatingTopKBackward,14,"[[1023, 383], [1023, 9], [1023, 9]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 2.5}","[[0.01, 0.99], [-1.0, 1.0], [0, 382]]",,,S-bfloat16-bfloat16-1023x383
MoeGatingTopKBackward,15,"[[8193, 191], [8193, 9], [8193, 9]]","[""float32"", ""float32"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 0.1}","[[0.01, 0.99], [-1.0, 1.0], [0, 190]]",,,S-float32-float32-8193x191
MoeGatingTopKBackward,16,"[[512000, 2], [512000, 1], [512000, 1]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 1]]",,,S-bfloat16-bfloat16-512000x2
MoeGatingTopKBackward,17,"[[1, 2048], [1, 2048], [1, 2048]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 2047]]",,,S-bfloat16-bfloat16-1x2048
MoeGatingTopKBackward,18,"[[1024, 1024], [1024, 10], [1024, 10]]","[""float32"", ""float16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 1023]]",,,S-float16-auto-generated
MoeGatingTopKBackward,19,"[[2048, 2048], [2048, 10], [2048, 10]]","[""float32"", ""float32"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 2047]]",,,M-float32-auto-generated
MoeGatingTopKBackward,20,"[[4096, 2048], [4096, 10], [4096, 10]]","[""float32"", ""bfloat16"", ""int32""]","{""eps"": ""1.0e-20"", ""norm_type"": 1, ""renorm"": 0, ""routed_scaling_factor"": 1.0}","[[0.01, 0.99], [-1.0, 1.0], [0, 2047]]",,,M-bfloat16-auto-generated
