case_id,operator,input_shape,dtype,attrs,value_range,note
1,NLLLoss,"[[1024, 2048], [1024], [2048]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 0], [0, 2047], [0.5, 1.5]]",S-float16-2M-对齐-对称logprob-mean
2,NLLLoss,"[[2048, 4096], [2048], [4096]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-2, 0], [0, 4095], [0.5, 1.5]]",M-float32-8M-对齐-对称logprob-mean
3,NLLLoss,"[[4096, 8192], [4096], [8192]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-3, 0], [0, 8191], [0.5, 1.5]]",M-bfloat16-33M-对齐-对称logprob-mean
4,NLLLoss,"[[8192, 16384], [8192], [16384]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-10, 0], [0, 16383], [0.5, 1.5]]",L-float16-134M-对齐-中值域-sum
5,NLLLoss,"[[4096, 16384], [4096], [16384]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""none"", ""ignore_index"": -100}","[[-100, 0], [0, 16383], [0.5, 1.5]]",L-float32-536M-对齐-大值域-none
6,NLLLoss,"[[1023, 2047], [1023], [2047]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -1}","[[-0.1, 0], [0, 2046], [0.5, 1.5]]",S-bfloat16-2M-非对齐-微小logprob-ignore_index=-1
7,NLLLoss,"[[1009, 1021], [1009], [1021]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""mean"", ""ignore_index"": 0}","[[-1, 0], [0, 1020], [0.5, 1.5]]",S-float16-1M-质数非对齐-ignore_index=0
8,NLLLoss,"[[1537, 769], [1537], [769]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""mean"", ""ignore_index"": 100}","[[-5, 0], [0, 768], [0.5, 1.5]]",S-float32-1M-非对齐-ignore_index=100
9,NLLLoss,"[[363, 373, 367], [363, 367], [373]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-50, 0], [0, 372], [0.5, 1.5]]",M-bfloat16-50M-质数非对齐-3D
10,NLLLoss,"[[2049, 513], [2049], [513]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-400, 0], [0, 512], [0.5, 1.5]]",S-float16-1M-非对齐-float16边界值
11,NLLLoss,"[[3, 4001, 7, 13], [3, 7, 13], [4001]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-88, 0], [0, 4000], [0.5, 1.5]]",S-float32-1M-质数非对齐-float32边界值-4D
12,NLLLoss,"[[1000003, 2], [1000003], [2]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1000, 0], [0, 1], [0.5, 1.5]]",M-bfloat16-2M-质数非对齐-大值域-二分类
13,NLLLoss,"[[11, 67, 13, 17, 67], [11, 13, 17, 67], [67]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-10, 0], [0, 66], [0.5, 1.5]]",M-float16-10M-质数非对齐-常规值域-5D
14,NLLLoss,"[[3, 1013, 7, 11, 13], [3, 7, 11, 13], [1013]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[0, 0], [0, 1012], [0.5, 1.5]]",M-float32-3M-质数非对齐-logprob=0特殊值-5D
15,NLLLoss,"[[512, 2049], [512], [2049]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-0.5, 0], [0, 2048], [0.5, 1.5]]",S-bfloat16-1M-非对齐-微小logprob
16,NLLLoss,"[[255, 8193], [255], [8193]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""sum"", ""ignore_index"": 50}","[[-1, 0], [0, 8192], [0.5, 1.5]]",S-float16-2M-非对齐-ignore_index=50-sum
17,NLLLoss,"[[4097, 511], [4097], [511]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""none"", ""ignore_index"": -1}","[[-1000, 0], [0, 510], [0.5, 1.5]]",S-float32-2M-非对齐-大值域-none
18,NLLLoss,"[[2, 2049, 511], [2, 511], [2049]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-0.2, 0], [0, 2048], [0.5, 1.5]]",S-bfloat16-2M-非对齐-微小logprob-3D
19,NLLLoss,"[[4, 2049, 255], [4, 255], [2049]]","[""float16"", ""int64"", ""float16""]","{""reduction"": ""mean"", ""ignore_index"": 10}","[[-3, 0], [0, 2048], [0.5, 1.5]]",S-float16-2M-非对齐-ignore_index=10-3D
20,NLLLoss,"[[2, 101, 3, 17, 1024], [2, 3, 17, 1024], [101]]","[""float32"", ""int64"", ""float32""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-20, 0], [0, 100], [0.5, 1.5]]",M-float32-10M-非对齐-非对称大值域-5D
