case_id,operator,input_shape,dtype,attrs,value_range,note
1,ResizeNearestNeighborV2Grad,"[[2,8,32,32],[2]]","[""float16"", ""int32""]","{""input_size"":[16,16],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-上采样2x-对齐-小值域
2,ResizeNearestNeighborV2Grad,"[[1,3,51,51],[2]]","[""float32"", ""int32""]","{""input_size"":[17,17],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-2,2],[0,0]]",NCHW-float32-上采样3x-质数尺寸-对称小值域
3,ResizeNearestNeighborV2Grad,"[[2,8,32,32],[2]]","[""bfloat16"", ""int32""]","{""input_size"":[16,16],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-bfloat16-上采样2x-小值域
4,ResizeNearestNeighborV2Grad,"[[2,8,32,32],[2]]","[""float16"", ""int32""]","{""input_size"":[16,16],""half_pixel_centers"":true,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-上采样2x-half_pixel-小值域
5,ResizeNearestNeighborV2Grad,"[[4,16,32,32],[2]]","[""float16"", ""int32""]","{""input_size"":[64,64],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-下采样0.5x-对齐-小值域
6,ResizeNearestNeighborV2Grad,"[[1,3,256,256],[2]]","[""bfloat16"", ""int32""]","{""input_size"":[1024,1024],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-bfloat16-下采样4x-大图-小值域
7,ResizeNearestNeighborV2Grad,"[[1,3,63,63],[2]]","[""float32"", ""int32""]","{""input_size"":[127,127],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-下采样约2x-质数尺寸-小值域
8,ResizeNearestNeighborV2Grad,"[[2,8,40,60],[2]]","[""float16"", ""int32""]","{""input_size"":[20,30],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-非对称上采样2x-小值域
9,ResizeNearestNeighborV2Grad,"[[2,3,128,128],[2]]","[""float32"", ""int32""]","{""input_size"":[128,128],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-等尺寸-恒等映射
10,ResizeNearestNeighborV2Grad,"[[1,3,1024,1024],[2]]","[""float16"", ""int32""]","{""input_size"":[512,512],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-上采样2x-大图-小值域
11,ResizeNearestNeighborV2Grad,"[[1,1,6,6],[2]]","[""float32"", ""int32""]","{""input_size"":[3,3],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-上采样2x-极小图-单channel
12,ResizeNearestNeighborV2Grad,"[[2,3,48,48],[2]]","[""bfloat16"", ""int32""]","{""input_size"":[16,16],""half_pixel_centers"":true,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-bfloat16-上采样3x-half_pixel-小值域
13,ResizeNearestNeighborV2Grad,"[[4,16,64,64],[2]]","[""float16"", ""int32""]","{""input_size"":[16,16],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-上采样4x-多batch-大channel-小值域
14,ResizeNearestNeighborV2Grad,"[[2,8,128,128],[2]]","[""float32"", ""int32""]","{""input_size"":[512,512],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-下采样0.25x-对齐-小值域
15,ResizeNearestNeighborV2Grad,"[[2,4,50,50],[2]]","[""bfloat16"", ""int32""]","{""input_size"":[20,20],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-bfloat16-上采样2.5x-非整数倍-小值域
16,ResizeNearestNeighborV2Grad,"[[1,3,60,90],[2]]","[""float16"", ""int32""]","{""input_size"":[180,270],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-下采样3x-非对称-小值域
17,ResizeNearestNeighborV2Grad,"[[1,3,25,25],[2]]","[""float32"", ""int32""]","{""input_size"":[5,5],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-上采样5x-质数尺寸-小值域
18,ResizeNearestNeighborV2Grad,"[[2,8,32,32],[2]]","[""bfloat16"", ""int32""]","{""input_size"":[64,64],""half_pixel_centers"":false,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-bfloat16-下采样2x-小值域
19,ResizeNearestNeighborV2Grad,"[[1,3,512,512],[2]]","[""float16"", ""int32""]","{""input_size"":[256,256],""half_pixel_centers"":true,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float16-上采样2x-half_pixel-大图-小值域
20,ResizeNearestNeighborV2Grad,"[[2,8,32,32],[2]]","[""float32"", ""int32""]","{""input_size"":[32,32],""half_pixel_centers"":true,""scales"":[0.0,0.0]}","[[-1,1],[0,0]]",NCHW-float32-等尺寸-half_pixel-恒等映射
