case_id,operator,input_shape,dtype,attrs,value_range,note
1,AddRmsNormDynamicMxQuant,"[[1024, 1024], [1024, 1024], [1024], [1024]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 36, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-e4m3-2D-1M-对齐-有beta
2,AddRmsNormDynamicMxQuant,"[[2048, 2048], [2048, 2048], [2048], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 35, ""x1_dtype"": ""bfloat16"", ""output_rstd"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1]]",bf16-e5m2-2D-4M-对齐-无beta
3,AddRmsNormDynamicMxQuant,"[[512, 512], [512, 512], [512], [512]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 40, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-fp4e2m1-2D-0.25M-对齐-有beta
4,AddRmsNormDynamicMxQuant,"[[1024, 510], [1024, 510], [510], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 41, ""x1_dtype"": ""bfloat16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bf16-fp4e1m2-2D-0.5M-非对齐-无beta
5,AddRmsNormDynamicMxQuant,"[[4, 512, 1024], [4, 512, 1024], [1024], [1024]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 36, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-e4m3-3D-2M-对齐-有beta
6,AddRmsNormDynamicMxQuant,"[[2, 1024, 2048], [2, 1024, 2048], [2048], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 35, ""x1_dtype"": ""bfloat16"", ""output_rstd"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1]]",bf16-e5m2-3D-4M-对齐-无beta
7,AddRmsNormDynamicMxQuant,"[[8, 256, 512], [8, 256, 512], [512], [512]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 40, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-fp4e2m1-3D-1M-对齐-有beta
8,AddRmsNormDynamicMxQuant,"[[2, 1024, 770], [2, 1024, 770], [770], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 41, ""x1_dtype"": ""bfloat16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",bf16-fp4e1m2-3D-1.5M-非对齐-无beta
9,AddRmsNormDynamicMxQuant,"[[256, 128], [256, 128], [128], [128]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 1, ""round_mode"": ""rint"", ""dst_type"": 36, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-e4m3-2D-32K-对齐-有beta-cuBLAS
10,AddRmsNormDynamicMxQuant,"[[4096, 4096], [4096, 4096], [4096], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""rint"", ""dst_type"": 35, ""x1_dtype"": ""bfloat16"", ""output_rstd"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1]]",bf16-e5m2-2D-16M-对齐-无beta
11,AddRmsNormDynamicMxQuant,"[[1024, 256], [1024, 256], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""scale_alg"": 0, ""round_mode"": ""floor"", ""dst_type"": 40, ""x1_dtype"": ""float16"", ""output_rstd"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",fp16-fp4e2m1-2D-0.25M-对齐-有beta-floor
