case_id,operator,input_shape,dtype,attrs,value_range,note
1,BatchNormGradV3,"[[2, 8, 32, 32], [2, 8, 32, 32], [8], [8], [8], [8], [8]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCHW-float16-4D-512K-训练-对齐-小值域
2,BatchNormGradV3,"[[4, 16, 64, 64], [4, 16, 64, 64], [16], [16], [16], [16], [16]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCHW-float32-4D-16M-训练-对齐-对称小值域
3,BatchNormGradV3,"[[1, 23, 127, 127], [1, 23, 127, 127], [23], [23], [23], [23], [23]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""is_training"": false, ""epsilon"": 0.001}","[[-3, 3], [-3, 3], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCHW-bfloat16-4D-3.7M-推理-质数非对齐-大epsilon
4,BatchNormGradV3,"[[8, 32, 128, 128], [8, 32, 128, 128], [32], [32], [32], [32], [32]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": false, ""epsilon"": 1e-05}","[[-10, 10], [-10, 10], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCHW-float16-4D-128M-推理-对齐-对称中值域
5,BatchNormGradV3,"[[2, 64, 256, 256], [2, 64, 256, 256], [64], [64], [64], [64], [64]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""is_training"": false, ""epsilon"": 1e-07}","[[-100, 100], [-100, 100], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCHW-float32-4D-64M-推理-小epsilon-对称大值域
6,BatchNormGradV3,"[[1024, 512], [1024, 512], [512], [512], [512], [512], [512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NC-float16-2D-1M-训练-对齐-小值域
7,BatchNormGradV3,"[[2048, 1023], [2048, 1023], [1023], [1023], [1023], [1023], [1023]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""is_training"": false, ""epsilon"": 1e-05}","[[-5, 5], [-5, 5], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NC-float32-2D-4M-推理-质数非对齐1023
8,BatchNormGradV3,"[[16, 64, 128], [16, 64, 128], [64], [64], [64], [64], [64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCL-float16-3D-2M-训练-对齐-小值域
9,BatchNormGradV3,"[[32, 128, 509], [32, 128, 509], [128], [128], [128], [128], [128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": false, ""epsilon"": 1e-05}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCL-float16-3D-8M-推理-质数非对齐509
10,BatchNormGradV3,"[[2, 8, 16, 16, 16], [2, 8, 16, 16, 16], [8], [8], [8], [8], [8]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCDHW-float16-5D-2M-训练-对齐-小值域
11,BatchNormGradV3,"[[1, 16, 32, 32, 32], [1, 16, 32, 32, 32], [16], [16], [16], [16], [16]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",NCDHW-float32-5D-16M-训练-对齐-小值域
12,BatchNormGradV3,"[[2, 4, 8, 8, 8, 8], [2, 4, 8, 8, 8, 8], [4], [4], [4], [4], [4]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""is_training"": true, ""epsilon"": 1e-05}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [-1, 1], [0, 1]]",ND-float16-6D-2M-训练-对齐-小值域
