operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Engram,1,"[[1, 128, 256], [1, 64, 256]]","['float16', 'float16']","{'alpha': 1.0, 'scale': -1.0}","[-1, 1]",None,float16-32K-对齐-B=1-S=128-D=256-M=64-默认参数
Engram,2,"[[2, 256, 512], [2, 128, 512]]","['float32', 'float32']","{'alpha': 1.0, 'scale': -1.0}","[-2, 2]",None,float32-262K-对齐-B=2-S=256-D=512-M=128-默认参数
Engram,3,"[[4, 512, 1024], [4, 256, 1024]]","['bfloat16', 'bfloat16']","{'alpha': 1.0, 'scale': -1.0}","[-3, 3]",None,bfloat16-2M-对齐-B=4-S=512-D=1024-M=256-默认参数
Engram,4,"[[8, 1024, 512], [8, 256, 512]]","['float16', 'float16']","{'alpha': 1.0, 'scale': -1.0}","[-5, 5]",None,float16-4M-对齐-B=8-S=1024-D=512-M=256-默认参数
Engram,5,"[[16, 2048, 256], [16, 512, 256]]","['float32', 'float32']","{'alpha': 1.0, 'scale': -1.0}","[-10, 10]",None,float32-8M-对齐-B=16-S=2048-D=256-M=512-默认参数
Engram,6,"[[4, 512, 512], [4, 128, 512]]","['float16', 'float16']","{'alpha': 0.1, 'scale': -1.0}","[-1, 1]",None,float16-1M-对齐-低alpha=0.1-弱记忆增强
Engram,7,"[[4, 512, 512], [4, 128, 512]]","['float32', 'float32']","{'alpha': 0.5, 'scale': -1.0}","[-2, 2]",None,float32-1M-对齐-中alpha=0.5
Engram,8,"[[4, 512, 512], [4, 128, 512]]","['bfloat16', 'bfloat16']","{'alpha': 2.0, 'scale': -1.0}","[-3, 3]",None,bfloat16-1M-对齐-高alpha=2.0-强记忆增强
Engram,9,"[[4, 512, 256], [4, 128, 256]]","['float32', 'float32']","{'alpha': 1.0, 'scale': 0.0625}","[-5, 5]",None,float32-512K-对齐-显式scale=0.0625
Engram,10,"[[4, 512, 256], [4, 128, 256]]","['float16', 'float16']","{'alpha': 1.0, 'scale': 0.125}","[-5, 5]",None,float16-512K-对齐-显式scale=0.125
Engram,11,"[[3, 127, 257], [3, 63, 257]]","['float16', 'float16']","{'alpha': 1.0, 'scale': -1.0}","[-1, 1]",None,float16-97K-质数非对齐-B=3-S=127-D=257-M=63
Engram,12,"[[5, 253, 509], [5, 127, 509]]","['float32', 'float32']","{'alpha': 0.5, 'scale': -1.0}","[-2, 2]",None,float32-644K-质数非对齐-B=5-S=253-D=509-M=127-混合参数
Engram,13,"[[7, 511, 1023], [7, 255, 1023]]","['bfloat16', 'bfloat16']","{'alpha': 2.0, 'scale': -1.0}","[-5, 5]",None,bfloat16-3.7M-非对齐-B=7-S=511-D=1023-M=255-高alpha
Engram,14,"[[6, 1023, 255], [6, 63, 255]]","['float16', 'float16']","{'alpha': 0.1, 'scale': 0.1}","[-0.5, 0.5]",None,float16-1.6M-非对齐-显式scale-低alpha
Engram,15,"[[32, 4096, 512], [32, 1024, 512]]","['float32', 'float32']","{'alpha': 1.0, 'scale': -1.0}","[-10, 10]",None,float32-67M-对齐-大规模-B=32-S=4096-D=512-M=1024
Engram,16,"[[16, 4096, 1024], [16, 512, 1024]]","['float16', 'float16']","{'alpha': 1.0, 'scale': -1.0}","[-100, 100]",None,float16-67M-对齐-大规模-大值域
Engram,17,"[[8, 1024, 512], [8, 16, 512]]","['bfloat16', 'bfloat16']","{'alpha': 1.0, 'scale': -1.0}","[-5, 5]",None,bfloat16-4M-对齐-小memory-M=16
Engram,18,"[[2, 256, 512], [2, 128, 512]]","['float16', 'float16']","{'alpha': 1.0, 'scale': -1.0}","[-65504, 65504]",None,float16-262K-对齐-float16边界值
Engram,19,"[[2, 256, 512], [2, 128, 512]]","['float32', 'float32']","{'alpha': 1.0, 'scale': -1.0}","[0, 0]",None,float32-262K-对齐-零值输入
Engram,20,"[[2, 256, 512], [2, 128, 512]]","['bfloat16', 'bfloat16']","{'alpha': 1.0, 'scale': -1.0}","[-0.01, 0.01]",None,bfloat16-262K-对齐-微小值域
