case_id,operator,input_shape,dtype,attrs,value_range,note
1,MaxPool3dGradWithArgmax,"[[1, 3, 4, 4, 4], [1, 3, 2, 2, 2], [1, 3, 2, 2, 2]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",basic-fp16-k2s2p0
2,MaxPool3dGradWithArgmax,"[[2, 8, 8, 8, 8], [2, 8, 4, 4, 4], [2, 8, 4, 4, 4]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",basic-fp32-k2s2p0
3,MaxPool3dGradWithArgmax,"[[1, 16, 16, 16, 16], [1, 16, 8, 8, 8], [1, 16, 8, 8, 8]]","[""bfloat16"", ""bfloat16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",basic-bf16-k2s2p0
4,MaxPool3dGradWithArgmax,"[[4, 32, 7, 7, 7], [4, 32, 4, 4, 4], [4, 32, 4, 4, 4]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [2, 2, 2], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",k3s2p1-fp16
5,MaxPool3dGradWithArgmax,"[[1, 64, 14, 14, 14], [1, 64, 7, 7, 7], [1, 64, 7, 7, 7]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [2, 2, 2], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",k3s2p1-fp32
6,MaxPool3dGradWithArgmax,"[[2, 3, 5, 5, 5], [2, 3, 3, 3, 3], [2, 3, 3, 3, 3]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": true}","[[-1, 1], [-1, 1], [0, 0]]",ceil-fp16-k2s2p0
7,MaxPool3dGradWithArgmax,"[[1, 8, 9, 9, 9], [1, 8, 5, 5, 5], [1, 8, 5, 5, 5]]","[""bfloat16"", ""bfloat16"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [2, 2, 2], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": true}","[[-1, 1], [-1, 1], [0, 0]]",ceil-bf16-k3s2p1
8,MaxPool3dGradWithArgmax,"[[2, 4, 6, 6, 6], [2, 4, 5, 5, 5], [2, 4, 5, 5, 5]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [1, 1, 1], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",stride1-fp16
9,MaxPool3dGradWithArgmax,"[[1, 16, 10, 10, 10], [1, 16, 9, 9, 9], [1, 16, 9, 9, 9]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [1, 1, 1], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": true}","[[-1, 1], [-1, 1], [0, 0]]",stride1-fp32-ceil
10,MaxPool3dGradWithArgmax,"[[3, 32, 8, 8, 8], [3, 32, 8, 8, 8], [3, 32, 8, 8, 8]]","[""bfloat16"", ""bfloat16"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [1, 1, 1], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",stride1-bf16-k3
11,MaxPool3dGradWithArgmax,"[[1, 4, 12, 12, 12], [1, 4, 7, 7, 7], [1, 4, 7, 7, 7]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",p1-fp16-k2s2
12,MaxPool3dGradWithArgmax,"[[2, 8, 15, 15, 15], [2, 8, 6, 6, 6], [2, 8, 6, 6, 6]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [3, 3, 3], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": true}","[[-1, 1], [-1, 1], [0, 0]]",ceil-fp32-k3s3p1
13,MaxPool3dGradWithArgmax,"[[1, 32, 20, 20, 20], [1, 32, 10, 10, 10], [1, 32, 10, 10, 10]]","[""bfloat16"", ""bfloat16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",large-bf16
14,MaxPool3dGradWithArgmax,"[[4, 16, 5, 5, 5], [4, 16, 5, 5, 5], [4, 16, 5, 5, 5]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [1, 1, 1], ""strides"": [1, 1, 1], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",k1-fp16
15,MaxPool3dGradWithArgmax,"[[1, 3, 32, 32, 32], [1, 3, 16, 16, 16], [1, 3, 16, 16, 16]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",large-fp32
16,MaxPool3dGradWithArgmax,"[[1, 4, 10, 10, 10], [1, 4, 6, 6, 6], [1, 4, 6, 6, 6]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [1, 1, 1], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",dilation1-fp16-k3s1
17,MaxPool3dGradWithArgmax,"[[1, 4, 16, 24, 32], [1, 4, 8, 8, 9], [1, 4, 8, 8, 9]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [2, 3, 4], ""strides"": [2, 3, 4], ""pads"": [0, 1, 2], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",asymmetric-fp32-k234
18,MaxPool3dGradWithArgmax,"[[2, 8, 8, 8, 8], [2, 8, 8, 8, 8], [2, 8, 8, 8, 8]]","[""bfloat16"", ""bfloat16"", ""int64""]","{""ksize"": [1, 1, 1], ""strides"": [1, 1, 1], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",k1-bf16-identity
19,MaxPool3dGradWithArgmax,"[[2, 16, 32, 32, 32], [2, 16, 16, 16, 16], [2, 16, 16, 16, 16]]","[""float16"", ""float16"", ""int64""]","{""ksize"": [2, 2, 2], ""strides"": [2, 2, 2], ""pads"": [0, 0, 0], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",large-fp16-k2s2
20,MaxPool3dGradWithArgmax,"[[1, 3, 5, 5, 5], [1, 3, 5, 5, 5], [1, 3, 5, 5, 5]]","[""float32"", ""float32"", ""int64""]","{""ksize"": [3, 3, 3], ""strides"": [1, 1, 1], ""pads"": [1, 1, 1], ""dilation"": [1, 1, 1], ""ceil_mode"": false}","[[-1, 1], [-1, 1], [0, 0]]",small-fp32-k3s1p1
