operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MHA,1,"[[2, 128, 512], [2, 128, 512], [2, 128, 512], [512, 512], [512, 512], [512, 512], [512, 512]]","['float16', 'float16', 'float16', 'float16', 'float16', 'float16', 'float16']","{'numHeads': 8, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float16-B2S128D512-H8-对齐-自编码
MHA,2,"[[4, 256, 1024], [4, 256, 1024], [4, 256, 1024], [1024, 1024], [1024, 1024], [1024, 1024], [1024, 1024]]","['float32', 'float32', 'float32', 'float32', 'float32', 'float32', 'float32']","{'numHeads': 16, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float32-B4S256D1024-H16-对齐-标准
MHA,3,"[[2, 512, 2048], [2, 512, 2048], [2, 512, 2048], [2048, 2048], [2048, 2048], [2048, 2048], [2048, 2048]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'numHeads': 32, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,bfloat16-B2S512D2048-H32-对齐-大模型
MHA,4,"[[1, 1024, 4096], [1, 1024, 4096], [1, 1024, 4096], [4096, 4096], [4096, 4096], [4096, 4096], [4096, 4096]]","['float16', 'float16', 'float16', 'float16', 'float16', 'float16', 'float16']","{'numHeads': 32, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float16-B1S1024D4096-H32-对齐-长序列
MHA,5,"[[8, 64, 512], [8, 64, 512], [8, 64, 512], [512, 512], [512, 512], [512, 512], [512, 512]]","['float32', 'float32', 'float32', 'float32', 'float32', 'float32', 'float32']","{'numHeads': 8, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-2, 2]",None,float32-B8S64D512-H8-对齐-大batch
MHA,6,"[[2, 128, 768], [2, 256, 768], [2, 256, 768], [768, 768], [768, 768], [768, 768], [768, 768]]","['float16', 'float16', 'float16', 'float16', 'float16', 'float16', 'float16']","{'numHeads': 12, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float16-B2S128Skv256D768-H12-cross-attention
MHA,7,"[[1, 2048, 512], [1, 512, 512], [1, 512, 512], [512, 512], [512, 512], [512, 512], [512, 512]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'numHeads': 8, 'scaleValue': 0.125, 'dropoutRate': 0.0}","[-1, 1]",None,bfloat16-B1S2048Skv512D512-H8-显式scale
MHA,8,"[[2, 127, 513], [2, 127, 513], [2, 127, 513], [513, 513], [513, 513], [513, 513], [513, 513]]","['float32', 'float32', 'float32', 'float32', 'float32', 'float32', 'float32']","{'numHeads': 9, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float32-B2S127D513-H9-非对齐
MHA,9,"[[3, 131, 768], [3, 131, 768], [3, 131, 768], [768, 768], [768, 768], [768, 768], [768, 768]]","['float16', 'float16', 'float16', 'float16', 'float16', 'float16', 'float16']","{'numHeads': 12, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float16-B3S131D768-H12-质数非对齐
MHA,10,"[[1, 1, 512], [1, 1024, 512], [1, 1024, 512], [512, 512], [512, 512], [512, 512], [512, 512]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'numHeads': 8, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,bfloat16-B1S1Skv1024D512-H8-解码阶段
MHA,11,"[[2, 256, 256], [2, 256, 256], [2, 256, 256], [256, 256], [256, 256], [256, 256], [256, 256]]","['float32', 'float32', 'float32', 'float32', 'float32', 'float32', 'float32']","{'numHeads': 4, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float32-B2S256D256-H4-小模型
MHA,12,"[[1, 4096, 1024], [1, 4096, 1024], [1, 4096, 1024], [1024, 1024], [1024, 1024], [1024, 1024], [1024, 1024]]","['float16', 'float16', 'float16', 'float16', 'float16', 'float16', 'float16']","{'numHeads': 16, 'scaleValue': -1.0, 'dropoutRate': 0.0}","[-1, 1]",None,float16-B1S4096D1024-H16-超长序列
