operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AiInfraSparseFlashAttentionGqa,1,"[[2048, 16, 128], [1024, 128, 1, 128], [1024, 128, 1, 128], [2048, 1, 96], [1, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [131072], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 131071], null]",15286.305,5925.078,M-bfloat16-TND-PA_BSND-Q2048x16x128-K1024x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,2,"[[2048, 16, 128], [768, 128, 1, 128], [768, 128, 1, 128], [2048, 1, 96], [1, 768]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [98304], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 98303], null]",11267.865,5900.298,M-bfloat16-TND-PA_BSND-Q2048x16x128-K768x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,3,"[[2048, 16, 128], [512, 128, 1, 128], [512, 128, 1, 128], [2048, 1, 96], [1, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [65536], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 65535], null]",7497.79,5903.298,M-bfloat16-TND-PA_BSND-Q2048x16x128-K512x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,4,"[[2048, 16, 128], [256, 128, 1, 128], [256, 128, 1, 128], [2048, 1, 96], [1, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [32768], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 32767], null]",3733.535,5873.797,M-bfloat16-TND-PA_BSND-Q2048x16x128-K256x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,5,"[[2048, 16, 128], [128, 128, 1, 128], [128, 128, 1, 128], [2048, 1, 96], [1, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [16384], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 16383], null]",1866.477,5877.457,M-bfloat16-TND-PA_BSND-Q2048x16x128-K128x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,6,"[[2048, 16, 128], [2048, 1, 128], [2048, 1, 128], [2048, 1, 96]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 0, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [2048], ""actual_seq_lengths_kv"": [2048], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""TND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 2047]]",254.025,1501.61,M-bfloat16-TND-TND-Q2048x16x128-K2048x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,7,"[[1, 16, 128], [1024, 128, 1, 128], [1024, 128, 1, 128], [1, 1, 96], [1, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_kv"": [131072], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 131071], null]",87.082,88.322,M-bfloat16-TND-PA_BSND-Q1x16x128-K1024x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,8,"[[64, 16, 128], [1024, 128, 1, 128], [1024, 128, 1, 128], [64, 1, 96], [8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [8, 16, 24, 32, 40, 48, 56, 64], ""actual_seq_lengths_kv"": [16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 16383], null]",169.243,292.126,M-bfloat16-TND-PA_BSND-Q64x16x128-K1024x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,9,"[[64, 16, 128], [4096, 128, 1, 128], [4096, 128, 1, 128], [64, 1, 96], [8, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [8, 16, 24, 32, 40, 48, 56, 64], ""actual_seq_lengths_kv"": [65536, 65536, 65536, 65536, 65536, 65536, 65536, 65536], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 65535], null]",466.249,326.026,L-bfloat16-TND-PA_BSND-Q64x16x128-K4096x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
AiInfraSparseFlashAttentionGqa,10,"[[64, 16, 128], [12288, 128, 1, 128], [12288, 128, 1, 128], [64, 1, 96], [8, 1536]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""scale_value"": 0.08838834764831843, ""sparse_block_size"": 64, ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 96, ""actual_seq_lengths_query"": [8, 16, 24, 32, 40, 48, 56, 64], ""actual_seq_lengths_kv"": [196608, 196608, 196608, 196608, 196608, 196608, 196608, 196608], ""return_softmax_lse"": false, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807, ""num_query_heads"": 16, ""num_key_value_heads"": 1, ""input_layout"": ""TND"", ""input_layout_kv"": ""PA_BSND""}","[[-1, 1], [-1, 1], [-1, 1], [0, 196607], null]",1341.127,334.047,L-bfloat16-TND-PA_BSND-Q64x16x128-K12288x128x1x128-top96-sparse3 | baseline_kernels: SparseFlashAttention×1
