operator,case_id,input_shape,dtype,attrs,value_range,note
LightningIndexerEnhance,1,"[[8, 1, 64, 128], [8, 65488, 1, 128], [8, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""actual_seq_lengths_query"": [1, 1, 0, 1, 1, 0, 0, 0], ""actual_seq_lengths_key"": [93, 93, 93, 93, 93, 93, 93, 93], ""layout_query"": ""BSND"", ""layout_key"": ""BSND"", ""sparse_count"": 2048, ""sparse_mode"": 3, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",M-bfloat16-BSND-BSND-Q8x1x64x128-K8x65488x1x128-sparse3 | baseline_kernels: TopK×1
LightningIndexerEnhance,2,"[[1728, 64, 128], [1728, 1, 128], [1728, 64]]","[""float16"", ""float16"", ""float16""]","{""actual_seq_lengths_query"": [54, 108, 162, 216, 270, 324, 378, 432, 486, 540, 594, 648, 702, 756, 810, 864, 918, 972, 1026, 1080, 1134, 1188, 1242, 1296, 1350, 1404, 1458, 1512, 1566, 1620, 1674, 1728], ""actual_seq_lengths_key"": [54, 108, 162, 216, 270, 324, 378, 432, 486, 540, 594, 648, 702, 756, 810, 864, 918, 972, 1026, 1080, 1134, 1188, 1242, 1296, 1350, 1404, 1458, 1512, 1566, 1620, 1674, 1728], ""layout_query"": ""TND"", ""layout_key"": ""TND"", ""sparse_count"": 2048, ""sparse_mode"": 0, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",M-float16-TND-TND-Q1728x64x128-K1728x1x128-sparse0 | baseline_kernels: TopK×1
LightningIndexerEnhance,3,"[[70096, 64, 128], [15920, 1, 128], [70096, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""actual_seq_lengths_query"": [4381, 8762, 13143, 17524, 21905, 26286, 30667, 35048, 39429, 43810, 48191, 52572, 56953, 61334, 65715, 70096], ""actual_seq_lengths_key"": [995, 1990, 2985, 3980, 4975, 5970, 6965, 7960, 8955, 9950, 10945, 11940, 12935, 13930, 14925, 15920], ""layout_query"": ""TND"", ""layout_key"": ""TND"", ""sparse_count"": 2048, ""sparse_mode"": 0, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",L-bfloat16-TND-TND-Q70096x64x128-K15920x1x128-sparse0 | baseline_kernels: TopK×1
LightningIndexerEnhance,4,"[[16, 1020, 64, 128], [16, 1020, 1, 128], [16, 1020, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""actual_seq_lengths_query"": [], ""actual_seq_lengths_key"": [], ""layout_query"": ""BSND"", ""layout_key"": ""BSND"", ""sparse_count"": 2048, ""sparse_mode"": 3, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",L-bfloat16-BSND-BSND-Q16x1020x64x128-K16x1020x1x128-sparse3 | baseline_kernels: TopK×1
LightningIndexerEnhance,5,"[[4, 3, 64, 128], [4, 1024, 1, 128], [4, 3, 64]]","[""float16"", ""float16"", ""float16""]","{""actual_seq_lengths_query"": [], ""actual_seq_lengths_key"": [], ""layout_query"": ""BSND"", ""layout_key"": ""BSND"", ""sparse_count"": 2048, ""sparse_mode"": 0, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",S-float16-BSND-BSND-Q4x3x64x128-K4x1024x1x128-sparse0 | baseline_kernels: TopK×1
LightningIndexerEnhance,6,"[[238992, 64, 128], [238992, 1, 128], [238992, 64]]","[""float16"", ""float16"", ""float16""]","{""actual_seq_lengths_query"": [9958, 19916, 29874, 39832, 49790, 59748, 69706, 79664, 89622, 99580, 109538, 119496, 129454, 139412, 149370, 159328, 169286, 179244, 189202, 199160, 209118, 219076, 229034, 238992], ""actual_seq_lengths_key"": [9958, 19916, 29874, 39832, 49790, 59748, 69706, 79664, 89622, 99580, 109538, 119496, 129454, 139412, 149370, 159328, 169286, 179244, 189202, 199160, 209118, 219076, 229034, 238992], ""layout_query"": ""TND"", ""layout_key"": ""TND"", ""sparse_count"": 2048, ""sparse_mode"": 3, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",L-float16-TND-TND-Q238992x64x128-K238992x1x128-sparse3 | baseline_kernels: TopK×1
LightningIndexerEnhance,7,"[[5760, 64, 128], [288, 1, 128], [5760, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""actual_seq_lengths_query"": [120, 240, 360, 480, 600, 720, 840, 960, 1080, 1200, 1320, 1440, 1560, 1680, 1800, 1920, 2040, 2160, 2280, 2400, 2520, 2640, 2760, 2880, 3000, 3120, 3240, 3360, 3480, 3600, 3720, 3840, 3960, 4080, 4200, 4320, 4440, 4560, 4680, 4800, 4920, 5040, 5160, 5280, 5400, 5520, 5640, 5760], ""actual_seq_lengths_key"": [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114, 120, 126, 132, 138, 144, 150, 156, 162, 168, 174, 180, 186, 192, 198, 204, 210, 216, 222, 228, 234, 240, 246, 252, 258, 264, 270, 276, 282, 288], ""layout_query"": ""TND"", ""layout_key"": ""TND"", ""sparse_count"": 2048, ""sparse_mode"": 0, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",M-bfloat16-TND-TND-Q5760x64x128-K288x1x128-sparse0 | baseline_kernels: TopK×1
LightningIndexerEnhance,8,"[[32, 10561, 64, 128], [32, 16484, 1, 128], [32, 10561, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""actual_seq_lengths_query"": [65, 47, 44, 87, 28, 8960, 34, 9472, 10368, 6144, 4224, 6272, 8960, 57, 58, 62, 7680, 50, 4352, 64, 9984, 1, 50, 5760, 101, 6784, 7808, 3, 7680, 8448, 6528, 512], ""actual_seq_lengths_key"": [66, 4992, 13, 12672, 4224, 2816, 16128, 256, 48, 98, 11776, 21, 93, 19, 83, 6, 85, 64, 5632, 9472, 41, 12672, 5760, 14, 90, 3584, 6016, 57, 2816, 14464, 70, 78], ""layout_query"": ""BSND"", ""layout_key"": ""BSND"", ""sparse_count"": 2048, ""sparse_mode"": 0, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",L-bfloat16-BSND-BSND-Q32x10561x64x128-K32x16484x1x128-sparse0 | baseline_kernels: TopK×1
LightningIndexerEnhance,9,"[[16, 1025, 64, 128], [16, 16348, 1, 128], [16, 1025, 64]]","[""float16"", ""float16"", ""float16""]","{""actual_seq_lengths_query"": [256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256], ""actual_seq_lengths_key"": [16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108, 16108], ""layout_query"": ""BSND"", ""layout_key"": ""BSND"", ""sparse_count"": 2048, ""sparse_mode"": 3, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",L-float16-BSND-BSND-Q16x1025x64x128-K16x16348x1x128-sparse3 | baseline_kernels: TopK×1
LightningIndexerEnhance,10,"[[6198, 64, 128], [6198, 1, 128], [6198, 64]]","[""float16"", ""float16"", ""float16""]","{""actual_seq_lengths_query"": [6016, 6019, 6102, 6198], ""actual_seq_lengths_key"": [6016, 6019, 6102, 6198], ""layout_query"": ""TND"", ""layout_key"": ""TND"", ""sparse_count"": 2048, ""sparse_mode"": 3, ""sparse_block_size"": 1, ""sparse_block_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",M-float16-TND-TND-Q6198x64x128-K6198x1x128-sparse3 | baseline_kernels: TopK×1
