operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
SparseFlashAttentionEnhance,1,"[[1, 1, 1, 512], [64, 128, 1, 512], [64, 128, 1, 512], [1, 1, 1, 2048], [1, 128], [1], [1], [1, 1, 1, 64], [64, 128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 1, ""layout_query"": ""BSND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 2048, ""num_query_heads"": 1, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_kv"": [8192], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1, 1], [8192, 8192], [-10, 10], [-10, 10]]",,,M-bfloat16-BSND-PA_BSND-Q1x1x1x512-K64x128x1x512-top2048-sparse3-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,2,"[[4, 3, 512], [32768, 1, 512], [32768, 1, 512], [4, 1, 4096], null, [4], [4], [4, 3, 64], [32768, 1, 64]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 1, ""layout_query"": ""TND"", ""layout_kv"": ""TND"", ""sparse_mode"": 0, ""block_size"": 0, ""sparse_block_count"": 4096, ""num_query_heads"": 3, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1, 2, 3, 4], ""actual_seq_lengths_kv"": [1024, 2048, 4096, 8192], ""return_softmax_lse"": true, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1, 4], [1024, 8192], [-10, 10], [-10, 10]]",,,M-float16-TND-TND-Q4x3x512-K32768x1x512-top4096-sparse0-lse-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,3,"[[2, 6, 512], [8192, 1, 512], [8192, 1, 512], [2, 1, 256], null, [2], [2], [2, 6, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 8, ""layout_query"": ""TND"", ""layout_kv"": ""TND"", ""sparse_mode"": 3, ""block_size"": 0, ""sparse_block_count"": 256, ""num_query_heads"": 6, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1, 2], ""actual_seq_lengths_kv"": [2048, 4096], ""return_softmax_lse"": true, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1, 2], [2048, 4096], [-10, 10], [-10, 10]]",,,M-bfloat16-TND-TND-Q2x6x512-K8192x1x512-top256-sparse3-lse-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,4,"[[4, 1024, 128, 512], [1024, 128, 1, 512], [1024, 128, 1, 512], [4, 1024, 1, 2048], [4, 256], [4], [4], [4, 1024, 128, 64], [1024, 128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 8, ""layout_query"": ""BSND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 2048, ""num_query_heads"": 128, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1024, 1024, 1024, 1024], ""actual_seq_lengths_kv"": [32768, 32768, 32768, 32768], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1024, 1024], [32768, 32768], [-10, 10], [-10, 10]]",,,L-bfloat16-BSND-PA_BSND-Q4x1024x128x512-K1024x128x1x512-top2048-sparse3-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,5,"[[1, 4, 128, 512], [256, 128, 1, 512], [256, 128, 1, 512], [1, 4, 1, 512], [1, 256], [1], [1], [1, 4, 128, 64], [256, 128, 1, 64]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 16, ""layout_query"": ""BSND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 0, ""block_size"": 128, ""sparse_block_count"": 512, ""num_query_heads"": 128, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [4], ""actual_seq_lengths_kv"": [32768], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [4, 4], [32768, 32768], [-10, 10], [-10, 10]]",,,M-float16-BSND-PA_BSND-Q1x4x128x512-K256x128x1x512-top512-sparse0-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,6,"[[4, 12, 512], [32, 128, 1, 512], [32, 128, 1, 512], [4, 1, 128], [1, 32], [1], [1], [4, 12, 64], [32, 128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 8, ""layout_query"": ""TND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 0, ""block_size"": 128, ""sparse_block_count"": 128, ""num_query_heads"": 12, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [4], ""actual_seq_lengths_kv"": [4096], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [4, 4], [4096, 4096], [-10, 10], [-10, 10]]",,,M-bfloat16-TND-PA_BSND-Q4x12x512-K32x128x1x512-top128-sparse0-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,7,"[[128, 24, 512], [128, 128, 1, 512], [128, 128, 1, 512], [128, 1, 128], [1, 128], [1], [1], [128, 24, 64], [128, 128, 1, 64]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 64, ""layout_query"": ""TND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 128, ""num_query_heads"": 24, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [128], ""actual_seq_lengths_kv"": [16384], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [128, 128], [16384, 16384], [-10, 10], [-10, 10]]",,,M-float16-TND-PA_BSND-Q128x24x512-K128x128x1x512-top128-sparse3-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,8,"[[4, 1, 24, 512], [256, 128, 1, 512], [256, 128, 1, 512], [4, 1, 1, 64], [4, 64], [4], [4], [4, 1, 24, 64], [256, 128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 32, ""layout_query"": ""BSND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 3, ""block_size"": 128, ""sparse_block_count"": 64, ""num_query_heads"": 24, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1, 1, 1, 1], ""actual_seq_lengths_kv"": [8192, 8192, 8192, 8192], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1, 1], [8192, 8192], [-10, 10], [-10, 10]]",,,M-bfloat16-BSND-PA_BSND-Q4x1x24x512-K256x128x1x512-top64-sparse3-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,9,"[[8, 48, 512], [65536, 1, 512], [65536, 1, 512], [8, 1, 3072], null, [8], [8], [8, 48, 64], [65536, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32"", ""int32"", ""int32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 1, ""layout_query"": ""TND"", ""layout_kv"": ""TND"", ""sparse_mode"": 3, ""block_size"": 0, ""sparse_block_count"": 3072, ""num_query_heads"": 48, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [1, 2, 3, 4, 5, 6, 7, 8], ""actual_seq_lengths_kv"": [64, 128, 256, 512, 1024, 2048, 4096, 8192], ""return_softmax_lse"": true, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [1, 8], [64, 8192], [-10, 10], [-10, 10]]",,,M-bfloat16-TND-TND-Q8x48x512-K65536x1x512-top3072-sparse3-lse-rope | baseline_kernels: SparseFlashAttention×1
SparseFlashAttentionEnhance,10,"[[4, 16, 64, 512], [256, 128, 1, 512], [256, 128, 1, 512], [4, 16, 1, 5120], [4, 64], [4], [4], [4, 16, 64, 64], [256, 128, 1, 64]]","[""float16"", ""float16"", ""float16"", ""int32"", ""int32"", ""int32"", ""int32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""sparse_block_size"": 1, ""layout_query"": ""BSND"", ""layout_kv"": ""PA_BSND"", ""sparse_mode"": 0, ""block_size"": 128, ""sparse_block_count"": 5120, ""num_query_heads"": 64, ""num_key_value_heads"": 1, ""actual_seq_lengths_query"": [16, 16, 16, 16], ""actual_seq_lengths_kv"": [8192, 8192, 8192, 8192], ""return_softmax_lse"": false, ""attention_mode"": 2, ""pre_tokens"": 9223372036854775807, ""next_tokens"": 9223372036854775807}","[[-10, 10], [-10, 10], [-10, 10], null, null, [16, 16], [8192, 8192], [-10, 10], [-10, 10]]",,,M-float16-BSND-PA_BSND-Q4x16x64x512-K256x128x1x512-top5120-sparse0-rope | baseline_kernels: SparseFlashAttention×1
