operator,case_id,input_shape,dtype,attrs,value_range,note
SparseLightningIndexerGradKLLossEnhance,1,"[[1024, 64, 512], [1024, 1, 512], [1024, 32, 128], [1024, 1, 128], [1024, 32], [1024, 1, 2048], [1, 1024, 64], [1, 1024, 64], [1024, 64, 64], [1024, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [512, 1024], ""actual_seq_lengths_key"": [512, 1024], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [0, 100], [-10, 10], [-1, 1], [-1, 1]]",M-bfloat16-TND-Q1024x64x512-K1024x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,2,"[[8192, 48, 512], [8192, 1, 512], [8192, 24, 128], [8192, 1, 128], [8192, 24], [8192, 1, 1024], [1, 8192, 48], [1, 8192, 48], [8192, 48, 64], [8192, 1, 64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""float32"", ""float32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [8192], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [0, 100], [-10, 10], [-1, 1], [-1, 1]]",L-float16-TND-Q8192x48x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,3,"[[1, 64, 512], [8192, 1, 512], [1, 32, 128], [8192, 1, 128], [1, 32], [1, 1, 1024], [1, 1, 64], [1, 1, 64], [1, 64, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [-1, 0], [-1, 1], [-1000, 1000], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q1x64x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,4,"[[1, 64, 512], [8192, 1, 512], [1, 32, 128], [8192, 1, 128], [1, 32], [1, 1, 2048], [1, 1, 64], [1, 1, 64], [1, 64, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [-1, 0], [-1, 1], [-1000, 1000], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q1x64x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,5,"[[1, 64, 512], [8192, 1, 512], [1, 32, 128], [8192, 1, 128], [1, 32], [1, 1, 3072], [1, 1, 64], [1, 1, 64], [1, 64, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [1, 2], [-1000, 1000], [0, 100], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q1x64x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,6,"[[1, 64, 512], [8192, 1, 512], [1, 32, 128], [8192, 1, 128], [1, 32], [1, 1, 4096], [1, 1, 64], [1, 1, 64], [1, 64, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [-1, 0], [-1, 1], [-1000, 1000], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q1x64x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,7,"[[1, 64, 512], [8192, 1, 512], [1, 32, 128], [8192, 1, 128], [1, 32], [1, 1, 8192], [1, 1, 64], [1, 1, 64], [1, 64, 64], [8192, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1], ""actual_seq_lengths_key"": [8192], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [-1, 0], [-1, 1], [-1000, 1000], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q1x64x512-K8192x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,8,"[[10, 128, 512], [1024, 1, 512], [10, 64, 128], [1024, 1, 128], [10, 64], [10, 1, 2048], [1, 10, 128], [1, 10, 128], [10, 128, 64], [1024, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [1, 3, 6, 10], ""actual_seq_lengths_key"": [256, 512, 768, 1024], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [0, 100], [-10, 10], [-1, 1], [-1, 1]]",S-bfloat16-TND-Q10x128x512-K1024x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,9,"[[64, 96, 512], [24576, 1, 512], [64, 48, 128], [24576, 1, 128], [64, 48], [64, 1, 3072], [1, 64, 96], [1, 64, 96], [64, 96, 64], [24576, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [32, 64], ""actual_seq_lengths_key"": [16384, 24576], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [-1, 0], [-1, 1], [-1000, 1000], [-10, 10], [-10, 10]]",M-bfloat16-TND-Q64x96x512-K24576x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
SparseLightningIndexerGradKLLossEnhance,10,"[[17, 48, 512], [31344, 1, 512], [17, 24, 128], [31344, 1, 128], [17, 24], [17, 1, 8192], [1, 17, 48], [1, 17, 48], [17, 48, 64], [31344, 1, 64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""float32"", ""float32"", ""float16"", ""float16""]","{""scale_value"": 0.04166666666666666, ""layout"": ""TND"", ""actual_seq_lengths_query"": [2, 5, 10, 17], ""actual_seq_lengths_key"": [8192, 10192, 30672, 31344], ""sparse_mode"": 3, ""sparse_block_size"": 1, ""deterministic"": true}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [-1, 1], [1, 2], [-1000, 1000], [0, 100], [-10, 10], [-10, 10]]",M-float16-TND-Q17x48x512-K31344x1x512-sparse3-rope | baseline_kernels: SparseLightningIndexerGradKLLoss×1
