operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Exp,1,"[[1024, 1024]]","[""float16""]","{""base"": -1.0, ""scale"": 1.0, ""shift"": 0.0}","[-1, 1]",18.22,1.09,S-float16-1M-对齐-对称小值域-base=-1 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,2,"[[2048, 2048]]","[""float32""]","{""base"": -1.0, ""scale"": 1.5, ""shift"": 0.0}","[-2, 2]",38.82,8.74,M-float32-4M-对齐-对称小值域-scale=1.5 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,3,"[[4096, 4096]]","[""bfloat16""]","{""base"": -1.0, ""scale"": 2.0, ""shift"": 0.0}","[-3, 3]",68.74,17.48,M-bfloat16-16M-对齐-对称小值域-scale=2 | baseline_kernels: Muls×1 + Add×1 + Exp×1
Exp,4,"[[8192, 8192]]","[""float16""]","{""base"": -1.0, ""scale"": 0.5, ""shift"": 0.0}","[-10, 10]",566.11,69.91,L-float16-67M-对齐-对称中值域-scale=0.5 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,5,"[[8192, 8192]]","[""float32""]","{""base"": -1.0, ""scale"": 1.0, ""shift"": 1.0}","[-100, 100]",1228.01,139.81,L-float32-268M-对齐-对称大值域-shift=1 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,6,"[[1023, 1023]]","[""bfloat16""]","{""base"": 2.0, ""scale"": 1.0, ""shift"": 0.0}","[-0.1, 0.1]",21.7,1.09,S-bfloat16-1M-非对齐-对称微小值域-base=2 | baseline_kernels: Muls×1 + Add×1 + Log×1 + Mul×1 + Exp×1
Exp,7,"[[1009, 1021]]","[""float16""]","{""base"": 2.0, ""scale"": 1.5, ""shift"": 0.0}","[-1, 2]",23.34,1.07,S-float16-1M-质数非对齐-非对称小值域-base=2-scale=1.5 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,8,"[[1537, 769]]","[""float32""]","{""base"": 10.0, ""scale"": 1.0, ""shift"": 0.0}","[-5, 10]",27.24,2.46,S-float32-1M-非对齐-非对称中值域-base=10 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,9,"[[363, 367, 373]]","[""bfloat16""]","{""base"": -1.0, ""scale"": 2.0, ""shift"": 0.5}","[-50, 100]",224.12,51.76,M-bfloat16-50M-质数非对齐-非对称大值域-scale=2-shift=0.5 | baseline_kernels: Muls×1 + Add×1 + Exp×1
Exp,10,"[[2049, 513]]","[""float16""]","{""base"": -1.0, ""scale"": 1.0, ""shift"": 2.0}","[-65504, 65504]",18.36,1.09,S-float16-1M-非对齐-float16边界值-shift=2 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,11,"[[3, 7, 13, 4003]]","[""float32""]","{""base"": 1.0, ""scale"": 2.0, ""shift"": 0.0}","[-88, 88]",27.0,2.28,S-float32-1M-质数非对齐-float32边界值-base=1 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,12,[[1000007]],"[""bfloat16""]","{""base"": -1.0, ""scale"": 0.5, ""shift"": 0.5}","[""-inf"", ""inf""]",15.14,1.04,S-bfloat16-1M-质数非对齐-inf特殊值-scale=0.5-shift=0.5 | baseline_kernels: Muls×1 + Add×1 + Exp×1
Exp,13,"[[11, 13, 17, 67, 67]]","[""float32""]","{""base"": 2.0, ""scale"": 1.0, ""shift"": 1.0}","[""nan"", ""nan""]",93.84,22.73,M-float32-10M-质数非对齐-nan特殊值-base=2-shift=1 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,14,"[[3, 7, 11, 13, 1013]]","[""float16""]","{""base"": -1.0, ""scale"": 2.0, ""shift"": 1.0}","[0, 0]",24.02,3.17,S-float16-3M-质数非对齐-零值-scale=2-shift=1 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,15,"[[512, 2049]]","[""float32""]","{""base"": -1.0, ""scale"": 1.0, ""shift"": 0.5}","[-0.5, 0.5]",20.54,2.19,S-float32-1M-非对齐-对称微小值域-shift=0.5 | baseline_kernels: Mul×1 + Add×1 + Exp×1
Exp,16,"[[255, 8193]]","[""bfloat16""]","{""base"": -1.0, ""scale"": 1.2, ""shift"": 0.0}","[-1, 3]",18.56,2.18,S-bfloat16-2M-非对齐-非对称小值域-scale=1.2 | baseline_kernels: Muls×1 + Add×1 + Exp×1
Exp,17,"[[4097, 511]]","[""float16""]","{""base"": 1.0, ""scale"": 0.5, ""shift"": 0.0}","[-1000, 1000]",27.2,2.18,S-float16-2M-非对齐-对称大值域-base=1-scale=0.5 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,18,"[[2, 511, 2049]]","[""float32""]","{""base"": 2.0, ""scale"": 0.5, ""shift"": 0.0}","[-0.2, 0.2]",33.2,4.36,S-float32-2M-非对齐-对称微小值域-base=2-scale=0.5 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
Exp,19,"[[4, 255, 2049]]","[""bfloat16""]","{""base"": 10.0, ""scale"": 0.5, ""shift"": 0.5}","[-3, 6]",25.96,2.44,S-bfloat16-2M-非对齐-非对称中值域-base=10-scale=0.5-shift=0.5 | baseline_kernels: Muls×1 + Add×1 + Log×1 + Mul×1 + Exp×1
Exp,20,"[[2, 3, 17, 1024, 101]]","[""float16""]","{""base"": 1.0, ""scale"": 1.5, ""shift"": 1.0}","[-20, 40]",59.88,12.31,M-float16-10M-非对齐-非对称大值域-base=1-scale=1.5-shift=1 | baseline_kernels: Mul×2 + Add×1 + Log×1 + Exp×1
