operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ForeachAddcdivScalar,1,"[[[1024, 1024], [1024, 1024]], [[1024, 1024], [1024, 1024]], [[1024, 1024], [1024, 1024]]]","[""float32""]","{""scalar"": 1.0}","[[-1.0, 1.0], [-1.0, 1.0], [0.5, 1.0]]",36.86,13.11,M-float32-y=x1+x2/x3*scalar-TensorList_len=2-对齐-小比值范围 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,2,"[[[2048, 2048], [2048, 2048], [2048, 2048]], [[2048, 2048], [2048, 2048], [2048, 2048]], [[2048, 2048], [2048, 2048], [2048, 2048]]]","[""float16""]","{""scalar"": 1.0}","[[-2.0, 2.0], [-2.0, 2.0], [1.0, 2.0]]",89.62,39.32,M-float16-y=x1+x2/x3*scalar-TensorList_len=3-对齐-小比值范围 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,3,"[[[4096, 4096]], [[4096, 4096]], [[4096, 4096]]]","[""bfloat16""]","{""scalar"": 1.0}","[[-3.0, 3.0], [-3.0, 3.0], [0.3, 3.0]]",115.76,52.43,M-bfloat16-y=x1+x2/x3*scalar-16M-对齐-对称小值域 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,4,"[[[8192, 8192]], [[8192, 8192]], [[8192, 8192]]]","[""float32""]","{""scalar"": 0.5}","[[1.0, 10.0], [-10.0, 10.0], [5.0, 10.0]]",892.0,419.43,L-float32-scalar=0.5-67M-对齐-结果远离0 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,5,"[[[8192, 4096], [8192, 4096]], [[8192, 4096], [8192, 4096]], [[8192, 4096], [8192, 4096]]]","[""float16""]","{""scalar"": 2.0}","[[-100.0, 100.0], [-100.0, 100.0], [50.0, 100.0]]",481.27,209.72,L-float16-scalar=2.0-TensorList_len=2-对齐-小比值范围 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,6,"[[[1023, 1023]], [[1023, 1023]], [[1023, 1023]]]","[""bfloat16""]","{""scalar"": -1.0}","[[-0.1, 0.1], [-0.1, 0.1], [0.1, 0.1]]",18.7,3.27,S-bfloat16-scalar=-1.0-1M-非对齐-对称微小值域 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,7,"[[[1009, 1021]], [[1009, 1021]], [[1009, 1021]]]","[""float32""]","{""scalar"": 1.5}","[[-1.0, 2.0], [-1.0, 2.0], [1.0, 2.0]]",25.32,6.44,M-float32-scalar=1.5-1M-质数非对齐-小比值范围 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,8,"[[[1537, 769]], [[1537, 769]], [[1537, 769]]]","[""float16""]","{""scalar"": 1.0}","[[-5.0, 10.0], [-5.0, 10.0], [0.1, 10.0]]",21.44,3.69,S-float16-1M-非对齐-非对称中值域 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,9,"[[[363, 367, 373], [363, 367, 373]], [[363, 367, 373], [363, 367, 373]], [[363, 367, 373], [363, 367, 373]]]","[""bfloat16""]","{""scalar"": 1.0}","[[-50.0, 100.0], [-50.0, 100.0], [0.1, 100.0]]",767.63,310.57,L-bfloat16-TensorList_len=2-质数非对齐-非对称大值域-3D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,10,"[[[2049, 513]], [[2049, 513]], [[2049, 513]]]","[""float32""]","{""scalar"": 1.0}","[[-65504.0, 65504.0], [-65504.0, 65504.0], [1.0, 65504.0]]",24.28,6.57,M-float32-1M-非对齐-类型边界值 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,11,"[[[3, 7, 13, 4001], [3, 7, 13, 4001]], [[3, 7, 13, 4001], [3, 7, 13, 4001]], [[3, 7, 13, 4001], [3, 7, 13, 4001]]]","[""float16""]","{""scalar"": 1.0}","[[-88.0, 88.0], [-88.0, 88.0], [0.1, 88.0]]",31.92,6.83,M-float16-TensorList_len=2-质数非对齐-float32边界值-4D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,12,"[[[1000003]], [[1000003]], [[1000003]]]","[""float32""]","{""scalar"": ""inf""}","[[""-inf"", ""inf""], [""-inf"", ""inf""], [0.1, ""inf""]]",22.98,6.25,M-float32-scalar=inf-inf特殊值-1D-质数非对齐 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,13,"[[[11, 13, 17, 67, 67]], [[11, 13, 17, 67, 67]], [[11, 13, 17, 67, 67]]]","[""bfloat16""]","{""scalar"": ""nan""}","[[""nan"", ""nan""], [""nan"", ""nan""], [""nan"", ""nan""]]",80.82,34.1,M-bfloat16-scalar=nan-nan特殊值-10M-质数非对齐-5D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,14,"[[[3, 7, 11, 13, 1013]], [[3, 7, 11, 13, 1013]], [[3, 7, 11, 13, 1013]]]","[""float32""]","{""scalar"": 1.0}","[[0, 0], [0, 0], [0.001, 0.001]]",43.22,19.01,M-float32-零值-3M-质数非对齐-5D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,15,"[[[512, 2049], [512, 2049]], [[512, 2049], [512, 2049]], [[512, 2049], [512, 2049]]]","[""float32""]","{""scalar"": 1.0}","[[-0.5, 0.5], [-0.5, 0.5], [0.25, 0.5]]",35.96,13.11,M-float32-TensorList_len=2-2M-非对齐-小比值范围 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,16,"[[[255, 8193], [255, 8193], [255, 8193], [255, 8193]], [[255, 8193], [255, 8193], [255, 8193], [255, 8193]], [[255, 8193], [255, 8193], [255, 8193], [255, 8193]]]","[""bfloat16""]","{""scalar"": 1.0}","[[-1.0, 3.0], [-1.0, 3.0], [0.1, 3.0]]",71.44,26.12,M-bfloat16-TensorList_len=4-8M-非对齐-非对称小值域 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,17,"[[[4097, 511]], [[4097, 511]], [[4097, 511]]]","[""float16""]","{""scalar"": 0.0}","[[-1000.0, 1000.0], [-1000.0, 1000.0], [0.1, 1000.0]]",28.2,6.54,M-float16-scalar=0.0-2M-非对齐-对称大值域 | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,18,"[[[2, 511, 2049], [2, 511, 2049]], [[2, 511, 2049], [2, 511, 2049]], [[2, 511, 2049], [2, 511, 2049]]]","[""float32""]","{""scalar"": 2.0}","[[-0.2, 0.2], [-0.2, 0.2], [0.1, 0.2]]",59.94,26.18,M-float32-TensorList_len=2-scalar=2.0-8M-非对齐-对称微小值域-3D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,19,"[[[4, 255, 2049]], [[4, 255, 2049]], [[4, 255, 2049]]]","[""bfloat16""]","{""scalar"": -0.5}","[[-3.0, 6.0], [-3.0, 6.0], [0.1, 6.0]]",27.96,6.53,M-bfloat16-scalar=-0.5-2M-非对齐-非对称中值域-3D | baseline_kernels: ForeachAddcdivScalar×1
ForeachAddcdivScalar,20,"[[[2, 3, 17, 1024, 101]], [[2, 3, 17, 1024, 101]], [[2, 3, 17, 1024, 101]]]","[""float32""]","{""scalar"": 1.5}","[[-20.0, 40.0], [-20.0, 40.0], [20.0, 40.0]]",105.68,65.93,L-float32-scalar=1.5-10M-非对齐-小比值范围-5D | baseline_kernels: ForeachAddcdivScalar×1
