operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ForeachNorm,1,"[[[1024, 1024], [1024, 1024]]]","[""float16""]","{""scalar"": 1.0}","[-1.0, 1.0]",26.06,2.18,S-float16-L1范数-TensorList_len=2-对齐-对称小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,2,"[[[2048, 2048], [2048, 2048], [2048, 2048]]]","[""float32""]","{""scalar"": 1.0}","[-2.0, 2.0]",53.24,26.21,M-float32-L1范数-TensorList_len=3-对齐-对称小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,3,"[[[4096, 4096]]]","[""bfloat16""]","{""scalar"": 1.0}","[-3.0, 3.0]",57.28,17.48,M-bfloat16-L1范数-16M-对齐-对称小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,4,"[[[2048, 2048]]]","[""float16""]","{""scalar"": 2.0}","[-0.1, 0.1]",195.38,4.37,M-float16-L2范数-4M-对齐-对称微小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,5,"[[[2048, 4096], [2048, 4096], [2048, 4096]]]","[""float32""]","{""scalar"": 3.0}","[-0.1, 0.1]",319.69,52.43,M-float32-L3范数-TensorList_len=3-对齐-对称微小值域 | baseline_kernels: LpNormV2×3
ForeachNorm,6,"[[[1023, 1023]]]","[""bfloat16""]","{""scalar"": 1.5}","[-0.1, 0.1]",18.2,1.4,S-bfloat16-L1.5范数-1M-非对齐-对称微小值域 | baseline_kernels: Cast×2 + LpNormReduceV2×1 + LpNormUpdateV2×1
ForeachNorm,7,"[[[1009, 1021]]]","[""float16""]","{""scalar"": 1.5}","[-1.0, 2.0]",18.32,1.37,S-float16-L1.5范数-1M-质数非对齐-非对称小值域 | baseline_kernels: Cast×2 + LpNormReduceV2×1 + LpNormUpdateV2×1
ForeachNorm,8,"[[[1537, 769]]]","[""float32""]","{""scalar"": 4.0}","[-5.0, 10.0]",11.46,2.46,S-float32-L4范数-1M-非对齐-非对称中值域 | baseline_kernels: LpNormReduceV2×1 + LpNormUpdateV2×1
ForeachNorm,9,"[[[363, 367, 373], [363, 367, 373]]]","[""bfloat16""]","{""scalar"": 2.0}","[-50.0, 100.0]",267.52,103.52,L-bfloat16-L2范数-TensorList_len=2-质数非对齐-非对称大值域-3D | baseline_kernels: ForeachNorm×1
ForeachNorm,10,"[[[2049, 513]]]","[""float16""]","{""scalar"": 1.0}","[-65504.0, 65504.0]",17.34,1.09,S-float16-L1范数-1M-非对齐-float16边界值 | baseline_kernels: ForeachNorm×1
ForeachNorm,11,"[[[3, 7, 13, 4001], [3, 7, 13, 4001], [3, 7, 13, 4001]]]","[""float32""]","{""scalar"": 2.0}","[-88.0, 88.0]",27.7,6.83,M-float32-L2范数-TensorList_len=3-质数非对齐-float32边界值-4D | baseline_kernels: ForeachNorm×1
ForeachNorm,12,[[[1000003]]],"[""bfloat16""]","{""scalar"": ""inf""}","[""-inf"", ""inf""]",7.8,1.04,S-bfloat16-Linf范数-1M-质数非对齐-inf特殊值-1D | baseline_kernels: LpNormV2×1
ForeachNorm,13,"[[[11, 13, 17, 67, 67]]]","[""float32""]","{""scalar"": 5.0}","[-10.0, 10.0]",49.14,22.73,M-float32-L5范数-10M-质数非对齐-对称中值域-5D | baseline_kernels: LpNormReduceV2×1 + LpNormUpdateV2×1
ForeachNorm,14,"[[[3, 7, 11, 13, 1009]]]","[""float16""]","{""scalar"": 2.0}","[0, 0]",30.92,3.16,S-float16-L2范数-3M-质数非对齐-零值-5D | baseline_kernels: ForeachNorm×1
ForeachNorm,15,"[[[512, 2049], [512, 2049]]]","[""float32""]","{""scalar"": 2.0}","[-0.5, 0.5]",23.76,4.37,S-float32-TensorList_len=2-L2范数-非对齐-对称微小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,16,"[[[255, 8193], [255, 8193], [255, 8193], [255, 8193]]]","[""bfloat16""]","{""scalar"": 1.0}","[-1.0, 3.0]",35.36,8.71,M-bfloat16-TensorList_len=4-L1范数-非对齐-非对称小值域 | baseline_kernels: ForeachNorm×1
ForeachNorm,17,"[[[4097, 511]]]","[""float16""]","{""scalar"": -1.0}","[-1000.0, 1000.0]",20.38,2.18,S-float16-L-1范数-2M-非对齐-对称大值域 | baseline_kernels: Cast×2 + LpNormReduceV2×1 + LpNormUpdateV2×1
ForeachNorm,18,"[[[2, 511, 2049], [2, 511, 2049]]]","[""float32""]","{""scalar"": 2.0}","[-0.2, 0.2]",32.66,8.73,M-float32-TensorList_len=2-L2范数-2M-非对齐-对称微小值域-3D | baseline_kernels: ForeachNorm×1
ForeachNorm,19,"[[[4, 255, 2049], [4, 255, 2049]]]","[""bfloat16""]","{""scalar"": 3.0}","[-3.0, 6.0]",20.92,5.57,S-bfloat16-L3范数-2M-非对齐-非对称中值域-3D | baseline_kernels: LpNormV2×2
ForeachNorm,20,"[[[2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101]]]","[""float32""]","{""scalar"": 2.5}","[-20.0, 40.0]",147.84,87.91,L-float32-TensorList_len=4-L2.5范数-10M-非对齐-非对称大值域-5D | baseline_kernels: LpNormReduceV2×4 + LpNormUpdateV2×4
