operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Mish,1,"[[1024, 1024]]","[""float16""]",{},"[-1, 1]",13.8,1.09,S-float16-1M-对齐-对称小值域 | baseline_kernels: Mish×1
Mish,2,"[[2048, 2048]]","[""float32""]",{},"[-2, 2]",42.74,8.74,M-float32-4M-对齐-对称小值域 | baseline_kernels: Mish×1
Mish,3,"[[4096, 4096]]","[""bfloat16""]",{},"[-3, 3]",171.8,25.17,M-bfloat16-16M-对齐-对称小值域 | baseline_kernels: Mish×1
Mish,4,"[[8192, 8192]]","[""float16""]",{},"[-10, 10]",673.35,69.91,L-float16-67M-对齐-对称中值域-2D扁平 | baseline_kernels: Mish×1
Mish,5,"[[8192, 8192]]","[""float32""]",{},"[-100, 100]",640.37,139.81,L-float32-268M-对齐-对称大值域-2D | baseline_kernels: Mish×1
Mish,6,"[[1023, 1023]]","[""bfloat16""]",{},"[-0.1, 0.1]",13.94,1.57,S-bfloat16-1M-非对齐-对称微小值域 | baseline_kernels: Mish×1
Mish,7,"[[1009, 1021]]","[""float16""]",{},"[-1, 2]",13.66,1.07,S-float16-1M-质数非对齐-非对称小值域-5D | baseline_kernels: Mish×1
Mish,8,"[[1537, 769]]","[""float32""]",{},"[-5, 10]",14.5,2.46,S-float32-1M-非对齐-非对称中值域 | baseline_kernels: Mish×1
Mish,9,"[[363, 367, 373]]","[""bfloat16""]",{},"[-50, 100]",500.75,74.54,M-bfloat16-50M-质数非对齐-非对称大值域-3D | baseline_kernels: Mish×1
Mish,10,"[[2049, 513]]","[""float16""]",{},"[-65504, 65504]",13.88,1.09,S-float16-1M-非对齐-float16边界值 | baseline_kernels: Mish×1
Mish,11,"[[3, 7, 13, 4001]]","[""float32""]",{},"[-88, 88]",13.5,2.28,S-float32-1M-质数非对齐-float32边界值-4D | baseline_kernels: Mish×1
Mish,12,[[1000003]],"[""bfloat16""]",{},"[""-inf"", ""inf""]",13.48,1.5,S-bfloat16-1M-质数非对齐-inf特殊值-1D | baseline_kernels: Mish×1
Mish,13,"[[11, 13, 17, 67, 67]]","[""float32""]",{},"[""nan"", ""nan""]",105.76,22.73,M-float32-10M-质数非对齐-nan特殊值-5D | baseline_kernels: Mish×1
Mish,14,"[[3, 7, 11, 13, 1009]]","[""float16""]",{},"[0, 0]",33.52,3.16,S-float16-3M-质数非对齐-零值-5D | baseline_kernels: Mish×1
Mish,15,"[[512, 2049]]","[""float32""]",{},"[-0.5, 0.5]",13.32,2.19,S-float32-1M-非对齐-对称微小值域 | baseline_kernels: Mish×1
Mish,16,"[[255, 8193]]","[""bfloat16""]",{},"[-1, 3]",24.16,3.13,S-bfloat16-2M-非对齐-非对称小值域 | baseline_kernels: Mish×1
Mish,17,"[[4097, 511]]","[""float16""]",{},"[-1000, 1000]",23.9,2.18,S-float16-2M-非对齐-对称大值域 | baseline_kernels: Mish×1
Mish,18,"[[2, 511, 2049]]","[""float32""]",{},"[-0.2, 0.2]",22.7,4.36,S-float32-2M-非对齐-对称微小值域-3D | baseline_kernels: Mish×1
Mish,19,"[[4, 255, 2049]]","[""bfloat16""]",{},"[-3, 6]",24.1,3.13,S-bfloat16-2M-非对齐-非对称中值域-3D | baseline_kernels: Mish×1
Mish,20,"[[2, 3, 17, 1024, 101]]","[""float32""]",{},"[-20, 40]",102.1,21.98,M-float32-10M-非对齐-非对称大值域-5D | baseline_kernels: Mish×1
