operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
SwiGlu,1,"[[1024, 2048]]","[""float16""]","{""scalarValue"": 1.0}","[-1, 1]",16.64,2.18,S-float16-2M-对齐-对称小值域-scalarValue=1.0 | baseline_kernels: SwiGlu×1
SwiGlu,2,"[[2048, 4096]]","[""float32""]","{""scalarValue"": 1.0}","[-2, 2]",39.18,17.48,M-float32-8M-对齐-对称小值域-scalarValue=1.0 | baseline_kernels: SwiGlu×1
SwiGlu,3,"[[4096, 8192]]","[""bfloat16""]","{""scalarValue"": 1.0}","[-3, 3]",63.74,34.95,M-bfloat16-33M-对齐-对称小值域-scalarValue=1.0 | baseline_kernels: SwiGlu×1
SwiGlu,4,"[[8192, 16384]]","[""float16""]","{""scalarValue"": 0.5}","[-10, 10]",318.71,139.81,L-float16-134M-对齐-对称中值域-scalarValue=0.5 | baseline_kernels: SwiGlu×1
SwiGlu,5,"[[2039, 65521]]","[""float32""]","{""scalarValue"": 2.0}","[-100, 100]",1653.91,278.33,L-float32-132M-质数非对齐-对称大值域-scalarValue=2.0 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,6,"[[1023, 2047]]","[""bfloat16""]","{""scalarValue"": 0.1}","[-0.1, 0.1]",29.08,2.18,S-bfloat16-2M-非对齐-对称微小值域-scalarValue=0.1 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,7,"[[1009, 2017]]","[""float16""]","{""scalarValue"": 1.0}","[-1, 2]",27.18,2.12,S-float16-2M-质数非对齐-非对称小值域 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,8,"[[1537, 1537]]","[""float32""]","{""scalarValue"": 0.5}","[-5, 10]",34.16,4.92,S-float32-2M-非对齐-非对称中值域-scalarValue=0.5 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,9,"[[363, 367, 15]]","[""bfloat16""]","{""scalarValue"": 1.0}","[-50, 100]",208.96,2.08,S-bfloat16-50M-质数非对齐-非对称大值域-3D | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,10,"[[2049, 1025]]","[""float16""]","{""scalarValue"": 1.5}","[-65504, 65504]",26.88,2.19,S-float16-2M-非对齐-float16边界值-scalarValue=1.5 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,11,"[[3, 7, 13, 1019]]","[""float32""]","{""scalarValue"": 1.0}","[-88, 88]",17.38,0.58,S-float32-2M-质数非对齐-float32边界值-4D | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,12,"[[1000003, 2]]","[""bfloat16""]","{""scalarValue"": 0.0}","[""-inf"", ""inf""]",1657.63,2.08,S-bfloat16-2M-质数非对齐-scalarValue=0.0-inf特殊值 | baseline_kernels: SwiGlu×1
SwiGlu,13,"[[11, 13, 17, 67]]","[""float32""]","{""scalarValue"": ""nan""}","[""nan"", ""nan""]",19.22,0.34,S-float32-10M-质数非对齐-scalarValue=nan-nan特殊值-4D | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,14,"[[3, 7, 11, 13, 1013]]","[""float16""]","{""scalarValue"": 1.0}","[0, 0]",34.26,3.17,S-float16-3M-质数非对齐-零值-5D | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,15,"[[512, 4097]]","[""float32""]","{""scalarValue"": 1.0}","[-0.5, 0.5]",30.04,4.37,S-float32-2M-非对齐-对称微小值域 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,16,"[[255, 16383]]","[""bfloat16""]","{""scalarValue"": 0.5}","[-1, 3]",34.7,4.35,S-bfloat16-4M-非对齐-非对称小值域-scalarValue=0.5 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,17,"[[4097, 1023]]","[""float16""]","{""scalarValue"": 2.0}","[-1000, 1000]",42.28,4.37,S-float16-4M-非对齐-对称大值域-scalarValue=2.0 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,18,"[[2, 1023, 4097]]","[""float32""]","{""scalarValue"": 1.0}","[-0.2, 0.2]",62.84,17.46,M-float32-8M-非对齐-对称微小值域-3D | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,19,"[[4, 511, 4097]]","[""bfloat16""]","{""scalarValue"": 1.5}","[-3, 6]",49.86,8.72,M-bfloat16-8M-非对齐-非对称中值域-3D-scalarValue=1.5 | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,20,"[[2, 3, 17, 512, 101]]","[""float32""]","{""scalarValue"": 1.0}","[-20, 40]",152.44,10.99,M-float32-10M-非对齐-非对称大值域-5D | baseline_kernels: Slice×1 + SwiGlu×1
