operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ApplyRotaryPosEmb,1,"[[16, 512, 16, 128], [16, 512, 16, 128], [512, 64], [512, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""layout"": 0, ""rotaryMode"": ""half""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,35.02,"M-float16-16M-对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,2,"[[7, 1021, 31, 64], [7, 1021, 31, 64], [1021, 32], [1021, 32]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""layout"": 0, ""rotaryMode"": ""half""}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1]]",,59.22,"L-float32-14M-质数非对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,3,"[[31, 251, 7, 256], [31, 251, 7, 256], [251, 128], [251, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""layout"": 0, ""rotaryMode"": ""half""}","[[-3, 3], [-3, 3], [-1, 1], [-1, 1]]",,29.12,"M-bfloat16-14M-质数非对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,4,"[[15, 16, 511, 128], [15, 16, 511, 128], [511, 64], [511, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""layout"": 1, ""rotaryMode"": ""half""}","[[-10, 10], [-10, 10], [-1, 1], [-1, 1]]",,32.77,"M-float16-15M-质数非对齐-layout=1-half-B,N,S,D"
ApplyRotaryPosEmb,5,"[[8, 2048, 16, 128], [8, 2048, 16, 128], [2048, 64], [2048, 64]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""layout"": 0, ""rotaryMode"": ""interleaved""}","[[-100, 100], [-100, 100], [-1, 1], [-1, 1]]",,140.36,"L-float32-33M-对齐-layout=0-interleaved-B,S,N,D"
ApplyRotaryPosEmb,6,"[[17, 15, 1021, 64], [17, 15, 1021, 64], [1021, 32], [1021, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""layout"": 1, ""rotaryMode"": ""interleaved""}","[[-1000, 1000], [-1000, 1000], [-1, 1], [-1, 1]]",,34.78,"M-bfloat16-16M-质数非对齐-layout=1-interleaved-B,N,S,D"
ApplyRotaryPosEmb,7,"[[13, 511, 13, 128], [13, 511, 13, 128], [511, 64], [511, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""layout"": 0, ""rotaryMode"": ""half""}","[[-0.1, 0.1], [-0.1, 0.1], [-1, 1], [-1, 1]]",,23.1,M-float16-10M-非对齐-layout=0-half-微小值域
ApplyRotaryPosEmb,8,"[[7, 1009, 7, 128], [7, 1009, 7, 128], [1009, 64], [1009, 64]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""layout"": 0, ""rotaryMode"": ""half""}","[[-1, 2], [-1, 2], [-1, 1], [-1, 1]]",,26.64,M-float32-7M-质数非对齐-layout=0-half-非对称
ApplyRotaryPosEmb,9,"[[257, 17, 17, 256], [257, 17, 17, 256], [17, 128], [17, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""layout"": 1, ""rotaryMode"": ""half""}","[[-5, 10], [-5, 10], [-1, 1], [-1, 1]]",,39.62,M-bfloat16-2M-非对齐-layout=1-half-非对称
ApplyRotaryPosEmb,10,"[[11, 503, 11, 128], [11, 503, 11, 128], [503, 64], [503, 64]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""layout"": 0, ""rotaryMode"": ""interleaved""}","[[-50, 100], [-50, 100], [-1, 1], [-1, 1]]",,16.3,M-float16-8M-质数非对齐-layout=0-interleaved
