operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ArgMax,1,[[1048576]],"[""float16""]","{""dimension"": -1}","[-1, 1]",69.9,1.09,S-float16-1M-对齐-1D-dim=-1 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,2,"[[2048, 2048]]","[""float32""]","{""dimension"": -1}","[-2, 2]",40.32,8.74,M-float32-4M-对齐-2D-dim=-1 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,3,"[[4096, 4096]]","[""bfloat16""]","{""dimension"": -1}","[-3, 3]",84.64,17.48,M-bfloat16-16M-对齐-2D-dim=-1 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,4,"[[8192, 8192]]","[""int32""]","{""dimension"": 0}","[-10000, 10000]",3118.96,139.81,L-int32-67M-对齐-2D-dim=0-中值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,5,"[[4096, 8192]]","[""int64""]","{""dimension"": -1}","[-100000, 100000]",11962.6,139.81,L-int64-268M-对齐-2D-dim=-1-大值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,6,"[[8192, 8192]]","[""float32""]","{""dimension"": 0}","[-1000, 1000]",3271.65,139.81,L-float32-1G-对齐-2D-dim=0-大值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,7,"[[1023, 1023]]","[""float16""]","{""dimension"": -1}","[-0.1, 0.1]",19.08,1.09,S-float16-1M-非对齐-2D-dim=-1-微小值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,8,"[[1009, 1021]]","[""float32""]","{""dimension"": 0}","[-1, 2]",391.47,2.15,S-float32-1M-质数非对齐-2D-dim=0-非对称 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,9,"[[1537, 769]]","[""bfloat16""]","{""dimension"": -1}","[-5, 10]",25.7,1.23,S-bfloat16-1M-非对齐-2D-dim=-1-非对称 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,10,"[[363, 367, 373]]","[""int32""]","{""dimension"": 1}","[-50, 100]",1387.15,103.53,L-int32-50M-质数非对齐-3D-dim=1 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,11,"[[2049, 513]]","[""float16""]","{""dimension"": -1}","[-65504, 65504]",27.18,1.1,S-float16-1M-非对齐-2D-dim=-1-float16边界值 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,12,"[[3, 7, 13, 4001]]","[""float32""]","{""dimension"": -1}","[-88, 88]",15.22,2.28,S-float32-1M-质数非对齐-4D-dim=-1-float32边界值 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,13,"[[2, 7, 256, 251]]","[""bfloat16""]","{""dimension"": 1}","[-0.01, 0.01]",21.08,0.94,S-bfloat16-900K-质数非对齐-4D-dim=1-微小值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,14,[[1048583]],"[""float32""]","{""dimension"": -1}","[""-inf"", ""inf""]",143.2,2.18,S-float32-1M-质数非对齐-1D-dim=-1-inf特殊值 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,15,"[[11, 13, 17, 67, 67]]","[""float16""]","{""dimension"": 2}","[""nan"", ""nan""]",82.7,11.36,M-float16-10M-质数非对齐-5D-dim=2-nan特殊值 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,16,"[[3, 7, 11, 13, 1013]]","[""int64""]","{""dimension"": -1}","[0, 0]",1335.99,12.68,M-int64-3M-质数非对齐-5D-dim=-1-零值 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,17,"[[512, 2049]]","[""float32""]","{""dimension"": -1}","[-0.5, 0.5]",17.64,2.19,S-float32-1M-非对齐-2D-dim=-1-微小值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,18,"[[255, 8193]]","[""bfloat16""]","{""dimension"": 0}","[-1, 3]",117.84,2.18,S-bfloat16-2M-非对齐-2D-dim=0-非对称 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,19,"[[4097, 511]]","[""int32""]","{""dimension"": -1}","[-1000, 1000]",134.56,4.36,S-int32-2M-非对齐-2D-dim=-1-大值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
ArgMax,20,"[[2, 511, 2049]]","[""float16""]","{""dimension"": 1}","[-3, 6]",409.99,2.18,S-float16-2M-非对齐-3D-dim=1-非对称中值域 | baseline_kernels: ArgMaxV2×1 + Cast×1
