operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
CrossEntropyLoss,1,"[[1024, 2048], [1024]]","[""float16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-1, 1], [0, 2047]]",75.02,2.19,S-float16-int64_target-2M-对齐-对称小值域-mean | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + Cast×4 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,2,"[[2048, 4096], [2048]]","[""float32"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-2, 2], [0, 4095]]",105.84,17.48,M-float32-int64_target-8M-对齐-对称小值域-mean | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,3,"[[4096, 8192], [4096]]","[""bfloat16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-3, 3], [0, 8191]]",256.69,34.97,M-bfloat16-int64_target-33M-对齐-对称小值域-mean | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,4,"[[8192, 16384], [8192]]","[""float16"", ""int64""]","{""reduction"": ""sum"", ""ignore_index"": -100}","[[-10, 10], [0, 16383]]",1685.83,139.84,L-float16-134M-对齐-对称中值域-sum | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + Cast×4 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,5,"[[4096, 16384], [4096]]","[""float32"", ""int64""]","{""reduction"": ""none"", ""ignore_index"": -100}","[[-100, 100], [0, 16383]]",,139.83,L-float32-536M-对齐-对称大值域-none
CrossEntropyLoss,6,"[[1023, 2047], [1023]]","[""bfloat16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -1}","[[-0.1, 0.1], [0, 2046]]",79.48,2.19,S-bfloat16-2M-非对齐-对称微小值域-ignore_index=-1 | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,7,"[[1009, 1021], [1009]]","[""float16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": 0}","[[-1, 2], [0, 1020]]",70.52,1.08,S-float16-1M-质数非对齐-ignore_index=0 | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + Cast×4 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,8,"[[1537, 769], [1537]]","[""float32"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": 100}","[[-5, 10], [0, 768]]",61.56,2.47,S-float32-1M-非对齐-ignore_index=100 | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,9,"[[363, 373, 367], [363, 367]]","[""bfloat16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-50, 100], [0, 372]]",1401.59,58.11,M-bfloat16-50M-质数非对齐-3D | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + Transpose×1 + MemSet×1 + NLLLoss×1
CrossEntropyLoss,10,"[[2049, 513], [2049]]","[""float16"", ""int64""]","{""reduction"": ""mean"", ""ignore_index"": -100}","[[-400, 400], [0, 512]]",73.78,1.1,S-float16-1M-非对齐-float16边界值 | baseline_kernels: LogSoftmaxV2×1 + OnesLike×1 + Cast×4 + MemSet×1 + NLLLoss×1
