operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Cummin,1,"[[1024, 1024]]","[""float16""]","{""dim"": -1}","[-1, 1]",2631.55,1.09,S-float16-1M-对齐-对称小值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,2,"[[2048, 2048]]","[""float32""]","{""dim"": -1}","[-2, 2]",3765.38,8.74,M-float32-4M-对齐-对称小值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,3,"[[4096, 4096]]","[""bfloat16""]","{""dim"": -1}","[-3, 3]",11565.83,17.48,M-bfloat16-16M-对齐-对称小值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,4,"[[8192, 8192]]","[""int32""]","{""dim"": -1}","[-10000, 10000]",14267.02,139.81,L-int32-67M-对齐-对称中值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,5,"[[16384, 16384]]","[""float16""]","{""dim"": 0}","[-100, 100]",56712.95,279.62,L-float16-268M-对齐-对称大值域-dim=0 | baseline_kernels: Cummin×1 + Cast×1
Cummin,6,"[[8192, 8192]]","[""float32""]","{""dim"": 1}","[-1000, 1000]",20517.61,139.81,L-float32-1G-对齐-对称大值域-dim=1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,7,"[[1023, 1023]]","[""bfloat16""]","{""dim"": -1}","[-0.1, 0.1]",3194.32,1.09,S-bfloat16-1M-非对齐-对称微小值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,8,"[[1009, 1021]]","[""float16""]","{""dim"": 0}","[-1, 2]",3061.78,1.07,S-float16-1M-质数非对齐-非对称小值域-dim=0 | baseline_kernels: Cummin×1 + Cast×1
Cummin,9,"[[1537, 769]]","[""float32""]","{""dim"": -1}","[-5, 10]",819.36,2.46,S-float32-1M-非对齐-非对称中值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,10,"[[363, 367, 373]]","[""bfloat16""]","{""dim"": 1}","[-50, 100]",4381.91,51.76,M-bfloat16-50M-质数非对齐-非对称大值域-3D-dim=1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,11,"[[2049, 513]]","[""float16""]","{""dim"": -1}","[-65504, 65504]",1052.42,1.09,S-float16-1M-非对齐-float16边界值-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,12,"[[3, 7, 13, 4001]]","[""float32""]","{""dim"": -1}","[-88, 88]",6390.95,2.28,S-float32-1M-质数非对齐-float32边界值-4D-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,13,[[1000003]],"[""bfloat16""]","{""dim"": -1}","[""-inf"", ""inf""]",753747.1,1.04,S-bfloat16-1M-质数非对齐-inf特殊值-1D-dim=-1 | baseline_kernels: Cummin×1 + Cast×1
Cummin,14,"[[11, 13, 17, 67, 67]]","[""float16""]","{""dim"": 2}","[""nan"", ""nan""]",629.11,11.37,M-float16-10M-质数非对齐-nan特殊值-5D-dim=2 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,15,"[[3, 7, 11, 13, 1013]]","[""int32""]","{""dim"": -1}","[0, 0]",2235.02,6.34,M-int32-3M-质数非对齐-零值-5D-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,16,"[[512, 2049]]","[""float32""]","{""dim"": -1}","[-0.5, 0.5]",3280.63,2.19,S-float32-1M-非对齐-对称微小值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,17,"[[255, 8193]]","[""bfloat16""]","{""dim"": 0}","[-1, 3]",585.37,2.18,S-bfloat16-2M-非对齐-非对称小值域-dim=0 | baseline_kernels: Cummin×1 + Cast×1
Cummin,18,"[[4097, 511]]","[""float16""]","{""dim"": -1}","[-1000, 1000]",1651.35,2.18,S-float16-2M-非对齐-对称大值域-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,19,"[[2, 511, 2049]]","[""float32""]","{""dim"": 1}","[-0.2, 0.2]",1611.61,4.36,S-float32-2M-非对齐-对称微小值域-3D-dim=1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
Cummin,20,"[[4, 255, 2049]]","[""bfloat16""]","{""dim"": -1}","[-3, 6]",6353.09,2.18,S-bfloat16-2M-非对齐-非对称中值域-3D-dim=-1 | baseline_kernels: Transpose×3 + Cummin×1 + Cast×1
