operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
UnsortedSegmentSum,1,"[[1024, 1024], [1024]]","[""float16"", ""int32""]","{""num_segments"": 1024}","[[-1, 1], [0, 1023]]",30.42,1.09,S-float16-int32_ids-1M-对齐-对称小值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceIndexAdd×1
UnsortedSegmentSum,2,"[[2048, 2048], [2048]]","[""float32"", ""int32""]","{""num_segments"": 2048}","[[-2, 2], [0, 2047]]",30.58,8.74,M-float32-int32_ids-4M-对齐-对称小值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceScatterAdd×1
UnsortedSegmentSum,3,"[[4096, 4096], [4096]]","[""bfloat16"", ""int64""]","{""num_segments"": 4096}","[[-3, 3], [0, 4095]]",118.32,17.49,M-bfloat16-int64_ids-16M-对齐-对称小值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + Sort×1 + InplaceIndexAddWithSorted×1
UnsortedSegmentSum,4,"[[8192, 8192], [8192]]","[""int32"", ""int32""]","{""num_segments"": 8192}","[[-1000, 1000], [0, 8191]]",656.25,139.83,L-int32-int32_ids-67M-对齐-对称中值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceScatterAdd×1
UnsortedSegmentSum,5,"[[4096, 8192], [4096]]","[""int64"", ""int64""]","{""num_segments"": 16384}","[[-100000, 100000], [0, 16383]]",137694.79,489.24,L-int64-int64_ids-268M-对齐-对称大值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + InplaceIndexAdd×1
UnsortedSegmentSum,6,"[[1023, 1023], [1023]]","[""float16"", ""int32""]","{""num_segments"": 1023}","[[-0.1, 0.1], [0, 1022]]",32.42,1.09,S-float16-int32_ids-1M-非对齐-对称微小值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceIndexAdd×1
UnsortedSegmentSum,7,"[[1009, 1021], [1009]]","[""float32"", ""int32""]","{""num_segments"": 1009}","[[-1, 2], [0, 1008]]",18.62,2.15,S-float32-int32_ids-1M-质数非对齐-非对称小值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceScatterAdd×1
UnsortedSegmentSum,8,"[[1537, 769], [1537]]","[""bfloat16"", ""int32""]","{""num_segments"": 1537}","[[-5, 10], [0, 1536]]",36.32,1.23,S-bfloat16-int32_ids-1M-非对齐-非对称中值域 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×2 + Sort×1 + InplaceIndexAddWithSorted×1
UnsortedSegmentSum,9,"[[363, 367, 373], [363]]","[""float16"", ""int32""]","{""num_segments"": 363}","[[-50, 100], [0, 362]]",128.02,51.76,M-float16-int32_ids-50M-质数非对齐-非对称大值域-3D | baseline_kernels: ReduceMax×1 + ZerosLike×1 + Cast×1 + InplaceIndexAdd×1
UnsortedSegmentSum,10,"[[2049, 513], [2049]]","[""float32"", ""int64""]","{""num_segments"": 2049}","[[-65504, 65504], [0, 2048]]",33.18,2.2,S-float32-int64_ids-1M-非对齐-float16边界值 | baseline_kernels: ReduceMax×1 + ZerosLike×1 + InplaceScatterAdd×1
