operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AddRmsNormDynamicQuant,1,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",,156.6,L-large-prefill-fp16-int8-hidden=8192
AddRmsNormDynamicQuant,2,"[[32768, 2048], [32768, 2048], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-2, 2], [-2, 2], [-1, 1]]",,156.63,L-mega-batch-bf16-int8-M=32768-N=2048
AddRmsNormDynamicQuant,3,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-3, 3], [-3, 3], [-1, 1]]",,156.6,L-square-large-fp16-int8
AddRmsNormDynamicQuant,4,"[[4096, 14336], [4096, 14336], [14336]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-05, ""dst_type"": 0}","[[-10, 10], [-10, 10], [-1, 1]]",,137.02,L-wide-FFN-bf16-int8-Llama3-intermediate=14336
AddRmsNormDynamicQuant,5,"[[16384, 4096], [16384, 4096], [4096]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 1}","[[-1000, 1000], [-1000, 1000], [-1, 1]]",,156.61,L-large-int4-bf16-dst_type=1-大值域
AddRmsNormDynamicQuant,6,"[[524288, 128], [524288, 128], [128]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 0.001, ""dst_type"": 0}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",,157.29,L-flat-extreme-fp16-M=524288-N=128-eps=1e-3
AddRmsNormDynamicQuant,7,"[[4096, 4096], [4096, 4096], [4096]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-2, 2], [-2, 2], [-1, 1]]",,39.15,M-medium-square-fp16-int8
AddRmsNormDynamicQuant,8,"[[2048, 8192], [2048, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-5, 10], [-5, 10], [-1, 1]]",,39.15,M-medium-tall-hidden-bf16-int8
AddRmsNormDynamicQuant,9,"[[8192, 2048], [8192, 2048], [2048]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",,39.16,M-medium-tall-M-fp16-int8
AddRmsNormDynamicQuant,10,"[[32768, 512], [32768, 512], [512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-1, 3], [-1, 3], [-1, 1]]",,39.19,M-medium-small-hidden-bf16-int8
AddRmsNormDynamicQuant,11,"[[1024, 16384], [1024, 16384], [16384]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-65504, 65504], [-65504, 65504], [-65504, 65504]]",,39.15,M-medium-wide-hidden-fp16-int8-float16边界值
AddRmsNormDynamicQuant,12,"[[4093, 4093], [4093, 4093], [4093]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-1, 2], [-1, 2], [-1, 2]]",,39.1,M-medium-prime-square-bf16-int8
AddRmsNormDynamicQuant,13,"[[4093, 2053], [4093, 2053], [2053]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-05, ""dst_type"": 0}","[[-3, 6], [-3, 6], [-3, 6]]",,19.61,M-medium-prime-rect-fp16-int8
AddRmsNormDynamicQuant,14,"[[8192, 2048], [8192, 2048], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 1}","[[-88, 88], [-88, 88], [-1, 1]]",,39.16,M-medium-int4-bf16-dst_type=1
AddRmsNormDynamicQuant,15,"[[512, 512], [512, 512], [512]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-1, 1], [-1, 1], [-1, 1]]",,0.61,S-small-smoke-fp16-int8
AddRmsNormDynamicQuant,16,"[[1021, 1023], [1021, 1023], [1023]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-06, ""dst_type"": 0}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",,2.44,S-small-prime-bf16-微小值域
