operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
DepthwiseConv2D,1,"[[2, 64, 32, 32], [64, 1, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 64}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",,0.21,S-float16-256K-对齐-3x3k-groups=64
DepthwiseConv2D,2,"[[4, 128, 64, 64], [128, 1, 3, 3], [128]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 128}","[[-2, 2], [-2, 2], [-0.2, 0.2]]",,6.64,S-float32-8M-对齐-3x3k-groups=128
DepthwiseConv2D,3,"[[2, 256, 128, 128], [256, 1, 5, 5], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""kernelSize"": [5, 5], ""stride"": [1, 1], ""padding"": [2, 2], ""dilation"": [1, 1], ""groups"": 256}","[[-3, 3], [-3, 3], [-0.3, 0.3]]",,71.3,M-bfloat16-33M-对齐-5x5k-groups=256
DepthwiseConv2D,4,"[[8, 512, 64, 64], [512, 1, 3, 3], [512]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [2, 2], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 512}","[[-10, 10], [-10, 10], [-1, 1]]",,17.48,M-float16-67M-对齐-stride=2-downsample
DepthwiseConv2D,5,"[[4, 1024, 32, 32], [1024, 1, 3, 3], [1024]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [2, 2], ""dilation"": [2, 2], ""groups"": 1024}","[[-100, 100], [-100, 100], [-10, 10]]",,13.28,M-float32-134M-对齐-dilation=2
DepthwiseConv2D,6,"[[2, 2048, 16, 16], [2048, 1, 1, 1], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""kernelSize"": [1, 1], ""stride"": [1, 1], ""padding"": [0, 0], ""dilation"": [1, 1], ""groups"": 2048}","[[-1000, 1000], [-1000, 1000], [-100, 100]]",,1.1,S-bfloat16-1G-对齐-1x1k-valid
DepthwiseConv2D,7,"[[3, 63, 31, 31], [63, 1, 3, 3], [63]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 63}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",,0.29,S-float16-200K-质数非对齐-微小值域
DepthwiseConv2D,8,"[[2, 127, 61, 61], [127, 1, 3, 3], [127]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 127}","[[-1, 2], [-1, 2], [-0.1, 0.2]]",,2.99,S-float32-2M-质数非对齐-非对称
DepthwiseConv2D,9,"[[3, 47, 23, 23], [47, 1, 5, 5], [47]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""kernelSize"": [5, 5], ""stride"": [2, 2], ""padding"": [2, 2], ""dilation"": [1, 1], ""groups"": 47}","[[-5, 10], [-5, 10], [-0.5, 0.5]]",,0.17,S-bfloat16-50K-质数非对齐-stride=2
DepthwiseConv2D,10,"[[5, 97, 43, 43], [97, 1, 3, 3], [97]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [2, 2], ""groups"": 97}","[[-50, 100], [-50, 100], [-5, 5]]",,1.29,S-float16-2M-质数非对齐-dilation=2
DepthwiseConv2D,11,"[[2, 65, 33, 33], [65, 1, 3, 3], [65]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 65}","[[-65504, 65504], [-65504, 65504], [-100, 100]]",,0.22,S-float16-500K-非对齐-float16边界值
DepthwiseConv2D,12,"[[3, 7, 13, 13], [7, 1, 3, 3], [7]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 7}","[[-88, 88], [-88, 88], [-10, 10]]",,0.01,S-float32-10K-质数非对齐-float32边界值
DepthwiseConv2D,13,"[[2, 63, 31, 31], [63, 1, 3, 3], [63]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 63}","[[""-inf"", ""inf""], [""-inf"", ""inf""], [""-inf"", ""inf""]]",,0.38,S-float32-200K-非对齐-inf特殊值
DepthwiseConv2D,14,"[[2, 11, 13, 17], [11, 1, 3, 3], [11]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 11}","[[""nan"", ""nan""], [""nan"", ""nan""], [""nan"", ""nan""]]",,0.01,S-float16-5K-质数非对齐-nan特殊值
DepthwiseConv2D,15,"[[4, 63, 31, 31], [63, 1, 3, 3], [63]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 63}","[[0, 0], [0, 0], [0, 0]]",,0.77,S-bfloat16-400K-非对齐-零值
DepthwiseConv2D,16,"[[2, 64, 31, 31], [64, 1, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 64}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05]]",,0.19,S-float16-200K-混合非对齐-微小值域
DepthwiseConv2D,17,"[[3, 127, 63, 63], [127, 1, 5, 5], [127]]","[""float32"", ""float32"", ""float32""]","{""kernelSize"": [5, 5], ""stride"": [2, 2], ""padding"": [2, 2], ""dilation"": [1, 1], ""groups"": 127}","[[-1, 3], [-1, 3], [-0.1, 0.3]]",,3.32,S-float32-2M-非对齐-stride=2-5x5k
DepthwiseConv2D,18,"[[2, 255, 127, 127], [255, 1, 3, 3], [255]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [3, 3], ""groups"": 255}","[[-1000, 1000], [-1000, 1000], [-100, 100]]",,24.43,M-bfloat16-16M-非对齐-dilation=3-大值域
DepthwiseConv2D,19,"[[4, 31, 31, 31], [31, 1, 3, 3], [31]]","[""float16"", ""float16"", ""float16""]","{""kernelSize"": [3, 3], ""stride"": [1, 1], ""padding"": [1, 1], ""dilation"": [1, 1], ""groups"": 31}","[[-0.2, 0.2], [-0.2, 0.2], [-0.02, 0.02]]",,0.19,S-float16-100K-质数非对齐-微小值域
