operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
DequantSwigluQuant,1,"[[512, 2048]]","[""float16""]","{""activate_left"": true}","[[-1.0, 1.0]]",13.5,1.4,S-float16-256K-对齐-dynamic-activate_left-小M | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,2,"[[1024, 4096]]","[""float16""]","{""activate_left"": false}","[[-1.0, 1.0]]",25.32,5.59,M-float16-2M-对齐-dynamic-FFN-base | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,3,"[[2048, 8192], [1, 4096]]","[""float16"", ""float32""]","{""activate_left"": true}","[[-1.0, 1.0], [-1.0, 1.0]]",73.04,23.77,L-float16-16M-对齐-dynamic-activate_left-quant_scale | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,4,"[[4096, 4096], [1, 2048]]","[""bfloat16"", ""float32""]","{""activate_left"": false}","[[-1.0, 1.0], [-1.0, 1.0]]",76.94,23.77,L-bfloat16-16M-对齐-dynamic-quant_scale | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,5,"[[127, 1024]]","[""bfloat16""]","{""activate_left"": false}","[[-1.0, 1.0]]",7.82,0.17,S-bfloat16-128K-质数非对齐-dynamic-小M | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,6,"[[8192, 1024], [1, 512]]","[""float16"", ""float32""]","{""activate_left"": false}","[[-1.0, 1.0], [-1.0, 1.0]]",57.96,11.89,L-float16-8M-对齐-dynamic-quant_scale-大M-小H | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,7,"[[1023, 4098]]","[""bfloat16""]","{""activate_left"": true}","[[-1.0, 1.0]]",27.9,5.59,M-bfloat16-4M-非对齐-dynamic-activate_left | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,8,"[[255, 8194]]","[""bfloat16""]","{""activate_left"": false}","[[-1.0, 1.0]]",19.02,2.79,M-bfloat16-2M-非对齐-大H | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,9,"[[512, 2048], [1, 2048], [512]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": true}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",15.68,2.19,S-int32-256K-对齐-dynamic-activate_left-小M-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,10,"[[1024, 4096], [1, 4096], [1024]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",45.44,8.75,M-int32-2M-对齐-dynamic-W8A8-base | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,11,"[[2048, 8192], [1, 8192], [2048], [1, 4096]]","[""int32"", ""float32"", ""float32"", ""float32""]","{""activate_left"": true}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5], [-1.0, 1.0]]",102.18,34.98,L-int32-16M-对齐-dynamic-activate_left-quant_scale-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,12,"[[4096, 4096], [1, 4096], [4096], [1, 2048]]","[""int32"", ""float32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5], [-1.0, 1.0]]",135.48,34.97,L-int32-16M-对齐-dynamic-quant_scale-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,13,"[[127, 1024], [1, 1024], [127]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",8.92,0.27,S-int32-128K-质数非对齐-dynamic-小M-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,14,"[[8192, 1024], [1, 1024], [8192], [1, 512]]","[""int32"", ""float32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5], [-1.0, 1.0]]",95.9,17.5,L-int32-8M-对齐-dynamic-quant_scale-大M-小H-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,15,"[[1023, 4098], [1, 4098], [1023]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": true}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",48.18,8.74,M-int32-4M-非对齐-dynamic-activate_left-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,16,"[[255, 8194], [1, 8194], [255], [1, 4097]]","[""int32"", ""float32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5], [-1.0, 1.0]]",31.16,4.38,M-int32-2M-非对齐-大H-quant_scale-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,17,"[[10007, 64], [1, 64], [10007]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",81.82,1.36,M-int32-640K-质数非对齐-dynamic-小H-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,18,"[[32768, 256], [1, 256], [32768]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",278.85,17.55,L-int32-8M-对齐-dynamic-大M-小H-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,19,"[[4001, 2048], [1, 2048], [4001], [1, 1024]]","[""int32"", ""float32"", ""float32"", ""float32""]","{""activate_left"": true}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5], [-1.0, 1.0]]",63.3,17.09,M-int32-8M-质数非对齐-dynamic-activate_left-quant_scale-W8A8 | baseline_kernels: DequantSwigluQuant×1
DequantSwigluQuant,20,"[[16384, 512], [1, 512], [16384]]","[""int32"", ""float32"", ""float32""]","{""activate_left"": false}","[[-128, 127], [-0.1, 0.1], [-0.5, 0.5]]",155.16,17.51,L-int32-8M-对齐-dynamic-大M-W8A8 | baseline_kernels: DequantSwigluQuant×1
