operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Dilation2D,1,"[[2, 64, 64, 64], [3, 3, 64]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-1, 1], [-0.1, 0.1]]",,0.74,S-float16-512K-对齐-3x3-stride=1-dilation=1-SAME
Dilation2D,2,"[[4, 128, 128, 128], [5, 5, 128]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-2, 2], [-0.2, 0.2]]",,34.25,M-float16-8M-对齐-5x5-stride=1-dilation=1-SAME
Dilation2D,3,"[[2, 256, 256, 256], [3, 3, 256]]","[""float16"", ""float16""]","{""strides"": [1, 2, 2, 1], ""rates"": [1, 2, 2, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-3, 3], [-0.3, 0.3]]",,34.95,M-float16-33M-对齐-stride=2-dilation=2
Dilation2D,4,"[[4, 509, 127, 131], [3, 3, 131]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 3, 3, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-10, 10], [-1, 1]]",,45.18,M-float16-33M-非对齐-dilation=3-VALID
Dilation2D,5,"[[7, 67, 251, 257], [3, 3, 257]]","[""float16"", ""float16""]","{""strides"": [1, 2, 2, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": true, ""data_format"": ""NHWC""}","[[-100, 100], [-10, 10]]",,31.52,M-float16-30M-非对齐-stride=2-ceil_mode=true
Dilation2D,6,"[[2, 128, 512, 512], [3, 3, 512]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 4, 4, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-1000, 1000], [-100, 100]]",,95.07,L-float16-268M-对齐-dilation=4-大值域
Dilation2D,7,"[[3, 63, 63, 63], [3, 3, 63]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-0.1, 0.1], [-0.01, 0.01]]",,1.06,S-float16-700K-非对齐-stride=1-dilation=1-微小值域
Dilation2D,8,"[[2, 63, 61, 63], [3, 3, 63]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 2, 2, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-1, 2], [-0.1, 0.2]]",,0.69,S-float16-400K-质数非对齐-dilation=2-非对称
Dilation2D,9,"[[3, 47, 23, 23], [3, 3, 23]]","[""float16"", ""float16""]","{""strides"": [1, 2, 2, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-5, 10], [-0.5, 1]]",,0.08,S-float16-50K-质数非对齐-stride=2-VALID-非对称
Dilation2D,10,"[[5, 97, 43, 43], [3, 3, 43]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 3, 3, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-50, 100], [-5, 10]]",,1.27,S-float16-4M-质数非对齐-dilation=3
Dilation2D,11,"[[2, 65, 63, 63], [3, 3, 63]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-65504, 65504], [-100, 100]]",,0.73,S-float16-500K-非对齐-float16边界值
Dilation2D,12,"[[3, 47, 31, 97], [3, 3, 97]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 2, 2, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[-88, 88], [-8, 8]]",,0.6,S-float16-300K-质数非对齐-float32边界值
Dilation2D,13,"[[2, 63, 63, 63], [3, 3, 63]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[""-inf"", ""inf""], [""-inf"", ""inf""]]",,0.71,S-float16-500K-非对齐-inf特殊值
Dilation2D,14,"[[2, 11, 13, 17], [3, 3, 17]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[""nan"", ""nan""], [""nan"", ""nan""]]",,0.01,S-float16-5K-质数非对齐-nan特殊值
Dilation2D,15,"[[4, 63, 31, 31], [3, 3, 31]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1, 1], ""rates"": [1, 1, 1, 1], ""padding_mode"": ""SAME"", ""pads"": [0, 0, 0, 0], ""ceil_mode"": false, ""data_format"": ""NHWC""}","[[0, 0], [0, 0]]",,0.34,S-float16-200K-非对齐-零值
