operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MhcSinkhorn,1,"[[1, 128, 8]]","[""float16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-1, 1]",,0.01,S-float16-1K-对齐-B=1-S=128-E=8-默认参数
MhcSinkhorn,2,"[[2, 256, 16]]","[""float32""]","{""temperature"": 1.0, ""n_iters"": 3}","[-2, 2]",,0.06,S-float32-8K-对齐-B=2-S=256-E=16-默认参数
MhcSinkhorn,3,"[[4, 512, 32]]","[""bfloat16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-3, 3]",,0.48,S-bfloat16-64K-对齐-B=4-S=512-E=32-默认参数
MhcSinkhorn,4,"[[8, 1024, 64]]","[""float16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-5, 5]",,3.85,S-float16-512K-对齐-B=8-S=1024-E=64-默认参数
MhcSinkhorn,5,"[[16, 2048, 128]]","[""float32""]","{""temperature"": 1.0, ""n_iters"": 3}","[-10, 10]",,29.39,M-float32-4M-对齐-B=16-S=2048-E=128-默认参数
MhcSinkhorn,6,"[[4, 512, 32]]","[""float16""]","{""temperature"": 0.1, ""n_iters"": 3}","[-1, 1]",,0.48,S-float16-64K-对齐-低温度0.1-趋近硬路由
MhcSinkhorn,7,"[[4, 512, 32]]","[""float32""]","{""temperature"": 0.5, ""n_iters"": 3}","[-2, 2]",,0.46,S-float32-64K-对齐-中低温度0.5
MhcSinkhorn,8,"[[4, 512, 32]]","[""bfloat16""]","{""temperature"": 2.0, ""n_iters"": 3}","[-3, 3]",,0.48,S-bfloat16-64K-对齐-高温度2.0-趋近均匀分配
MhcSinkhorn,9,"[[8, 1024, 64]]","[""float32""]","{""temperature"": 1.0, ""n_iters"": 1}","[-5, 5]",,1.58,S-float32-512K-对齐-单次迭代n_iters=1
MhcSinkhorn,10,"[[8, 1024, 64]]","[""float16""]","{""temperature"": 1.0, ""n_iters"": 5}","[-5, 5]",,5.96,S-float16-512K-对齐-中等迭代n_iters=5
MhcSinkhorn,11,"[[8, 1024, 64]]","[""bfloat16""]","{""temperature"": 1.0, ""n_iters"": 10}","[-10, 10]",,11.21,S-bfloat16-512K-对齐-高迭代n_iters=10
MhcSinkhorn,12,"[[3, 127, 7]]","[""float16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-1, 1]",,0.02,S-float16-2.7K-质数非对齐-B=3-S=127-E=7
MhcSinkhorn,13,"[[5, 257, 17]]","[""float32""]","{""temperature"": 0.5, ""n_iters"": 5}","[-2, 2]",,0.24,S-float32-22K-质数非对齐-B=5-S=257-E=17-混合参数
MhcSinkhorn,14,"[[7, 509, 31]]","[""bfloat16""]","{""temperature"": 2.0, ""n_iters"": 1}","[-5, 5]",,0.37,S-bfloat16-110K-质数非对齐-B=7-S=509-E=31-混合参数
MhcSinkhorn,15,"[[6, 1023, 63]]","[""float16""]","{""temperature"": 0.1, ""n_iters"": 10}","[-0.5, 0.5]",,8.27,S-float16-387K-非对齐-B=6-低温高迭代
MhcSinkhorn,16,"[[32, 4096, 256]]","[""float32""]","{""temperature"": 1.0, ""n_iters"": 3}","[-10, 10]",,235.02,L-float32-32M-对齐-大规模-B=32-S=4096-E=256
MhcSinkhorn,17,"[[16, 4096, 128]]","[""float16""]","{""temperature"": 0.5, ""n_iters"": 5}","[-100, 100]",,95.18,M-float16-8M-对齐-大规模-大值域
MhcSinkhorn,18,"[[2, 256, 16]]","[""float16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-65504, 65504]",,0.06,S-float16-8K-对齐-float16边界值
MhcSinkhorn,19,"[[2, 256, 16]]","[""float32""]","{""temperature"": 1.0, ""n_iters"": 3}","[0, 0]",,0.06,S-float32-8K-对齐-零值输入
MhcSinkhorn,20,"[[2, 256, 16]]","[""bfloat16""]","{""temperature"": 1.0, ""n_iters"": 3}","[-0.01, 0.01]",,0.06,S-bfloat16-8K-对齐-微小值域
