operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MoeReRouting,1,"[[1024, 512], [8, 8], [1024]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 128], [-1, 1]]",,0.55,S-float16-完整参数-带scales-rank8-expert8-H512
MoeReRouting,2,"[[16384, 1024], [16, 16], [16384]]","[""float32"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-2, 2], [1, 1024], [-2, 2]]",,34.99,M-float32-完整参数-带scales-rank16-expert16-H1024
MoeReRouting,3,"[[131072, 2048], [32, 8], [131072]]","[""bfloat16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-3, 3], [1, 4096], [-3, 3]]",,279.89,L-bfloat16-完整参数-带scales-rank32-expert8-H2048
MoeReRouting,4,"[[4096, 512], [8, 8], null]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 512], null]",,2.18,M-float16-无scales-rank8-expert8-H512
MoeReRouting,5,"[[8192, 1024], [16, 16], null]","[""bfloat16"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-2, 2], [1, 512], null]",,8.74,M-bfloat16-无scales-rank16-expert16-H1024
MoeReRouting,6,"[[1024, 256], [8, 4], [1024]]","[""int8"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-10, 10], [1, 128], [-1, 1]]",,0.14,S-int8-完整参数-带scales-rank8-expert4-H256
MoeReRouting,7,"[[16384, 512], [16, 8], null]","[""int8"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-100, 100], [1, 1024], null]",,4.37,M-int8-无scales-rank16-expert8-H512
MoeReRouting,8,"[[1024, 512], [1, 8], [1024]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 1024], [-1, 1]]",,0.55,S-float16-单rank-expert8
MoeReRouting,9,"[[1024, 512], [8, 1], [1024]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 128], [-1, 1]]",,0.55,S-float16-rank8-单expert
MoeReRouting,10,"[[32768, 256], [8, 64], [32768]]","[""bfloat16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-100, 100], [1, 512], [-100, 100]]",,8.81,M-bfloat16-大expert64-rank8
MoeReRouting,11,"[[65536, 256], [64, 8], [65536]]","[""float16"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1000, 1000], [1, 128], [-1000, 1000]]",,17.61,L-float16-大rank64-expert8
MoeReRouting,12,"[[2048, 511], [8, 8], [2048]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 256], [-1, 1]]",,1.09,M-float16-质数H511-rank8-expert8
MoeReRouting,13,"[[4096, 1021], [16, 8], [4096]]","[""bfloat16"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-2, 2], [1, 256], [-2, 2]]",,4.37,M-bfloat16-质数H1021-rank16-expert8
MoeReRouting,14,"[[1009, 512], [8, 8], [1009]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-10, 10], [1, 128], [-10, 10]]",,0.54,S-float16-质数tokens1009-rank8-expert8
MoeReRouting,15,"[[2017, 256], [16, 16], [2017]]","[""float32"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-100, 100], [1, 128], [-100, 100]]",,1.08,M-float32-质数tokens2017-rank16-expert16
MoeReRouting,16,"[[1024, 32], [8, 8], [1024]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-0.1, 0.1], [1, 128], [-0.1, 0.1]]",,0.04,S-float16-小H32-rank8-expert8
MoeReRouting,17,"[[2048, 64], [8, 16], null]","[""bfloat16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 256], null]",,0.14,M-bfloat16-小H64-无scales-rank8-expert16
MoeReRouting,18,"[[262144, 512], [32, 16], [262144]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 8192], [-1, 1]]",,140.36,XL-float16-超大规模-rank32-expert16-H512
MoeReRouting,19,"[[524288, 256], [64, 8], [524288]]","[""bfloat16"", ""int64"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1000, 1000], [1, 8192], [-1000, 1000]]",,140.9,XL-bfloat16-超大规模-rank64-expert8-H256
MoeReRouting,20,"[[64, 128], [4, 4], [64]]","[""float16"", ""int32"", ""float32""]","{""expert_token_num_type"": 1, ""idx_type"": 0}","[[-1, 1], [1, 16], [-1, 1]]",,0.01,XS-float16-最小规模-rank4-expert4-tokens64
