operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
QuantMatmul,1,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",,37.16,Qwen2-7B-o_proj-fp16-per-channel-no-offset
QuantMatmul,2,"[[1024, 3584], [3584, 4608], [4608], null, null, [4608]]","[""int8"", ""int8"", ""float32"", null, null, ""int32""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-100, 100]]",,47.77,Qwen2-7B-qkv-fp16-int32-bias
QuantMatmul,3,"[[1024, 4096], [4096, 4096], [4096], [4096]]","[""int8"", ""int8"", ""float32"", ""float32""]","{""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], [-0.1, 0.1]]",,48.53,offset-param-fp16
QuantMatmul,4,"[[1024, 4096], [4096, 14336], [14336], [14336], null, [14336]]","[""int8"", ""int8"", ""float32"", ""float32"", null, ""int32""]","{""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], [-0.1, 0.1], null, [-100, 100]]",,169.86,offset+int32-bias-fp16
QuantMatmul,5,"[[1024, 4096], [4096, 11008], [11008], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",,130.43,pertoken-scale-fp16
QuantMatmul,6,"[[1024, 4096], [4096, 14336], [14336], [14336], [1024], [14336]]","[""int8"", ""int8"", ""float32"", ""float32"", ""float32"", ""int32""]","{""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], [-0.1, 0.1], [0.001, 0.01], [-100, 100]]",,169.86,full-combo-offset+pertoken+int32-bias-fp16
QuantMatmul,7,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",,37.16,Qwen2-7B-o_proj-bf16-per-channel
QuantMatmul,8,"[[1024, 4096], [4096, 14336], [14336], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",,169.86,pertoken-bf16
QuantMatmul,9,"[[1024, 4096], [4096, 4096], [4096], null, null, [4096]]","[""int8"", ""int8"", ""float32"", null, null, ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-1, 1]]",,48.53,bf16-bias-post-scale-bf16
QuantMatmul,10,"[[1024, 2048], [2048, 2048], [2048]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""int8""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",,12.13,int8-output-default
