operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ROIAlign,1,"[[2, 256, 64, 64], [128, 5]]","[""float16"", ""float16""]","{""outputHeight"": 7, ""outputWidth"": 7, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": false}","[[-1, 1], [-1, 1]]",,9.98,S-float16-1M-对齐-bilinear-7x7-scale=1/16
ROIAlign,2,"[[2, 256, 128, 128], [128, 5]]","[""float32"", ""float32""]","{""outputHeight"": 14, ""outputWidth"": 14, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": false}","[[-2, 2], [-1, 1]]",,38.7,L-float32-4M-对齐-bilinear-14x14
ROIAlign,3,"[[2, 128, 32, 32], [64, 5]]","[""float32"", ""float32""]","{""outputHeight"": 7, ""outputWidth"": 7, ""spatial_scale"": 0.125, ""sampling_ratio"": 1, ""aligned"": false}","[[-3, 3], [-1, 1]]",,0.81,S-float32-256K-对齐-bilinear-7x7-scale=1/8
ROIAlign,4,"[[4, 256, 64, 64], [128, 5]]","[""float16"", ""float16""]","{""outputHeight"": 3, ""outputWidth"": 3, ""spatial_scale"": 0.25, ""sampling_ratio"": 0, ""aligned"": true}","[[-10, 10], [-1, 1]]",,4.37,S-float16-1M-对齐-bilinear-3x3-scale=1/4-aligned=true
ROIAlign,5,"[[2, 128, 128, 128], [128, 5]]","[""float32"", ""float32""]","{""outputHeight"": 1, ""outputWidth"": 1, ""spatial_scale"": 1.0, ""sampling_ratio"": 2, ""aligned"": false}","[[-100, 100], [-1, 1]]",,8.74,M-float32-4M-对齐-bilinear-1x1全局池化-scale=1
ROIAlign,6,"[[4, 251, 63, 67], [256, 5]]","[""float16"", ""float16""]","{""outputHeight"": 28, ""outputWidth"": 28, ""spatial_scale"": 0.0625, ""sampling_ratio"": 4, ""aligned"": true}","[[-1000, 1000], [-1, 1]]",,1118.19,M-float16-4M-非对齐-bilinear-28x28-upsampling
ROIAlign,7,"[[3, 251, 63, 63], [100, 5]]","[""float16"", ""float16""]","{""outputHeight"": 7, ""outputWidth"": 7, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": false}","[[-0.1, 0.1], [-1, 1]]",,7.76,S-float16-1M-质数非对齐-bilinear-7x7-微小值域
ROIAlign,8,"[[2, 257, 65, 65], [97, 5]]","[""float32"", ""float32""]","{""outputHeight"": 7, ""outputWidth"": 7, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": true}","[[-1, 2], [-1, 1]]",,7.36,S-float32-1M-非对齐-bilinear-7x7-aligned-非对称
ROIAlign,9,"[[3, 127, 31, 31], [50, 5]]","[""float32"", ""float32""]","{""outputHeight"": 5, ""outputWidth"": 5, ""spatial_scale"": 0.125, ""sampling_ratio"": 1, ""aligned"": false}","[[-5, 10], [-1, 1]]",,0.76,S-float32-300K-质数非对齐-bilinear-5x5-非对称
ROIAlign,10,"[[2, 509, 43, 43], [100, 5]]","[""float16"", ""float16""]","{""outputHeight"": 11, ""outputWidth"": 11, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": false}","[[-50, 100], [-1, 1]]",,37.7,S-float16-2M-质数非对齐-bilinear-11x11
ROIAlign,11,"[[2, 256, 65, 63], [100, 5]]","[""float16"", ""float16""]","{""outputHeight"": 7, ""outputWidth"": 7, ""spatial_scale"": 0.0625, ""sampling_ratio"": 2, ""aligned"": false}","[[-65504, 65504], [-1, 1]]",,7.84,S-float16-1M-非对齐-bilinear-7x7-float16边界值
