operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
WeightQuantBatchMatmul,1,"[[1024, 512], [512, 256], [256], [256], [256]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-1, 1], [-128, 127], [0.001, 0.1], [-0.01, 0.01], [-0.1, 0.1]]",,0.76,S-float16-int8-512K-对齐-M=1024-K=512-N=256-全参数
WeightQuantBatchMatmul,2,"[[2048, 1024], [1024, 512], [512], [512], [512]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-2, 2], [-128, 127], [0.002, 0.2], [-0.02, 0.02], [-0.2, 0.2]]",,6.07,S-bfloat16-int8-2M-对齐-M=2048-K=1024-N=512-全参数
WeightQuantBatchMatmul,3,"[[4096, 256], [256, 128], [128], [128], [128]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-3, 3], [-128, 127], [0.003, 0.3], [-0.03, 0.03], [-0.3, 0.3]]",,1.11,S-float16-int8-1M-对齐-M=4096-K=256-N=128-全参数
WeightQuantBatchMatmul,4,"[[8192, 127], [127, 63], [63]]","[""bfloat16"", ""int8"", ""bfloat16""]",{},"[[-10, 10], [-128, 127], [0.01, 1]]",,1.09,S-bfloat16-int8-1M-非对齐-无offset无bias
WeightQuantBatchMatmul,5,"[[16384, 61], [61, 31], [31], [31]]","[""float16"", ""int8"", ""float16"", ""float16""]",{},"[[-100, 100], [-128, 127], [0.1, 10], [-1, 1]]",,1.04,S-float16-int8-1M-非对齐-有offset无bias
WeightQuantBatchMatmul,6,"[[32768, 31], [31, 16], [16], null, [16]]","[""bfloat16"", ""int8"", ""bfloat16"", null, ""bfloat16""]",{},"[[-1000, 1000], [-128, 127], [1, 100], null, [-10, 10]]",,1.06,bfloat16-int8-1M-非对齐-无offset有bias
WeightQuantBatchMatmul,7,"[[512, 1024], [1024, 2048], [2048], [2048], [2048]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-0.1, 0.1], [-128, 127], [0.01, 0.5], [-0.05, 0.05], [-0.5, 0.5]]",,6.07,S-float16-int8-1M-K大N大-全参数
WeightQuantBatchMatmul,8,"[[1024, 1021], [1021, 511], [511], [511], [511]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 2], [-128, 127], [0.01, 1], [-0.1, 0.1], [-1, 1]]",,3.02,S-bfloat16-int8-1M-质数非对齐-全参数
WeightQuantBatchMatmul,9,"[[256, 257], [257, 129], [129]]","[""float16"", ""int8"", ""float16""]",{},"[[-5, 10], [-128, 127], [0.1, 5]]",,0.09,S-float16-int8-64K-质数非对齐-无可选参数
WeightQuantBatchMatmul,10,"[[128, 4097], [4097, 2049], [2049], [2049]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16""]",{},"[[-50, 100], [-128, 127], [1, 50], [-5, 5]]",,6.07,S-bfloat16-int8-512K-质数大K大N-有offset
WeightQuantBatchMatmul,11,"[[64, 513], [513, 257], [257], [257], [257]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-65504, 65504], [-128, 127], [0.01, 100], [-1, 1], [-100, 100]]",,0.1,S-float16-int8-32K-非对齐-float16边界值
WeightQuantBatchMatmul,12,"[[32, 256], [256, 128], [128], [128], [128]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-88, 88], [-128, 127], [0.01, 10], [-0.5, 0.5], [-10, 10]]",,0.03,S-bfloat16-int8-8K-对齐-float32边界值
WeightQuantBatchMatmul,13,"[[16, 128], [128, 64], [64], [64], [64]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[""-inf"", ""inf""], [-128, 127], [0.001, 1], [""-inf"", ""inf""], [""-inf"", ""inf""]]",,0.01,S-float16-int8-2K-对齐-inf特殊值
WeightQuantBatchMatmul,14,"[[8, 64], [64, 32], [32]]","[""bfloat16"", ""int8"", ""bfloat16""]",{},"[[""nan"", ""nan""], [-128, 127], [0.01, 1]]",,0.0,S-bfloat16-int8-512-对齐-nan特殊值-无可选参数
WeightQuantBatchMatmul,15,"[[4, 32], [32, 16], [16], [16], [16]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[0, 0], [0, 0], [1, 1], [0, 0], [0, 0]]",,0.0,S-float16-int8-128-对齐-零值
WeightQuantBatchMatmul,16,"[[1, 512], [512, 256], [256], [256], [256]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-0.5, 0.5], [-128, 127], [0.01, 0.5], [-0.05, 0.05], [-0.5, 0.5]]",,0.07,S-float16-int8-512-小batch-全参数
WeightQuantBatchMatmul,17,"[[2, 1023], [1023, 511], [511], [511]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16""]",{},"[[-1, 3], [-128, 127], [0.1, 1], [-0.1, 0.1]]",,0.28,S-bfloat16-int8-2K-质数非对齐-有offset无bias
WeightQuantBatchMatmul,18,"[[4, 511], [511, 255], [255], null, [255]]","[""float16"", ""int8"", ""float16"", null, ""float16""]",{},"[[-1000, 1000], [-128, 127], [1, 100], null, [-100, 100]]",,0.07,float16-int8-2K-质数非对齐-无offset有bias
WeightQuantBatchMatmul,19,"[[8, 63], [63, 31], [31], [31], [31]]","[""bfloat16"", ""int8"", ""bfloat16"", ""bfloat16"", ""bfloat16""]",{},"[[-0.2, 0.2], [-128, 127], [0.01, 0.5], [-0.02, 0.02], [-0.2, 0.2]]",,0.0,S-bfloat16-int8-512-质数非对齐-全参数-微小值域
WeightQuantBatchMatmul,20,"[[16, 127], [127, 63], [63], [63], [63]]","[""float16"", ""int8"", ""float16"", ""float16"", ""float16""]",{},"[[-3, 6], [-128, 127], [0.1, 5], [-0.3, 0.6], [-5, 5]]",,0.01,S-float16-int8-2K-质数非对齐-全参数-非对称中值域
