operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
LSTM,1,"[[10, 4, 64], [[128, 64]], [[128, 32]], [[128]], [[128]], null, null]","[""float32"", [""float32""], [""float32""], [""float32""], [""float32""], null, null]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1]], [[-0.1, 0.1]], [[-0.01, 0.01]], [[-0.01, 0.01]], null, null]",150.10,0.03,S-float32-case1 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
LSTM,2,"[[20, 16, 128], [[256, 128]], [[256, 64]], [[256]], [[256]]]","[""float16"", [""float16""], [""float16""], [""float16""], [""float16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1]], [[-0.1, 0.1]], [[-0.01, 0.01]], [[-0.01, 0.01]]]",188.78,0.1,S-float16-case2 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
LSTM,3,"[[50, 32, 256], [[512, 256]], [[512, 128]], [[512]], [[512]]]","[""bfloat16"", [""bfloat16""], [""bfloat16""], [""bfloat16""], [""bfloat16""]]","{""inputSize"": 256, ""hiddenSize"": 128, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1]], [[-0.1, 0.1]], [[-0.01, 0.01]], [[-0.01, 0.01]]]",621.33,1.78,S-bfloat16-case3 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + Cast×13 + DynamicRNN×1 + TransData×5
LSTM,4,"[[12, 5, 64], [[128, 64], [128, 64]], [[128, 32], [128, 32]], [[128], [128]], [[128], [128]]]","[""float32"", [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""]]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01]]]",377.07,0.06,S-float32-case4 | baseline_kernels: ZerosLike×3 + ConcatD×5 + Add×2 + Transpose×2 + DynamicRNN×2 + TransData×10 + ReverseV2×4
LSTM,5,"[[24, 8, 128], [[256, 128], [256, 128]], [[256, 64], [256, 64]], [[256], [256]], [[256], [256]]]","[""float16"", [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01]]]",468.57,0.13,S-float16-case5 | baseline_kernels: ZerosLike×3 + ConcatD×5 + Add×2 + Transpose×2 + DynamicRNN×2 + TransData×10 + ReverseV2×4
LSTM,6,"[[8, 8, 96], [[256, 96], [256, 64]], [[256, 64], [256, 64]], [[256], [256]], [[256], [256]]]","[""float32"", [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""]]","{""inputSize"": 96, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01]]]",143.36,0.17,S-float32-case6 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
LSTM,7,"[[30, 16, 256], [[512, 256], [512, 128], [512, 128]], [[512, 128], [512, 128], [512, 128]], [[512], [512], [512]], [[512], [512], [512]]]","[""float16"", [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""]]","{""inputSize"": 256, ""hiddenSize"": 128, ""numLayers"": 3, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.1, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]]]",287.85,1.24,S-float16-case7 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
LSTM,8,"[[16, 6, 96], [[256, 96], [256, 96], [256, 128], [256, 128]], [[256, 64], [256, 64], [256, 64], [256, 64]], [[256], [256], [256], [256]], [[256], [256], [256], [256]]]","[""float32"", [""float32"", ""float32"", ""float32"", ""float32""], [""float32"", ""float32"", ""float32"", ""float32""], [""float32"", ""float32"", ""float32"", ""float32""], [""float32"", ""float32"", ""float32"", ""float32""]]","{""inputSize"": 96, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]]]",461.63,0.41,S-float32-case8 | baseline_kernels: ZerosLike×3 + ConcatD×5 + Add×2 + Transpose×2 + DynamicRNN×2 + TransData×10 + ReverseV2×4
LSTM,9,"[[15, 12, 128], [[256, 128], [256, 128], [256, 128], [256, 128]], [[256, 64], [256, 64], [256, 64], [256, 64]], [[256], [256], [256], [256]], [[256], [256], [256], [256]]]","[""bfloat16"", [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]], [[-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01], [-0.01, 0.01]]]",787.14,0.24,S-bfloat16-case9 | baseline_kernels: ZerosLike×3 + ConcatD×5 + Add×2 + Transpose×2 + Cast×26 + DynamicRNN×2 + TransData×10 + ReverseV2×4
LSTM,10,"[[6, 8, 64], [[128, 64]], [[128, 32]], [[128]], [[128]]]","[""float32"", [""float32""], [""float32""], [""float32""], [""float32""]]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": true, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1]], [[-0.1, 0.1]], [[-0.01, 0.01]], [[-0.01, 0.01]]]",122.38,0.03,S-float32-case10 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
LSTM,11,"[[8, 3, 64], [[128, 64]], [[128, 32]], null, null, null, null]","[""float32"", [""float32""], [""float32""], null, null, null, null]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": false, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false, ""projSize"": 0}","[[-1.0, 1.0], [[-0.1, 0.1]], [[-0.1, 0.1]], null, null, null, null]",135.70,0.03,S-float32-case11 | baseline_kernels: ZerosLike×3 + ConcatD×1 + Add×1 + Transpose×1 + DynamicRNN×1 + TransData×5
