operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MHA,1,"[[2, 128, 8, 64], [2, 128, 8, 64], [2, 128, 8, 64]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,S-float16-B2S128N8D64-prefill
MHA,2,"[[4, 256, 16, 64], [4, 256, 16, 64], [4, 256, 16, 64]]","['float32', 'float32', 'float32']",{'scaleValue': -1.0},"[-1, 1]",None,M-float32-B4S256N16D64-prefill
MHA,3,"[[2, 512, 32, 128], [2, 512, 32, 128], [2, 512, 32, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,M-bfloat16-B2S512N32D128-prefill
MHA,4,"[[2, 256, 8, 256], [2, 256, 8, 256], [2, 256, 8, 256]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,S-float16-B2S256N8D256-D256
MHA,5,"[[2, 512, 32, 256], [2, 512, 32, 256], [2, 512, 32, 256]]","['float32', 'float32', 'float32']",{'scaleValue': -1.0},"[-1, 1]",None,M-float32-B2S512N32D256-D256
MHA,6,"[[2, 128, 12, 64], [2, 256, 12, 64], [2, 256, 12, 64]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,S-float16-B2Sq128Skv256N12D64-cross
MHA,7,"[[2, 512, 16, 128], [2, 128, 16, 128], [2, 128, 16, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,S-bfloat16-B2Sq512Skv128N16D128-cross
MHA,8,"[[4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B4S1024N32D128-long-prefill
MHA,9,"[[2, 1024, 32, 128], [2, 1024, 32, 128], [2, 1024, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B2S1024N32D128-long-prefill
MHA,10,"[[4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,L-bfloat16-B4S1024N32D128-very-long-prefill
MHA,11,"[[4, 1024, 16, 256], [4, 1024, 16, 256], [4, 1024, 16, 256]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B4S1024N16D256-long-prefill-D256
MHA,12,"[[2, 2048, 8, 256], [2, 2048, 8, 256], [2, 2048, 8, 256]]","['float32', 'float32', 'float32']",{'scaleValue': -1.0},"[-1, 1]",None,L-float32-B2S2048N8D256-long-prefill-D256
MHA,13,"[[1, 1, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,M-float16-B1S1Skv2048N32D128-decode-single-batch
MHA,14,"[[16, 1, 32, 128], [16, 1024, 32, 128], [16, 1024, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B16S1Skv2048N32D128-decode
MHA,15,"[[32, 1, 32, 128], [32, 512, 32, 128], [32, 512, 32, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,L-bfloat16-B32S1Skv2048N32D128-decode
MHA,16,"[[60, 1, 32, 128], [60, 512, 32, 128], [60, 512, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B60S1Skv2048N32D128-decode-large-batch
MHA,17,"[[72, 1, 32, 128], [72, 256, 32, 128], [72, 256, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B72S1Skv2048N32D128-decode-large-batch
MHA,18,"[[96, 1, 32, 128], [96, 256, 32, 128], [96, 256, 32, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,L-bfloat16-B96S1Skv4096N32D128-decode-large-batch
MHA,19,"[[128, 1, 32, 128], [128, 128, 32, 128], [128, 128, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B128S1Skv4096N32D128-decode-large-batch
MHA,20,"[[60, 1, 16, 256], [60, 512, 16, 256], [60, 512, 16, 256]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B60S1Skv2048N16D256-decode-large-batch-D256
MHA,21,"[[96, 1, 16, 128], [96, 256, 16, 128], [96, 256, 16, 128]]","['float32', 'float32', 'float32']",{'scaleValue': -1.0},"[-1, 1]",None,L-float32-B96S1Skv4096N16D128-decode-large-batch-D256
MHA,22,"[[128, 1, 32, 128], [128, 128, 32, 128], [128, 128, 32, 128]]","['bfloat16', 'bfloat16', 'bfloat16']",{'scaleValue': -1.0},"[-1, 1]",None,L-bfloat16-B128S1Skv2048N32D128-decode-large-batch-D256
MHA,23,"[[60, 2, 32, 128], [60, 512, 32, 128], [60, 512, 32, 128]]","['float16', 'float16', 'float16']",{'scaleValue': -1.0},"[-1, 1]",None,L-float16-B60Sq2Skv2048N32D128-MTP-large-batch
