operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MLA,1,"[[2, 128, 128, 512], [2, 128, 128, 64], [2, 128, 1, 512], [2, 128, 1, 64], [2, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,25.78,M-float16-BSND-B2S128Nq128Nkv1-dnope512drope64-prefill
MLA,2,"[[4, 256, 128, 512], [4, 256, 128, 64], [4, 256, 1, 512], [4, 256, 1, 64], [4, 256, 1, 512]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,3300.09,L-float32-BSND-B4S256Nq128Nkv1-dnope512drope64-prefill
MLA,3,"[[2, 128, 64, 448], [2, 128, 64, 64], [2, 128, 1, 448], [2, 128, 1, 64], [2, 128, 1, 448]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,11.37,M-bfloat16-BSND-B2S128Nq64Nkv1-dnope448drope64
MLA,4,"[[2, 256, 128, 512], [2, 256, 128, 64], [2, 128, 1, 512], [2, 128, 1, 64], [2, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,51.56,M-float16-BSND-B2Sq256Skv128Nq128-dnope512-cross
MLA,5,"[[2, 256, 128, 512], [2, 256, 128, 64], [2, 256, 1, 512], [2, 256, 1, 64], [2, 256, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,103.13,L-float16-BSND-B2S256Nq128-dnope512-long-prefill
MLA,6,"[[2, 256, 128, 448], [2, 256, 128, 64], [2, 256, 1, 448], [2, 256, 1, 64], [2, 256, 1, 448]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,91.0,L-float16-BSND-B2S256Nq128-dnope448-long-prefill
MLA,7,"[[1, 1, 128, 512], [1, 1, 128, 64], [1, 2048, 1, 512], [1, 2048, 1, 64], [1, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,2.4,S-float16-BSND-B1S1Skv2048Nq128-decode-single-batch
MLA,8,"[[16, 1, 128, 512], [16, 1, 128, 64], [16, 2048, 1, 512], [16, 2048, 1, 64], [16, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,38.37,M-float16-BSND-B16S1Skv2048Nq128-decode
MLA,9,"[[32, 1, 128, 512], [32, 1, 128, 64], [32, 2048, 1, 512], [32, 2048, 1, 64], [32, 2048, 1, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,76.73,L-bfloat16-BSND-B32S1Skv2048Nq128-decode
MLA,10,"[[60, 1, 128, 512], [60, 1, 128, 64], [60, 2048, 1, 512], [60, 2048, 1, 64], [60, 2048, 1, 512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""numKVHeads"": 1, ""scaleValue"": -1.0, ""inputLayout"": ""BSND""}","[-1, 1]",,143.87,L-float16-BSND-B60S1Skv2048Nq128-dnope512-decode-large-batch
