operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MlaProlog,1,"[[1, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 1, 64], [1, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,63.84,bfloat16-DSv3-B1S1-decode
MlaProlog,2,"[[4, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 1, 64], [4, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,63.86,bfloat16-DSv3-B4S1-decode
MlaProlog,3,"[[32, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [32, 1, 64], [32, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,64.07,bfloat16-DSv3-B32S1-decode
MlaProlog,4,"[[64, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [64, 1, 64], [64, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,64.32,bfloat16-DSv3-B64S1-decode
MlaProlog,5,"[[128, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [128, 1, 64], [128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,64.8,bfloat16-DSv3-B128S1-decode-large-batch
MlaProlog,6,"[[1, 4, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 4, 64], [1, 4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,63.86,bfloat16-DSv3-B1S4-prefill
MlaProlog,7,"[[1, 16, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 16, 64], [1, 16, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,63.95,bfloat16-DSv3-B1S16-prefill
MlaProlog,8,"[[4, 4, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 4, 64], [4, 4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,63.95,bfloat16-DSv3-B4S4-prefill
MlaProlog,9,"[[4, 128, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 128, 64], [4, 128, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,177.25,bfloat16-DSv3-B4S128-prefill
MlaProlog,10,"[[2, 256, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [2, 256, 64], [2, 256, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,177.25,bfloat16-DSv3-B2S256-prefill
MlaProlog,11,"[[1, 1, 5120], [5120, 1536], [1536, 24576], [128, 128, 512], [5120, 576], [1536], [512], [1, 1, 64], [1, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,59.33,bfloat16-DSv2-B1S1-decode
MlaProlog,12,"[[32, 1, 5120], [5120, 1536], [1536, 24576], [128, 128, 512], [5120, 576], [1536], [512], [32, 1, 64], [32, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",,59.5,bfloat16-DSv2-B32S1-decode
