operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
SwiGlu,1,"[[1024, 2048]]","[""float16""]","{""dim"": -1}","[-1, 1]",15.44,2.1845,S-float16-2M-对齐-对称小值域-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,2,"[[2048, 4096]]","[""float32""]","{""dim"": -1}","[-2, 2]",35.86,17.4763,M-float32-8M-对齐-对称小值域-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,3,"[[4096, 8192]]","[""bfloat16""]","{""dim"": -1}","[-3, 3]",58.84,34.9525,M-bfloat16-33M-对齐-对称小值域-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,4,"[[8192, 16384]]","[""float16""]","{""dim"": 0}","[-10, 10]",288.77,139.8101,L-float16-134M-对齐-中值域-dim=0 (split 行轴) | baseline_kernels: SwiGlu×1
SwiGlu,5,"[[2039, 65520]]","[""float32""]","{""dim"": -1}","[-100, 100]",748.86,278.3235,L-float32-132M-质数非对齐-对称大值域-dim=-1 (last dim 偶) | baseline_kernels: SwiGlu×1
SwiGlu,6,"[[1022, 2047]]","[""bfloat16""]","{""dim"": 0}","[-0.1, 0.1]",24.14,2.1792,S-bfloat16-2M-非对齐-对称微小值域-dim=0 (split 行轴 1022) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,7,"[[1009, 2016]]","[""float16""]","{""dim"": -1}","[-1, 2]",16.1,2.1189,S-float16-2M-质数非对齐-非对称小值域-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,8,"[[1538, 1537]]","[""float32""]","{""dim"": 0}","[-5, 10]",31.04,4.9248,S-float32-2M-非对齐-非对称中值域-dim=0 (split 行轴 1538) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,9,"[[363, 367, 14]]","[""bfloat16""]","{""dim"": -1}","[-50, 100]",228.19,1.9428,S-bfloat16-2M-质数非对齐-非对称大值域-3D-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,10,"[[2049, 1024]]","[""float16""]","{""dim"": 1}","[-65504, 65504]",15.46,2.1856,S-float16-2M-非对齐-float16 边界值-dim=1 (split 列轴 1024) | baseline_kernels: SwiGlu×1
SwiGlu,11,"[[3, 7, 13, 1018]]","[""float32""]","{""dim"": -1}","[-88, 88]",9.62,1.0,S-float32-2M-质数非对齐-float32 边界值-4D-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,12,"[[1000003, 2]]","[""bfloat16""]","{""dim"": 1}","[""-inf"", ""inf""]",1655.61,2.0833,S-bfloat16-2M-质数非对齐-inf 特殊值-dim=1 (split 列轴 2) | baseline_kernels: SwiGlu×1
SwiGlu,13,"[[11, 13, 16, 67]]","[""float32""]","{""dim"": 2}","[""nan"", ""nan""]",14.72,1.0,S-float32-150K-质数非对齐-nan 特殊值-4D-dim=2 (split 第三维 16) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,14,"[[3, 7, 11, 13, 1012]]","[""float16""]","{""dim"": -1}","[0, 0]",21.04,3.1657,S-float16-3M-质数非对齐-零值-5D-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,15,"[[512, 4096]]","[""float32""]","{""dim"": -1}","[-0.5, 0.5]",18.28,4.3691,S-float32-2M-对齐-对称微小值域-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,16,"[[254, 16383]]","[""bfloat16""]","{""dim"": 0}","[-1, 3]",31.28,4.3347,S-bfloat16-4M-非对齐-非对称小值域-dim=0 (split 行轴 254) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,17,"[[4096, 1023]]","[""float16""]","{""dim"": 0}","[-1000, 1000]",36.56,4.3648,S-float16-4M-非对齐-对称大值域-dim=0 (split 行轴 4096) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,18,"[[2, 1023, 4096]]","[""float32""]","{""dim"": -1}","[-0.2, 0.2]",36.44,17.4592,M-float32-8M-非对齐-对称微小值域-3D-dim=-1 | baseline_kernels: SwiGlu×1
SwiGlu,19,"[[4, 510, 4097]]","[""bfloat16""]","{""dim"": 1}","[-3, 6]",46.8,8.7061,M-bfloat16-8M-非对齐-非对称中值域-3D-dim=1 (split 第二维 510) | baseline_kernels: Slice×1 + SwiGlu×1
SwiGlu,20,"[[2, 3, 17, 512, 100]]","[""float32""]","{""dim"": -1}","[-20, 40]",78.12,10.88,M-float32-10M-非对齐-非对称大值域-5D-dim=-1 | baseline_kernels: SwiGlu×1
