operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
ApplyAdamW,1,"[[1024, 1024], [1024, 1024], [1024, 1024], [1024, 1024]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-1, 1], [-1, 1], [-0.1, 0.1], [0, 0.1]]",38.14,8.74,M-float32-1M-对齐-对称小值域-lr=0.001 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,2,"[[2048, 2048], [2048, 2048], [2048, 2048], [2048, 2048]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.01, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.01, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-2, 2], [-2, 2], [-0.2, 0.2], [0, 0.2]]",51.5,17.48,M-float16-4M-对齐-对称小值域-lr=0.01 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,3,"[[4096, 4096], [4096, 4096], [4096, 4096], [4096, 4096]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.0001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.1, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-3, 3], [-3, 3], [-0.3, 0.3], [0, 0.3]]",244.74,69.91,L-bfloat16-16M-对齐-对称小值域-lr=0.0001 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,4,"[[4096, 4096], [4096, 4096], [4096, 4096], [4096, 4096]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.1, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-5, 5], [-5, 5], [-0.5, 0.5], [0, 0.5]]",320.99,139.81,L-float32-67M-对齐-对称中值域-lr=0.1 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,5,"[[4096, 8192], [4096, 8192], [4096, 8192], [4096, 8192]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.1, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.1, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-5, 5], [-5, 5], [-0.5, 0.5], [0, 0.5]]",306.85,139.81,L-float16-268M-对齐-对称大值域-lr=1.0-wd=1.0 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,6,"[[1023, 1023], [1023, 1023], [1023, 1023], [1023, 1023]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.01, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01], [0, 0.01]]",34.42,4.36,S-bfloat16-1M-非对齐-对称微小值域 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,7,"[[1009, 1021], [1009, 1021], [1009, 1021], [1009, 1021]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.1, ""beta1"": 0.5, ""beta2"": 0.9, ""weight_decay"": 0.5, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-1, 2], [-1, 2], [-0.1, 0.1], [0, 0.1]]",38.56,8.58,M-float32-1M-质数非对齐-低动量-beta1=0.5 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,8,"[[1537, 769], [1537, 769], [1537, 769], [1537, 769]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.0001, ""beta1"": 0.99, ""beta2"": 0.99, ""weight_decay"": 0.0, ""epsilon"": ""1e-06"", ""maximize"": false}","[[-5, 10], [-5, 10], [-0.5, 0.5], [0, 0.5]]",29.74,4.92,S-float16-1M-非对齐-高动量-beta1=0.99 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,9,"[[363, 367, 373], [363, 367, 373], [363, 367, 373], [363, 367, 373]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.01, ""beta1"": 0.0, ""beta2"": 0.5, ""weight_decay"": 0.5, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-50, 100], [-50, 100], [-5, 5], [0, 5]]",764.32,207.05,L-bfloat16-50M-质数非对齐-无动量-beta1=0.0-3D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,10,"[[2049, 513], [2049, 513], [2049, 513], [2049, 513]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.01, ""epsilon"": ""1e-08"", ""maximize"": true}","[[-65504, 65504], [-65504, 65504], [-6550, 6550], [0, 6550]]",36.38,8.76,M-float32-1M-非对齐-maximize=true | baseline_kernels: ApplyAdamW×1
ApplyAdamW,11,"[[3, 7, 13, 4001], [3, 7, 13, 4001], [3, 7, 13, 4001], [3, 7, 13, 4001]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-88, 88], [-88, 88], [-8.8, 8.8], [0, 8.8]]",28.7,4.55,S-float16-1M-质数非对齐-float32边界值-4D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,12,"[[1000003], [1000003], [1000003], [1000003]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[""-inf"", ""inf""], [""-inf"", ""inf""], [-1, 1], [0, 1]]",34.1,4.17,S-bfloat16-1M-质数非对齐-inf特殊值-1D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,13,"[[11, 13, 17, 67, 67], [11, 13, 17, 67, 67], [11, 13, 17, 67, 67], [11, 13, 17, 67, 67]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": 0.0, ""maximize"": false}","[[""nan"", ""nan""], [""nan"", ""nan""], [""nan"", ""nan""], [""nan"", ""nan""]]",167.04,90.94,L-float32-10M-质数非对齐-epsilon=0.0-nan特殊值-5D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,14,"[[3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[0, 0], [0, 0], [0, 0], [0, 0]]",45.12,12.68,M-float16-3M-质数非对齐-零值-5D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,15,"[[512, 2049], [512, 2049], [512, 2049], [512, 2049]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-04"", ""maximize"": false}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05], [0, 0.05]]",38.54,8.74,M-float32-1M-非对齐-大epsilon=1e-04 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,16,"[[255, 8193], [255, 8193], [255, 8193], [255, 8193]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.01, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.01, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-1, 3], [-1, 3], [-0.1, 0.1], [0, 0.1]]",48.32,8.71,M-bfloat16-2M-非对齐-非对称小值域 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,17,"[[4097, 511], [4097, 511], [4097, 511], [4097, 511]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""lr"": 0.1, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.1, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-1000, 1000], [-1000, 1000], [-100, 100], [0, 100]]",38.88,8.72,M-float16-2M-非对齐-对称大值域 | baseline_kernels: ApplyAdamW×1
ApplyAdamW,18,"[[2, 511, 2049], [2, 511, 2049], [2, 511, 2049], [2, 511, 2049]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.0, ""epsilon"": ""1e-08"", ""maximize"": false}","[[-0.2, 0.2], [-0.2, 0.2], [-0.02, 0.02], [0, 0.02]]",51.46,17.45,M-float32-2M-非对齐-对称微小值域-3D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,19,"[[4, 255, 2049], [4, 255, 2049], [4, 255, 2049], [4, 255, 2049]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""lr"": 0.0001, ""beta1"": 0.99, ""beta2"": 0.99, ""weight_decay"": 0.5, ""epsilon"": ""1e-06"", ""maximize"": false}","[[-3, 6], [-3, 6], [-0.3, 0.3], [0, 0.3]]",48.3,8.71,M-bfloat16-2M-非对齐-非对称中值域-3D | baseline_kernels: ApplyAdamW×1
ApplyAdamW,20,"[[2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""lr"": 0.001, ""beta1"": 0.9, ""beta2"": 0.999, ""weight_decay"": 0.01, ""epsilon"": ""1e-08"", ""maximize"": true}","[[-20, 40], [-20, 40], [-2, 2], [0, 2]]",158.1,87.91,L-float32-10M-非对齐-非对称大值域-5D-maximize=true | baseline_kernels: ApplyAdamW×1
