operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Scatter,1,"[[1024, 1024], [512, 1024], [512, 1024]]","[""float16"", ""int32"", ""float16""]","{""dim"": 0, ""reduce"": null}","[[-1, 1], [0, 1023], [-1, 1]]",233.34,2.73,S-float16-int32-float16-1M-对齐-dim=0-update | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,2,"[[2048, 2048], [1024, 2048], [1024, 2048]]","[""float32"", ""int32"", ""float32""]","{""dim"": 0, ""reduce"": null}","[[-2, 2], [0, 2047], [-2, 2]]",633.95,17.48,M-float32-int32-float32-4M-对齐-dim=0-update | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,3,"[[4096, 4096], [2048, 4096], [2048, 4096]]","[""bfloat16"", ""int64"", ""bfloat16""]","{""dim"": 0, ""reduce"": null}","[[-3, 3], [0, 4095], [-3, 3]]",1503.63,61.17,L-bfloat16-int64-bfloat16-16M-对齐-dim=0-update | baseline_kernels: TensorMove×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,4,"[[8192, 8192], [8192, 4096], [8192, 4096]]","[""float16"", ""int32"", ""float16""]","{""dim"": 1, ""reduce"": ""add""}","[[-10, 10], [0, 8191], [-5, 5]]",20879.90,174.76,L-float16-67M-对齐-dim=1-add | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,5,"[[4096, 4096], [4096, 4096], [4096, 4096]]","[""float32"", ""int64"", ""float32""]","{""dim"": 0, ""reduce"": ""multiply""}","[[-100, 100], [0, 4095], [-50, 50]]",,139.81,L-float32-268M-对齐-dim=0-multiply | NO_NPU_IMPL: torch fallback to CPU (kernels: TensorMove×1)
Scatter,6,"[[8192, 4096], [8192, 4096], [8192, 4096]]","[""int32"", ""int32"", ""int32""]","{""dim"": 0, ""reduce"": ""amax""}","[[-2147483648, 2147483647], [0, 8191], [-10000, 10000]]",,209.72,L-int32-1G-对齐-dim=0-amax-int32全范围 | NO_NPU_IMPL: torch fallback to CPU (kernels: TensorMove×1 + Cast×1)
Scatter,7,"[[1023, 1023], [511, 1023], [511, 1023]]","[""bfloat16"", ""int32"", ""bfloat16""]","{""dim"": 0, ""reduce"": null}","[[-0.1, 0.1], [0, 1022], [-0.1, 0.1]]",266.50,2.72,S-bfloat16-1M-非对齐-dim=0-对称微小值域-2D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,8,"[[1009, 1021], [1009, 511], [1009, 511]]","[""float16"", ""int32"", ""float16""]","{""dim"": -1, ""reduce"": null}","[[-1, 2], [0, 1020], [-1, 2]]",189.38,2.68,S-float16-1M-质数非对齐-dim=-1（负向索引）-update | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,9,"[[1537, 769], [769, 769], [769, 769]]","[""float32"", ""int32"", ""float32""]","{""dim"": 0, ""reduce"": ""add""}","[[-5, 10], [0, 1536], [-5, 10]]",808.96,4.93,S-float32-1M-非对齐-dim=0-add | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,10,"[[363, 367, 373], [181, 367, 373], [181, 367, 373]]","[""bfloat16"", ""int32"", ""bfloat16""]","{""dim"": 0, ""reduce"": null}","[[-50, 100], [0, 362], [-50, 100]]",4438.59,129.19,L-bfloat16-50M-质数非对齐-dim=0-3D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,11,"[[2049, 513], [1024, 513], [1024, 513]]","[""float16"", ""int32"", ""float16""]","{""dim"": 0, ""reduce"": null}","[[-65504, 65504], [0, 2048], [-100, 100]]",284.45,2.74,S-float16-1M-非对齐-dim=0-float16边界值 | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,12,"[[3, 7, 13, 4001], [2, 7, 13, 4001], [2, 7, 13, 4001]]","[""float32"", ""int64"", ""float32""]","{""dim"": 0, ""reduce"": ""amin""}","[[-88, 88], [0, 2], [-88, 88]]",,6.83,M-float32-1M-质数非对齐-dim=0-amin-4D | NO_NPU_IMPL: torch fallback to CPU (kernels: TensorMove×1)
Scatter,13,"[[2, 7, 256, 251], [2, 4, 256, 251], [2, 4, 256, 251]]","[""bfloat16"", ""int32"", ""bfloat16""]","{""dim"": 1, ""reduce"": null}","[[-0.01, 0.01], [0, 6], [-0.01, 0.01]]",816.16,2.54,S-bfloat16-900K-质数非对齐-dim=1-对称微小值域-4D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,14,"[[1048583], [1048], [1048]]","[""float32"", ""int32"", ""float32""]","{""dim"": 0, ""reduce"": null}","[[""-inf"", ""inf""], [0, 1048582], [""-inf"", ""inf""]]",39.30,2.19,S-float32-1M-质数非对齐-dim=0-inf特殊值-1D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,15,"[[11, 13, 17, 67, 67], [7, 13, 17, 67, 67], [7, 13, 17, 67, 67]]","[""float16"", ""int64"", ""float16""]","{""dim"": 0, ""reduce"": null}","[[""nan"", ""nan""], [0, 10], [""nan"", ""nan""]]",5897.22,47.54,M-float16-10M-质数非对齐-dim=0-nan特殊值-5D | baseline_kernels: TensorMove×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,16,"[[3, 7, 11, 13, 1013], [2, 7, 11, 13, 1013], [2, 7, 11, 13, 1013]]","[""float32"", ""int32"", ""float32""]","{""dim"": 0, ""reduce"": null}","[[0, 0], [0, 2], [0, 0]]",6487.71,14.79,M-float32-3M-质数非对齐-dim=0-零值-5D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,17,"[[16, 64, 1024], [16, 64, 512], [16, 64, 512]]","[""bfloat16"", ""int32"", ""bfloat16""]","{""dim"": 2, ""reduce"": null}","[[-0.5, 0.5], [0, 1023], [-0.5, 0.5]]",189.20,2.73,M-bfloat16-1M-非对齐-dim=2（最内轴 on 3D）-微小值域 | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,18,"[[255, 8193], [127, 8193], [127, 8193]]","[""float16"", ""int64"", ""float16""]","{""dim"": 0, ""reduce"": ""add""}","[[-1, 3], [0, 254], [-1, 3]]",820.10,7.6,M-float16-2M-非对齐-dim=0-add | baseline_kernels: TensorMove×1 + LinearIndex×1 + ScatterElementsV2×1
Scatter,19,"[[4097, 511], [2048, 511], [2048, 511]]","[""int64"", ""int64"", ""int64""]","{""dim"": 0, ""reduce"": null}","[[-1000000000, 1000000000], [0, 4096], [-1000000000, 1000000000]]",13075.88,17.44,M-int64-2M-非对齐-dim=0-int64数据/索引-update | baseline_kernels: TensorMove×1 + ScatterElements×1
Scatter,20,"[[2, 511, 2049], [2, 255, 2049], [2, 255, 2049]]","[""bfloat16"", ""int32"", ""bfloat16""]","{""dim"": 1, ""reduce"": null}","[[-3, 6], [0, 510], [-3, 6]]",283.89,5.45,S-bfloat16-2M-非对齐-dim=1-非对称中值域-3D | baseline_kernels: TensorMove×1 + Cast×1 + LinearIndex×1 + ScatterElementsV2×1
