operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Softmax,1,"[[1024, 1024]]","[""float16""]","{""dim"": -1}","[-1, 1]",20.64,1.57,S-float16-1M-对齐-对称小值域-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,2,"[[2048, 2048]]","[""float32""]","{""dim"": -1}","[-2, 2]",37.98,8.74,M-float32-4M-对齐-对称小值域-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,3,"[[4096, 4096]]","[""bfloat16""]","{""dim"": -1}","[-3, 3]",91.76,25.17,M-bfloat16-16M-对齐-对称小值域-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,4,"[[8192, 8192]]","[""float16""]","{""dim"": 0}","[-10, 10]",1307.31,100.66,L-float16-67M-对齐-对称中值域-dim=0 | baseline_kernels: SoftmaxV2×1
Softmax,5,"[[8192, 8192]]","[""float32""]","{""dim"": 1}","[-100, 100]",422.73,139.81,L-float32-268M-对齐-对称大值域-dim=1 | baseline_kernels: SoftmaxV2×1
Softmax,6,"[[31, 67, 127, 257]]","[""bfloat16""]","{""dim"": 2}","[-5, 5]",786.04,101.69,L-bfloat16-67M-非对齐-4D-dim=2 | baseline_kernels: SoftmaxV2×1
Softmax,7,"[[1023, 2047]]","[""float16""]","{""dim"": -1}","[-0.1, 0.1]",20.04,3.14,S-float16-2M-非对齐-对称微小值域-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,8,"[[2049, 4097]]","[""float32""]","{""dim"": -1}","[-1, 1]",58.12,17.49,M-float32-8M-非对齐-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,9,"[[127, 257, 1023]]","[""bfloat16""]","{""dim"": -2}","[-0.5, 0.5]",412.79,50.08,M-bfloat16-33M-质数非对齐-3D-dim=-2（负向非-1） | baseline_kernels: SoftmaxV2×1
Softmax,10,"[[1009, 1021]]","[""float16""]","{""dim"": -1}","[-1, 2]",14.20,1.55,S-float16-1M-质数非对齐-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,11,"[[367, 373, 379]]","[""float32""]","{""dim"": 1}","[-50, 100]",1063.10,108.09,L-float32-51M-质数非对齐-3D-dim=1 | baseline_kernels: SoftmaxV2×1
Softmax,12,"[[11, 13, 17, 4001]]","[""bfloat16""]","{""dim"": -1}","[-3, 6]",62.58,14.59,M-bfloat16-9M-质数非对齐-4D-dim=-1 | baseline_kernels: SoftmaxV2×1
Softmax,13,"[[1000003, 2]]","[""float16""]","{""dim"": -1}","[""-inf"", ""inf""]",187.26,3.0,S-float16-2M-质数非对齐-inf特殊值 | baseline_kernels: SoftmaxV2×1
Softmax,14,"[[11, 13, 17, 67, 67]]","[""float32""]","{""dim"": -1}","[""nan"", ""nan""]",294.31,22.73,M-float32-10M-质数非对齐-nan特殊值-5D | baseline_kernels: SoftmaxV2×1
Softmax,15,"[[3, 7, 11, 13, 1013]]","[""bfloat16""]","{""dim"": -1}","[0, 0]",30.46,4.56,S-bfloat16-3M-质数非对齐-零值特殊值-5D | baseline_kernels: SoftmaxV2×1
Softmax,16,"[[512, 2049]]","[""float16""]","{""dim"": 0}","[-0.5, 0.5]",40.06,1.57,S-float16-1M-非对齐-dim=0 | baseline_kernels: SoftmaxV2×1
Softmax,17,"[[255, 8193]]","[""float32""]","{""dim"": 1}","[-1000, 1000]",18.64,4.35,S-float32-2M-非对齐-对称大值域-dim=1 | baseline_kernels: SoftmaxV2×1
Softmax,18,"[[2, 511, 2049]]","[""bfloat16""]","{""dim"": -1}","[-0.2, 0.2]",20.12,3.14,S-bfloat16-2M-非对齐-对称微小值域-3D | baseline_kernels: SoftmaxV2×1
Softmax,19,"[[4, 255, 2049]]","[""float16""]","{""dim"": 1}","[-65504, 65504]",53.56,3.13,S-float16-2M-非对齐-float16边界值-dim=1 | baseline_kernels: SoftmaxV2×1
Softmax,20,"[[2, 3, 17, 1024, 101]]","[""float32""]","{""dim"": 3}","[-20, 40]",818.16,21.98,M-float32-10M-非对齐-非对称大值域-5D-dim=3（内部非末轴） | baseline_kernels: SoftmaxV2×1
