operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AddRmsNormDynamicQuant,1,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-1, 1], [-1, 1], [-1, 1]]",577.292,156.6,L-large-prefill-fp16-int8-hidden=8192 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,2,"[[32768, 2048], [32768, 2048], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-2, 2], [-2, 2], [-1, 1]]",699.114,156.63,L-mega-batch-bf16-int8-M=32768-N=2048 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,3,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-3, 3], [-3, 3], [-1, 1]]",576.932,156.6,L-square-large-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,4,"[[4096, 14336], [4096, 14336], [14336]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-05""}","[[-10, 10], [-10, 10], [-1, 1]]",761.555,137.02,L-wide-FFN-bf16-int8-Llama3-intermediate=14336 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,5,"[[16384, 4096], [16384, 4096], [4096]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-1000, 1000], [-1000, 1000], [-1, 1]]",621.492,139.81,L-large-int8-bf16-大值域 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,6,"[[524288, 128], [524288, 128], [128]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-03""}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",3535.031,157.29,L-flat-extreme-fp16-M=524288-N=128-eps=1e-3 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,7,"[[4096, 4096], [4096, 4096], [4096]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-2, 2], [-2, 2], [-1, 1]]",160.503,39.15,M-medium-square-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,8,"[[2048, 8192], [2048, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-5, 10], [-5, 10], [-1, 1]]",150.323,39.15,M-medium-tall-hidden-bf16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,9,"[[8192, 2048], [8192, 2048], [2048]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",179.843,39.16,M-medium-tall-M-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,10,"[[32768, 512], [32768, 512], [512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-1, 3], [-1, 3], [-1, 1]]",321.046,39.19,M-medium-small-hidden-bf16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,11,"[[1024, 16384], [1024, 16384], [16384]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-65504, 65504], [-65504, 65504], [-65504, 65504]]",223.744,39.15,M-medium-wide-hidden-fp16-int8-float16边界值 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,12,"[[4093, 4093], [4093, 4093], [4093]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-1, 2], [-1, 2], [-1, 2]]",174.023,39.1,M-medium-prime-square-bf16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,13,"[[4093, 2053], [4093, 2053], [2053]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-05""}","[[-3, 6], [-3, 6], [-3, 6]]",108.282,19.61,M-medium-prime-rect-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,14,"[[8192, 2048], [8192, 2048], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-88, 88], [-88, 88], [-1, 1]]",180.944,34.95,M-medium-int8-bf16 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,15,"[[512, 512], [512, 512], [512]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-1, 1], [-1, 1], [-1, 1]]",13.58,1,S-small-smoke-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
