operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Conv2D,1,"[[2, 64, 32, 32], [64, 64, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""strides"": [1, 1], ""pads"": [1, 1, 1, 1], ""dilations"": [1, 1]}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",26.240,1,S-float16-256K-对齐-3x3k-same_pad | baseline_kernels: TransData×2 + MemSet×1 + Conv2D×1
Conv2D,2,"[[4, 128, 64, 64], [128, 128, 3, 3], [128]]","[""float32"", ""float32"", ""float32""]","{""strides"": [1, 1], ""pads"": [1, 1, 1, 1], ""dilations"": [1, 1]}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",83.700,56.184,S-float32-8M-对齐-3x3k | baseline_kernels: TransData×3 + Conv2D×1
Conv2D,3,"[[2, 256, 128, 128], [256, 256, 5, 5], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""strides"": [1, 1], ""pads"": [2, 2, 2, 2], ""dilations"": [1, 1]}","[[-3, 3], [-3, 3], [-0.3, 0.3]]",426.350,303.317,M-bfloat16-33M-对齐-5x5k | baseline_kernels: TransData×3 + MemSet×1 + Cast×1 + Conv2D×1
Conv2D,4,"[[8, 512, 64, 64], [512, 512, 3, 3], [512]]","[""float16"", ""float16"", ""float16""]","{""strides"": [2, 2], ""pads"": [1, 1, 1, 1], ""dilations"": [1, 1]}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",275.450,109.194,M-float16-67M-对齐-stride=2-downsample | baseline_kernels: TransData×2 + MemSet×1 + Conv2D×1
Conv2D,5,"[[4, 1024, 32, 32], [1024, 1024, 3, 3], [1024]]","[""float32"", ""float32"", ""float32""]","{""strides"": [1, 1], ""pads"": [2, 2, 2, 2], ""dilations"": [2, 2]}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05]]",1081.960,898.947,M-float32-134M-对齐-dilation=2 | baseline_kernels: TransData×3 + Conv2D×1
Conv2D,6,"[[2, 2048, 16, 16], [2048, 2048, 1, 1], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""strides"": [1, 1], ""pads"": [0, 0, 0, 0], ""dilations"": [1, 1]}","[[-10, 10], [-10, 10], [-1, 1]]",92.800,12.133,M-bfloat16-1G-对齐-1x1k-valid | baseline_kernels: TransData×3 + MemSet×1 + Cast×1 + Conv2D×1
Conv2D,7,"[[3, 63, 31, 31], [63, 63, 3, 3], [63]]","[""float16"", ""float16"", ""float16""]","{""strides"": [1, 1], ""pads"": [1, 1, 1, 1], ""dilations"": [1, 1]}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",26.100,1,S-float16-200K-质数非对齐-微小值域 | baseline_kernels: TransData×2 + MemSet×1 + Conv2D×1
Conv2D,8,"[[2, 127, 61, 61], [127, 127, 3, 3], [127]]","[""float32"", ""float32"", ""float32""]","{""strides"": [1, 1], ""pads"": [1, 1, 1, 1], ""dilations"": [1, 1]}","[[-1, 2], [-1, 2], [-0.1, 0.2]]",63.480,25.123,S-float32-2M-质数非对齐-非对称 | baseline_kernels: TransData×3 + Conv2D×1
Conv2D,9,"[[3, 47, 23, 23], [47, 47, 5, 5], [47]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""strides"": [2, 2], ""pads"": [2, 2, 2, 2], ""dilations"": [1, 1]}","[[-5, 10], [-5, 10], [-0.5, 0.5]]",32.060,1,S-bfloat16-50K-质数非对齐-stride=2 | baseline_kernels: TransData×3 + MemSet×1 + Cast×1 + Conv2D×1
Conv2D,10,"[[5, 97, 43, 43], [97, 97, 3, 3], [97]]","[""float16"", ""float16"", ""float16""]","{""strides"": [1, 1], ""pads"": [1, 1, 1, 1], ""dilations"": [2, 2]}","[[-50, 100], [-50, 100], [-5, 5]]",39.600,4.021,S-float16-2M-质数非对齐-dilation=2 | baseline_kernels: TransData×2 + MemSet×1 + Conv2D×1
