operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Conv3DBackpropFilter,1,"[[2, 32, 16, 32, 32], [2, 64, 14, 30, 30]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1], ""pads"": [0, 0, 0, 0, 0, 0], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [64, 32, 3, 3, 3]}","[[-1, 1], [-1, 1]]",82.520,7.8727,S-float16-1M-对齐-3x3x3k-valid | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,2,"[[3, 32, 16, 32, 32], [3, 64, 16, 32, 32]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [64, 32, 3, 3, 3]}","[[-2, 2], [-2, 2]]",106.240,,M-float16-3M-质数非对齐-3x3x3k-same | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,3,"[[2, 64, 8, 64, 64], [2, 128, 8, 64, 64]]","[""bfloat16"", ""bfloat16""]","{""strides"": [1, 1, 1], ""pads"": [2, 2, 2, 2, 2, 2], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [128, 64, 5, 5, 5]}","[[-3, 3], [-3, 3]]",798.020,379.1461,M-bfloat16-33M-对齐-5x5x5k | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,4,"[[4, 64, 16, 32, 32], [4, 128, 8, 16, 16]]","[""float16"", ""float16""]","{""strides"": [2, 2, 2], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [128, 64, 3, 3, 3]}","[[-10, 10], [-10, 10]]",96.620,10.2369,"L-float16-134M-对齐-stride=1,2,2 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1"
Conv3DBackpropFilter,5,"[[2, 64, 8, 32, 32], [2, 128, 6, 30, 30]]","[""bfloat16"", ""bfloat16""]","{""strides"": [1, 1, 1], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [2, 2, 2], ""groups"": 1, ""filter_size"": [128, 64, 3, 3, 3]}","[[-100, 100], [-100, 100]]",82.000,,M-bfloat16-84M-质数非对齐-dilation=2 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,6,"[[2, 128, 4, 16, 16], [2, 256, 4, 16, 16]]","[""bfloat16"", ""bfloat16""]","{""strides"": [1, 1, 1], ""pads"": [0, 0, 0, 0, 0, 0], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [256, 128, 1, 1, 1]}","[[-1000, 1000], [-1000, 1000]]",46.760,1,S-bfloat16-900K-质数非对齐-1x1x1k-valid | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,7,"[[3, 31, 15, 31, 31], [3, 63, 15, 31, 31]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [63, 31, 3, 3, 3]}","[[-0.1, 0.1], [-0.1, 0.1]]",115.080,12.8833,S-float16-3M-质数非对齐-微小值域 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,8,"[[2, 63, 7, 61, 61], [2, 127, 7, 61, 61]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [127, 63, 3, 3, 3]}","[[-1, 2], [-1, 2]]",186.120,,M-float16-6M-非对齐-非对称 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,9,"[[3, 47, 5, 23, 23], [3, 95, 3, 12, 12]]","[""bfloat16"", ""bfloat16""]","{""strides"": [2, 2, 2], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [1, 1, 1], ""groups"": 1, ""filter_size"": [95, 47, 3, 3, 3]}","[[-5, 10], [-5, 10]]",52.160,1,S-bfloat16-100K-质数非对齐-stride非对称 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
Conv3DBackpropFilter,10,"[[5, 97, 7, 43, 43], [5, 195, 5, 41, 41]]","[""float16"", ""float16""]","{""strides"": [1, 1, 1], ""pads"": [1, 1, 1, 1, 1, 1], ""dilations"": [2, 2, 2], ""groups"": 1, ""filter_size"": [195, 97, 3, 3, 3]}","[[-50, 100], [-50, 100]]",451.610,121.2564,M-float16-4M-质数非对齐-dilation=2 | baseline_kernels: TransData×3 + MemSet×1 + Conv3DBackpropFilter×1
