operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
EngramGateFusion,1,"[[1, 13, 4, 1024], [1, 13, 4, 1024], [1, 13, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.0,"demo_shape-B1L13HC4D1024K4dil3-原始 demo 配置 (B=1,L=13,HC=4,D=1024)"
EngramGateFusion,2,"[[1, 1, 4, 1024], [1, 1, 4, 1024], [1, 1, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], [1, 4096, 9]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", ""bfloat16""]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",,1.0,"single_token_decode-B1L1HC4D1024K4dil3-decode-Decode 单步推理 (L=1, 需 conv_state)"
EngramGateFusion,3,"[[1, 16, 4, 1024], [1, 16, 4, 1024], [1, 16, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.0,short_seq-B1L16HC4D1024K4dil3-短序列 (L=16)
EngramGateFusion,4,"[[1, 128, 4, 1024], [1, 128, 4, 1024], [1, 128, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.2885,medium_seq_single-B1L128HC4D1024K4dil3-中等序列单 batch (L=128)
EngramGateFusion,5,"[[4, 128, 4, 1024], [4, 128, 4, 1024], [4, 128, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,4.9749,"medium_seq_batch-B4L128HC4D1024K4dil3-中等序列批量 (B=4,L=128)"
EngramGateFusion,6,"[[4, 512, 4, 1024], [4, 512, 4, 1024], [4, 512, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,19.7205,"prefill_medium-B4L512HC4D1024K4dil3-Prefill 中等长度 (B=4,L=512)"
EngramGateFusion,7,"[[1, 2048, 4, 1024], [1, 2048, 4, 1024], [1, 2048, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,19.7205,long_ctx-B1L2048HC4D1024K4dil3-长上下文 (L=2048)
EngramGateFusion,8,"[[8, 256, 4, 1024], [8, 256, 4, 1024], [8, 256, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,19.7205,"large_batch-B8L256HC4D1024K4dil3-大批量推理 (B=8,L=256)"
EngramGateFusion,9,"[[2, 77, 4, 1024], [2, 77, 4, 1024], [2, 77, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.5381,non_aligned_len-B2L77HC4D1024K4dil3-非对齐序列长度 (L=77 质数)
EngramGateFusion,10,"[[1, 64, 4, 512], [1, 64, 4, 512], [1, 64, 512], [4, 512], [4, 512], [4, 512], [2048, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 512, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.0,small_hidden-B1L64HC4D512K4dil3-小 hidden size 变体 (D=512)
EngramGateFusion,11,"[[1, 8, 4, 1024], [1, 8, 4, 1024], [1, 8, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], [1, 4096, 9]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", ""bfloat16""]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]",,1.0,decode_state_prefill-B1L8HC4D1024K4dil3-decode-8-token chunk with state (Decode-after-Prefill 场景)
EngramGateFusion,12,"[[2, 64, 4, 1024], [2, 64, 4, 1024], [2, 64, 1024], [4, 1024], [4, 1024], [4, 1024], [4096, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 1024, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.2885,"alignment_aligned-B2L64HC4D1024K4dil3-标准对齐基线 (B=2,L=64,HC=4,D=1024)"
EngramGateFusion,13,"[[2, 127, 4, 769], [2, 127, 4, 769], [2, 127, 769], [4, 769], [4, 769], [4, 769], [3076, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 769, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.876,prime_seq_prime_D-B2L127HC4D769K4dil3-质数 L=127 + 质数 D=769 (kernel 边界)
EngramGateFusion,14,"[[1, 4, 4, 256], [1, 4, 4, 256], [1, 4, 256], [4, 256], [4, 256], [4, 256], [1024, 1, 4], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""float32"", ""float32"", null]","{""hc_mult"": 4, ""hidden_size"": 256, ""kernel_size"": 4, ""dilation"": 3, ""norm_eps"": 1e-05}","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1], null]",,1.0,"tiny_smoke-B1L4HC4D256K4dil3-最小冒烟 (B=1,L=4,D=256)"
