operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
GroupedMatmul,1,"[[128, 256], [4, 256, 512], [4, 512]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [32, 64, 96, 128], ""split_item"": 0, ""transpose_weight"": false}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",9.14,1,fp16-小规模均衡-E=4-M=128-K=256-N=512-带bias-split=0 | baseline_kernels: GroupedMatmul×1
GroupedMatmul,2,"[[256, 512], [8, 512, 1024]]","[""bfloat16"", ""bfloat16""]","{""group_list"": [32, 64, 96, 128, 160, 192, 224, 256], ""split_item"": 0, ""transpose_weight"": false}","[[-2, 2], [-2, 2]]",14.5,4.5056,bf16-8组均衡-M=256-K=512-N=1024-无bias-split=0 | baseline_kernels: GroupedMatmul×1
GroupedMatmul,3,"[[2048, 1024], [8, 2048, 1024], [8, 2048]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [256, 512, 768, 1024, 1280, 1536, 1792, 2048], ""split_item"": 2, ""transpose_weight"": true}","[[-3, 3], [-3, 3], [-0.3, 0.3]]",56.761,24.2654,fp16-大规模-E=8-M=2048-K=1024-N=2048-transpose_weight=true-split=2-单输出tensor | baseline_kernels: GroupedMatmul×1
GroupedMatmul,4,"[[1009, 1024], [4, 1024, 1024], [4, 1024]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [253, 505, 757, 1009], ""split_item"": 0, ""transpose_weight"": false}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",23.8,5.9775,fp16-质数非对齐-M=1009(prime)-E=4-K=1024-N=1024-带bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,5,"[[512, 1040], [4, 1040, 1024]]","[""bfloat16"", ""bfloat16""]","{""group_list"": [128, 256, 384, 512], ""split_item"": 0, ""transpose_weight"": false}","[[-2, 2], [-2, 2]]",22.68,4.992,bf16-K=1040非2幂(16x65)-E=4-M=512-N=1024-无bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,6,"[[512, 1024], [4, 1056, 1024], [4, 1056]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [128, 256, 384, 512], ""split_item"": 3, ""transpose_weight"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05]]",22.78,5.0561,fp16-N=1056非2幂(32x33)-E=4-K=1024-tw=true-split=3-微小值域 | baseline_kernels: GroupedMatmul×1
GroupedMatmul,7,"[[128, 512], [8, 512, 512], [8, 512]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""group_list"": [22, 44, 44, 65, 86, 86, 107, 128], ""split_item"": 0, ""transpose_weight"": false}","[[-2, 2], [-2, 2], [-0.2, 0.2]]",12.13,2.2571,"bf16-空组-E=8-M=128-含2个empty group(idx=2,5)-带bias | baseline_kernels: GroupedMatmul×1"
GroupedMatmul,8,"[[256, 256], [1, 256, 256], [1, 256]]","[""float32"", ""float32"", ""float32""]","{""group_list"": [256], ""split_item"": 0, ""transpose_weight"": false}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",11.76,1,fp32-单expert退化-E=1-M=256-K=256-N=256-纯GMM | baseline_kernels: GroupedMatmul×1
GroupedMatmul,9,"[[1023, 511], [4, 1023, 511], [4, 1023]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [255, 511, 767, 1023], ""split_item"": 2, ""transpose_weight"": true}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",36.941,3.0213,"fp16-全质数非对齐-M=1023,K=511,N=1023-E=4-tw=true-split=2 | baseline_kernels: GroupedMatmul×1"
GroupedMatmul,10,"[[2047, 1023], [8, 1023, 2047]]","[""bfloat16"", ""bfloat16""]","{""group_list"": [256, 512, 768, 1023, 1279, 1535, 1791, 2047], ""split_item"": 0, ""transpose_weight"": false}","[[-3, 3], [-3, 3]]",171.303,24.218,"bf16-大尺寸全质数-M=2047,K=1023,N=2047-E=8-无bias | baseline_kernels: GroupedMatmul×1"
GroupedMatmul,11,"[[512, 511], [4, 128, 511]]","[""float32"", ""float32""]","{""group_list"": [128, 256, 384, 512], ""split_item"": 3, ""transpose_weight"": true}","[[-10, 10], [-10, 10]]",29.061,1.0901,fp32-K=511质数-E=4-M=512-N=128-tw=true-split=3-无bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,12,"[[64, 256], [2, 256, 512], [2, 512]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [32, 64], ""split_item"": 0, ""transpose_weight"": false}","[[-100, 100], [-100, 100], [-10, 10]]",7.92,1,fp16-小冒烟-E=2-M=64-K=256-N=512-中等值域-带bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,13,"[[4096, 1024], [8, 2048, 1024], [8, 2048]]","[""float16"", ""float16"", ""float16""]","{""group_list"": [512, 1024, 1536, 2048, 2560, 3072, 3584, 4096], ""split_item"": 2, ""transpose_weight"": true}","[[-50, 50], [-50, 50], [-5, 5]]",86.243,48.5307,fp16-大batch性能-E=8-M=4096-K=1024-N=2048-tw=true-split=2 | baseline_kernels: GroupedMatmul×1
GroupedMatmul,14,"[[769, 127], [4, 127, 255], [4, 255]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""group_list"": [192, 385, 577, 769], ""split_item"": 0, ""transpose_weight"": false}","[[-5, 10], [-5, 10], [-1, 1]]",16.77,1,"bf16-小尺寸全质数-M=769,K=127,N=255-E=4-非对称值域 | baseline_kernels: GroupedMatmul×1"
GroupedMatmul,15,"[[1009, 1024], [8, 1024, 1024]]","[""float16"", ""float16""]","{""group_list"": [307, 337, 367, 396, 425, 454, 483, 1009], ""split_item"": 3, ""transpose_weight"": true}","[[-0.1, 0.1], [-0.1, 0.1]]",31.081,9.8144,fp16-不均衡分布+M质数-M=1009-E=8-K=1024-N=1024-tw=true-split=3-无bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,16,"[[1031, 128], [4, 128, 128]]","[""float16"", ""float16""]","{""group_list"": [258, 515, 772, 1031], ""split_item"": 0, ""transpose_weight"": false}","[[-65504, 65504], [-65504, 65504]]",7.82,1,fp16-边界值-M=1031(prime)-E=4-K=128-N=128-fp16-range-无bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,17,"[[1024, 127], [4, 127, 256], [4, 256]]","[""bfloat16"", ""bfloat16"", ""float32""]","{""group_list"": [256, 512, 768, 1024], ""split_item"": 0, ""transpose_weight"": false}","[[""-inf"", ""inf""], [""-inf"", ""inf""], [-1, 1]]",11.61,1,bf16-inf特殊值-K=127质数-E=4-M=1024-N=256-带bias | baseline_kernels: GroupedMatmul×1
GroupedMatmul,18,"[[200, 64], [4, 64, 128]]","[""bfloat16"", ""bfloat16""]","{""group_list"": [50, 100, 150, 200], ""split_item"": 0, ""transpose_weight"": false}","[[""nan"", ""nan""], [""nan"", ""nan""]]",6.52,1,bf16-nan特殊值-E=4-M=200-K=64-N=128-无bias | baseline_kernels: GroupedMatmul×1
