operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MoeFinalizeRouting,1,"[[8192, 512], [8192], [1024, 512], [1024, 512], [16, 512], [1024, 8], [1024, 8]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [0, 8191], [-1, 1], [-1, 1], [-1, 1], [0, 1], [0, 15]]",40.98,5.51,S-float16-完整参数-drop_less_列排列-对齐-K8-H512-E16 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,2,"[[32768, 1024], [32768], [8192, 1024], [8192, 1024], [32, 1024], [8192, 4], [8192, 4]]","[""float32"", ""int32"", ""float32"", ""float32"", ""float32"", ""float32"", ""int32""]","{""drop_pad_mode"": 0}","[[-2, 2], [0, 32767], [-2, 2], [-2, 2], [-2, 2], [0, 1], [0, 31]]",179.52,105.13,L-float32-完整参数-drop_less_列排列-对齐-K4-H1024-E32 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,3,"[[8192, 2048], [8192], [4096, 2048], [4096, 2048], [8, 2048], [4096, 2], [4096, 2]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""drop_pad_mode"": 2}","[[-3, 3], [0, 8191], [-3, 3], [-3, 3], [-3, 3], [0, 1], [0, 7]]",84.00,35.01,M-bfloat16-完整参数-drop_less_行排列-对齐-K2-H2048-E8 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,4,"[[8192, 512], [8192], [2048, 512], null, [16, 512], [2048, 4], [2048, 4]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [0, 8191], [-1, 1], null, [-1, 1], [0, 1], [0, 15]]",41.82,5.51,S-float16-无skip2-drop_less-对齐-K4 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,5,"[[12288, 256], [12288], [1536, 256], [1536, 256], null, [1536, 8], null]","[""float32"", ""int32"", ""float32"", ""float32"", ""float32"", ""float32"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [0, 12287], [-1, 1], [-1, 1], null, [0, 1], null]",48.10,8.24,M-float32-无bias-drop_less-对齐-K8 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,6,"[[512, 1024], [512], [512, 1024], [512, 1024], [8, 1024], null, [512, 1]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [0, 511], [-1, 1], [-1, 1], [-1, 1], null, [0, 7]]",16.44,1.65,S-float16-无scales-K1-drop_less-对齐 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,7,"[[4096, 256], [4096], null, null, [16, 256], [1024, 4], [1024, 4]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [0, 4095], null, null, [-1, 1], [0, 1], [0, 15]]",26.54,1.27,M-bfloat16-无skip-drop_less-对齐 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,8,"[[8184, 511], [8184], [1023, 511], [1023, 511], [16, 511], [1023, 8], [1023, 8]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32""]","{""drop_pad_mode"": 0}","[[-10, 10], [0, 8183], [-10, 10], [-10, 10], [-10, 10], [0, 1], [0, 15]]",116.90,5.5,S-float16-完整参数-质数非对齐-drop_less-K8 | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,9,"[[65536, 127], [65536], [4096, 127], [4096, 127], [32, 127], [4096, 16], [4096, 16]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""drop_pad_mode"": 0}","[[-100, 100], [0, 65535], [-100, 100], [-100, 100], [-100, 100], [0, 1], [0, 31]]",558.13,10.1,M-bfloat16-大K16-对齐-drop_less | baseline_kernels: MoeFinalizeRoutingV2×1
MoeFinalizeRouting,10,"[[16, 20, 512], [100], [100, 512], [100, 512], [16, 512], null, [100, 1]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32""]","{""drop_pad_mode"": 1}","[[-1, 1], [-1, 319], [-1, 1], [-1, 1], [-1, 1], null, [0, 15]]",9.00,1,S-float16-drop_pad_列排列-3D-E16C20H512-K1 | baseline_kernels: MoeFinalizeRoutingV2×1
