operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
QuantMatmul,1,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",71.28,37.16,Qwen2-7B-o_proj-fp16-per-channel | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,2,"[[1024, 3584], [3584, 4608], [4608], null, null, [4608]]","[""int8"", ""int8"", ""float32"", null, null, ""int32""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-100, 100]]",83.98,47.77,Qwen2-7B-qkv-fp16-int32-bias | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,3,"[[999, 4096], [4096, 4096], [4096]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",93.94,48.53,non-aligned-M=999-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,4,"[[1024, 4096], [4096, 14336], [14336], null, null, [14336]]","[""int8"", ""int8"", ""float32"", null, null, ""int32""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-100, 100]]",281.65,169.86,int32-bias-fp16-large-N | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,5,"[[1024, 4096], [4096, 11008], [11008], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",242.66,130.43,pertoken-scale-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,6,"[[1024, 4096], [4096, 14336], [14336], null, [1024], [14336]]","[""int8"", ""int8"", ""float32"", null, ""float32"", ""int32""]","{""offset"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01], [-100, 100]]",332.07,169.86,pertoken+int32-bias-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,7,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",87.82,37.16,Qwen2-7B-o_proj-bf16-per-channel | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,8,"[[1024, 4096], [4096, 14336], [14336], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",329.53,169.86,pertoken-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,9,"[[1024, 4096], [4096, 4096], [4096], null, null, [4096]]","[""int8"", ""int8"", ""float32"", null, null, ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-1, 1]]",117.06,48.53,bf16-bias-post-scale-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,10,"[[1024, 2048], [2048, 2048], [2048]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",31.88,12.13,small-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,11,"[[1024, 2048], [2048, 2048], [2048]]","[""int8"", ""int8"", ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",40.24,12.13,bf16-scale-bf16-out | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,12,"[[1024, 4096], [4096, 4096], [4096]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",95.06,48.53,fp32-scale-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,13,"[[8, 128, 2048], [8, 2048, 4096], [4096]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",77.38,36.05,3D-batched-B=8-per-channel-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,14,"[[1, 4096], [4096, 4096], [1]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",28.06,8.74,decode-M=1-per-tensor-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,15,"[[1, 7168], [7168, 7168], [1]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",81.74,26.76,decode-M=1-per-tensor-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,16,"[[512, 513], [513, 1024], [1024]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",18.82,1,non-aligned-K=513-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,17,"[[1024, 4096], [4096, 1025], [1025]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",86.44,12.14,non-aligned-N=1025-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,18,"[[32, 256], [256, 512], [512]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",7.82,1,small-smoke-M=32 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,19,"[[4096, 4096], [4096, 4096], [4096]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",287.17,194.12,big-M=4096-fp16 | baseline_kernels: QuantBatchMatmulV3×1
