operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Transpose,1,"[[64, 32, 512, 128]]","[""float16""]","{""perm"": [0, 2, 1, 3]}","[-1, 1]",978.820,1.09,M-float16-16M-对齐-4D-Attention-BSHD转BHSD | baseline_kernels: Transpose×1
Transpose,2,"[[2048, 2048]]","[""float32""]","{""perm"": [1, 0]}","[-2, 2]",40.320,8.74,M-float32-4M-对齐-2D-矩阵转置 | baseline_kernels: Transpose×1
Transpose,3,"[[4096, 4096]]","[""bfloat16""]","{""perm"": [1, 0]}","[-3, 3]",70.641,17.48,M-bfloat16-16M-对齐-2D-矩阵转置 | baseline_kernels: Transpose×1
Transpose,4,"[[8192, 8192]]","[""int32""]","{""perm"": [1, 0]}","[-10000, 10000]",555.031,139.81,L-int32-67M-对齐-2D-矩阵转置-中值域 | baseline_kernels: Transpose×1
Transpose,5,"[[4096, 8192]]","[""int64""]","{""perm"": [1, 0]}","[-100000, 100000]",814.896,139.81,L-int64-268M-对齐-2D-矩阵转置-大值域 | baseline_kernels: Transpose×1
Transpose,6,"[[2, 9, 256, 256]]","[""int16""]","{""perm"": [0, 2, 3, 1]}","[-1000, 1000]",14.900,1.23,S-int16-1.2M-对齐-4D-NCHW转NHWC | baseline_kernels: Transpose×1
Transpose,7,"[[1023, 1023]]","[""float16""]","{""perm"": [1, 0]}","[-0.1, 0.1]",29.320,1.09,S-float16-1M-非对齐-2D-微小值域 | baseline_kernels: Transpose×1
Transpose,8,"[[1009, 1021]]","[""float32""]","{""perm"": [1, 0]}","[-1, 2]",33.080,2.15,S-float32-1M-质数非对齐-2D-非对称 | baseline_kernels: Transpose×1
Transpose,9,"[[1537, 769]]","[""bfloat16""]","{""perm"": [1, 0]}","[-5, 10]",25.300,1.23,S-bfloat16-1M-非对齐-2D-非对称 | baseline_kernels: Transpose×1
Transpose,10,"[[363, 367, 373]]","[""int32""]","{""perm"": [2, 0, 1]}","[-50, 100]",651.273,103.52,L-int32-50M-质数非对齐-3D-循环置换 | baseline_kernels: Transpose×1
Transpose,11,"[[2049, 513]]","[""float16""]","{""perm"": [1, 0]}","[-65504, 65504]",22.660,1.09,S-float16-1M-非对齐-2D-float16边界值 | baseline_kernels: Transpose×1
Transpose,12,"[[3, 7, 13, 4001]]","[""float32""]","{""perm"": [0, 3, 1, 2]}","[-88, 88]",27.381,2.28,S-float32-1M-质数非对齐-4D-float32边界值 | baseline_kernels: Transpose×1
Transpose,13,"[[2, 7, 256, 256]]","[""bfloat16""]","{""perm"": [0, 1, 3, 2]}","[-0.01, 0.01]",15.200,1,S-bfloat16-917K-对齐-4D-后两维交换-微小值域 | baseline_kernels: Transpose×1
Transpose,14,"[[2, 511, 7, 127]]","[""float32""]","{""perm"": [0, 2, 1, 3]}","[""-inf"", ""inf""]",85.961,2.08,S-float32-7M-质数非对齐-4D-Attention-BSHD转BHSD-inf特殊值 | baseline_kernels: Transpose×1
Transpose,15,"[[11, 13, 17, 67, 67]]","[""float16""]","{""perm"": [4, 3, 2, 1, 0]}","[""nan"", ""nan""]",124.703,11.37,M-float16-10M-质数非对齐-5D-全反转-nan特殊值 | baseline_kernels: Transpose×1
Transpose,16,"[[3, 7, 11, 13, 1013]]","[""int64""]","{""perm"": [4, 3, 2, 1, 0]}","[0, 0]",94.642,12.68,M-int64-3M-质数非对齐-5D-全反转-零值 | baseline_kernels: Transpose×1
Transpose,17,"[[512, 2049]]","[""float32""]","{""perm"": [1, 0]}","[-0.5, 0.5]",26.440,2.19,S-float32-1M-非对齐-2D-细长-微小值域 | baseline_kernels: Transpose×1
Transpose,18,"[[255, 8193]]","[""bfloat16""]","{""perm"": [1, 0]}","[-1, 3]",33.901,2.18,S-bfloat16-2M-非对齐-2D-非对称 | baseline_kernels: Transpose×1
Transpose,19,"[[4097, 511]]","[""int8""]","{""perm"": [1, 0]}","[-128, 127]",238.484,1.09,S-int8-2M-非对齐-2D-int8全范围 | baseline_kernels: Transpose×1
Transpose,20,"[[2, 511, 2049]]","[""float16""]","{""perm"": [2, 1, 0]}","[-3, 6]",47.181,2.18,S-float16-2M-非对齐-3D-全反转-非对称中值域 | baseline_kernels: Transpose×1
