operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
GRU,1,"[[10, 4, 64], [[96, 64]], [[96, 32]], [[96]], [[96]], null]","[""float32"", [""float32""], [""float32""], [""float32""], [""float32""], null]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false}","[[-0.1, 0.1], [[-0.1, 0.1]], [[-0.1, 0.1]], [[-0.01, 0.01]], [[-0.01, 0.01]], null]",,1,S-float32-case1
GRU,2,"[[20, 16, 128], [[192, 128]], [[192, 64]], [[192]], [[192]]]","[""float16"", [""float16""], [""float16""], [""float16""], [""float16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false}","[[-0.2, 0.2], [[-0.2, 0.2]], [[-0.2, 0.2]], [[-0.02, 0.02]], [[-0.02, 0.02]]]",,1,S-float16-case2
GRU,3,"[[50, 32, 256], [[384, 256]], [[384, 128]], [[384]], [[384]]]","[""bfloat16"", [""bfloat16""], [""bfloat16""], [""bfloat16""], [""bfloat16""]]","{""inputSize"": 256, ""hiddenSize"": 128, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false}","[[-0.30000000000000004, 0.30000000000000004], [[-0.30000000000000004, 0.30000000000000004]], [[-0.30000000000000004, 0.30000000000000004]], [[-0.03, 0.03]], [[-0.03, 0.03]]]",,1.332936,S-bfloat16-case3
GRU,4,"[[12, 5, 64], [[96, 64], [96, 64]], [[96, 32], [96, 32]], [[96], [96]], [[96], [96]]]","[""float32"", [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""], [""float32"", ""float32""]]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true}","[[-0.4, 0.4], [[-0.4, 0.4], [-0.4, 0.4]], [[-0.4, 0.4], [-0.4, 0.4]], [[-0.04, 0.04], [-0.04, 0.04]], [[-0.04, 0.04], [-0.04, 0.04]]]",,1,S-float32-case4
GRU,5,"[[24, 8, 128], [[192, 128], [192, 128]], [[192, 64], [192, 64]], [[192], [192]], [[192], [192]]]","[""float16"", [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 1, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true}","[[-0.5, 0.5], [[-0.5, 0.5], [-0.5, 0.5]], [[-0.5, 0.5], [-0.5, 0.5]], [[-0.05, 0.05], [-0.05, 0.05]], [[-0.05, 0.05], [-0.05, 0.05]]]",,1,S-float16-case5
GRU,6,"[[8, 8, 96], [[192, 96], [192, 64]], [[192, 64], [192, 64]], [[192], [192]], [[192], [192]]]","[""float16"", [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""]]","{""inputSize"": 96, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": false}","[[-0.6000000000000001, 0.6000000000000001], [[-0.5, 0.5], [-0.5, 0.5]], [[-0.5, 0.5], [-0.5, 0.5]], [[-0.05, 0.05], [-0.05, 0.05]], [[-0.05, 0.05], [-0.05, 0.05]]]",,1,S-float16-case6
GRU,7,"[[30, 16, 256], [[384, 256], [384, 128], [384, 128]], [[384, 128], [384, 128], [384, 128]], [[384], [384], [384]], [[384], [384], [384]]]","[""float16"", [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""]]","{""inputSize"": 256, ""hiddenSize"": 128, ""numLayers"": 3, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.1, ""bidirectional"": false}","[[-0.7000000000000001, 0.7000000000000001], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]]]",,1,S-float16-case7
GRU,8,"[[16, 6, 96], [[192, 96], [192, 96], [192, 128], [192, 128]], [[192, 64], [192, 64], [192, 64], [192, 64]], [[192], [192], [192], [192]], [[192], [192], [192], [192]]]","[""float16"", [""float16"", ""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16"", ""float16""]]","{""inputSize"": 96, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true}","[[-0.8, 0.8], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]]]",,1,S-float16-case8
GRU,9,"[[15, 12, 128], [[192, 128], [192, 128], [192, 128], [192, 128]], [[192, 64], [192, 64], [192, 64], [192, 64]], [[192], [192], [192], [192]], [[192], [192], [192], [192]]]","[""bfloat16"", [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]]","{""inputSize"": 128, ""hiddenSize"": 64, ""numLayers"": 2, ""bias"": true, ""batchFirst"": false, ""dropout"": 0.0, ""bidirectional"": true}","[[-0.9, 0.9], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]], [[-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05], [-0.05, 0.05]]]",,1,S-bfloat16-case9
GRU,10,"[[6, 8, 64], [[96, 64]], [[96, 32]], [[96]], [[96]]]","[""float16"", [""float16""], [""float16""], [""float16""], [""float16""]]","{""inputSize"": 64, ""hiddenSize"": 32, ""numLayers"": 1, ""bias"": true, ""batchFirst"": true, ""dropout"": 0.0, ""bidirectional"": false}","[[-1.0, 1.0], [[-0.5, 0.5]], [[-0.5, 0.5]], [[-0.05, 0.05]], [[-0.05, 0.05]]]",,1,S-float16-case10
