operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MHA,1,"[[2, 128, 8, 64], [2, 128, 8, 64], [2, 128, 8, 64]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,1,S-float16-B2S128N8D64-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,2,"[[4, 256, 16, 64], [4, 256, 16, 64], [4, 256, 16, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,3.28,M-bfloat16-B4S256N16D64-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,3,"[[2, 512, 32, 128], [2, 512, 32, 128], [2, 512, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,13.11,M-bfloat16-B2S512N32D128-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,4,"[[2, 256, 8, 256], [2, 256, 8, 256], [2, 256, 8, 256]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,3.28,S-float16-B2S256N8D256-D256-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,5,"[[2, 128, 12, 64], [2, 256, 12, 64], [2, 256, 12, 64]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",,1.05,S-float16-B2Sq128Skv256N12D64-cross | baseline_kernels: FusedInferAttentionScore×1
MHA,6,"[[2, 512, 16, 128], [2, 128, 16, 128], [2, 128, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",,3.28,S-bfloat16-B2Sq512Skv128N16D128-cross | baseline_kernels: FusedInferAttentionScore×1
MHA,7,"[[4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",432.83,97.16,L-float16-B4S1024N32D128-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,8,"[[4, 1024, 32, 128], [4, 1024, 32, 128], [4, 1024, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",429.63,97.16,L-bfloat16-B4S1024N32D128-very-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,9,"[[4, 1024, 16, 256], [4, 1024, 16, 256], [4, 1024, 16, 256]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",337.63,97.16,L-float16-B4S1024N16D256-long-prefill-D256-causal | baseline_kernels: FusedInferAttentionScore×1
MHA,10,"[[1, 1, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",53.44,17.48,M-float16-B1S1Skv2048N32D128-decode-single-batch | baseline_kernels: FusedInferAttentionScore×1
MHA,11,"[[16, 1, 32, 128], [16, 1024, 32, 128], [16, 1024, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",285.67,139.88,L-float16-B16S1Skv2048N32D128-decode | baseline_kernels: FusedInferAttentionScore×1
MHA,12,"[[32, 1, 32, 128], [32, 512, 32, 128], [32, 512, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",272.27,139.95,L-bfloat16-B32S1Skv2048N32D128-decode | baseline_kernels: FusedInferAttentionScore×1
MHA,13,"[[60, 1, 32, 128], [60, 512, 32, 128], [60, 512, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",494.09,262.4,L-float16-B60S1Skv2048N32D128-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
MHA,14,"[[128, 1, 32, 128], [128, 128, 32, 128], [128, 128, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",527.55,140.36,L-float16-B128S1Skv4096N32D128-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
