operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MlaProlog,1,"[[1, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 1, 64], [1, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",98.30,63.84,bfloat16-DSv3-B1S1-decode
MlaProlog,2,"[[4, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 1, 64], [4, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",106.68,63.86,bfloat16-DSv3-B4S1-decode
MlaProlog,3,"[[32, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [32, 1, 64], [32, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",111.36,64.07,bfloat16-DSv3-B32S1-decode
MlaProlog,4,"[[64, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [64, 1, 64], [64, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",121.30,64.32,bfloat16-DSv3-B64S1-decode
MlaProlog,5,"[[128, 1, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [128, 1, 64], [128, 1, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",149.68,64.8,bfloat16-DSv3-B128S1-decode-large-batch
MlaProlog,6,"[[1, 4, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 4, 64], [1, 4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",99.50,63.86,bfloat16-DSv3-B1S4-prefill
MlaProlog,7,"[[1, 16, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [1, 16, 64], [1, 16, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",102.96,63.95,bfloat16-DSv3-B1S16-prefill
MlaProlog,8,"[[4, 4, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 4, 64], [4, 4, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",100.28,63.95,bfloat16-DSv3-B4S4-prefill
MlaProlog,9,"[[4, 16, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [4, 16, 64], [4, 16, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",115.12,64.32,bfloat16-B4S16-prefill | baseline_kernels: MlaProlog×1
MlaProlog,10,"[[2, 16, 7168], [7168, 1536], [1536, 24576], [128, 128, 512], [7168, 576], [1536], [512], [2, 16, 64], [2, 16, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""n_heads"": 128, ""rmsnorm_epsilon_cq"": 1e-05, ""rmsnorm_epsilon_ckv"": 1e-05}","[-1, 1]",108.88,63.95,bfloat16-B2S16-prefill | baseline_kernels: MlaProlog×1
